published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,1575.00,1630.00,1575.00,1575.10,-1.56,2440.00,3852010.70,-1
2021-11-05,1575.00,1630.00,1575.00,1575.10,-1.56,2440.00,3852010.70,-1
2021-11-08,1570.00,1589.00,1540.00,1540.00,-2.23,1528.00,2390780.00,-1
2021-11-09,1540.00,1570.00,1450.40,1465.00,-4.87,2826.00,4157614.80,-1
2021-11-10,1540.00,1570.00,1450.40,1465.00,-4.87,2826.00,4157614.80,-1
2021-11-11,1465.00,1494.00,1380.00,1445.00,-1.37,1437.00,2040112.70,-1
2021-11-12,1465.00,1494.00,1380.00,1445.00,-1.37,1437.00,2040112.70,-1
2021-11-15,1441.00,1448.00,1424.10,1448.00,1.26,2338.00,3361312.00,1
2021-11-16,1476.00,1476.00,1425.00,1438.10,-0.68,1102.00,1595039.20,-1
2021-11-17,1466.80,1490.00,1433.00,1453.90,1.10,2445.00,3542107.20,1
2021-11-18,1482.90,1510.00,1414.00,1431.00,-1.58,1321.00,1905442.00,-1
2021-11-19,1482.90,1510.00,1414.00,1431.00,-1.58,1321.00,1905442.00,-1
2021-11-22,1421.00,1430.00,1405.00,1430.00,0.63,965.00,1369285.50,1
2021-11-23,1420.00,1422.00,1405.10,1411.00,-1.33,783.00,1108945.00,-1
2021-11-24,1400.00,1425.00,1400.00,1424.90,0.99,2059.00,2892455.10,1
2021-11-25,1453.00,1453.00,1396.50,1400.00,-1.75,768.00,1080251.00,-1
2021-11-26,1453.00,1453.00,1396.50,1400.00,-1.75,768.00,1080251.00,-1
2021-11-29,1385.00,1385.00,1340.10,1360.00,0.00,1861.00,2514906.00,0
2021-11-30,1360.00,1386.00,1333.00,1381.00,1.54,911.00,1242330.00,1
2021-12-01,1360.00,1375.00,1360.00,1362.00,-1.38,200.00,272485.00,-1
2021-12-02,1350.00,1350.00,1320.00,1330.00,-2.35,1594.00,2117891.00,-1
2021-12-03,1350.00,1350.00,1320.00,1330.00,-2.35,1594.00,2117891.00,-1
2021-12-06,1290.00,1326.00,1221.00,1326.00,2.79,1550.00,1992907.10,1
2021-12-07,1352.00,1352.00,1312.00,1312.00,-1.06,1053.00,1402565.90,-1
2021-12-08,1300.00,1300.00,1265.00,1267.00,-3.43,1474.00,1893999.00,-1
2021-12-09,1242.00,1242.00,1217.20,1241.90,-1.98,780.00,960028.00,-1
2021-12-10,1242.00,1242.00,1217.20,1241.90,-1.98,780.00,960028.00,-1
2021-12-13,1183.00,1183.00,1077.00,1101.10,-6.92,1827.00,2044369.00,-1
2021-12-14,1100.00,1199.00,1100.00,1199.00,8.89,518.00,610180.00,1
2021-12-15,1222.90,1240.00,1165.00,1165.00,-2.84,1547.00,1857922.00,-1
2021-12-16,1143.50,1165.00,1143.50,1156.00,-0.77,595.00,687827.00,-1
2021-12-17,1143.50,1165.00,1143.50,1156.00,-0.77,595.00,687827.00,-1
2021-12-20,1156.00,1156.00,1125.00,1125.00,-2.68,470.00,535034.50,-1
2021-12-21,1110.00,1149.00,1110.00,1148.00,2.04,1325.00,1499667.00,1
2021-12-22,1170.90,1215.80,1170.00,1200.00,4.53,1929.00,2303884.60,1
2021-12-23,1199.90,1221.00,1181.10,1200.00,0.00,1153.00,1390142.00,0
2021-12-24,1199.90,1221.00,1181.10,1200.00,0.00,1153.00,1390142.00,0
2021-12-27,1230.00,1285.20,1204.00,1204.00,-2.81,1023.00,1256329.00,-1
2021-12-28,1200.00,1227.00,1180.10,1227.00,1.91,1322.00,1575896.80,1
2021-12-29,1205.00,1227.00,1205.00,1227.00,0.00,696.00,842596.00,0
2021-12-30,1205.00,1227.00,1205.00,1227.00,0.00,696.00,842596.00,0
2021-12-31,1205.00,1227.00,1205.00,1227.00,0.00,696.00,842596.00,0
2022-01-03,1281.00,1354.00,1280.00,1302.00,3.66,12969.00,16964444.20,1
2022-01-04,1325.00,1409.10,1304.00,1390.00,6.76,1979.00,2699451.50,1
2022-01-05,1395.00,1395.00,1353.00,1370.00,-1.44,1975.00,2708039.00,-1
2022-01-06,1355.00,1400.00,1355.00,1399.00,2.12,2275.00,3133870.00,1
2022-01-07,1355.00,1400.00,1355.00,1399.00,2.12,2275.00,3133870.00,1
2022-01-10,1393.00,1430.00,1392.10,1410.00,-0.70,2474.00,3489537.40,-1
2022-01-11,1391.00,1490.00,1391.00,1451.00,2.91,4901.00,7131004.00,1
2022-01-12,1452.00,1523.00,1422.00,1448.00,-0.21,5817.00,8474015.20,-1
2022-01-13,1432.00,1529.00,1432.00,1528.00,5.52,29455.00,43314344.80,1
2022-01-14,1432.00,1529.00,1432.00,1528.00,5.52,29455.00,43314344.80,1
2022-01-17,1557.00,1558.00,1505.00,1535.00,-0.97,8458.00,12893004.00,-1
2022-01-18,1521.00,1545.00,1494.20,1521.00,-0.91,4530.00,6858012.70,-1
2022-01-19,1517.00,1520.00,1490.00,1509.90,-0.73,4552.00,6840635.70,-1
2022-01-20,1509.00,1518.00,1491.00,1511.00,0.07,4808.00,7225213.40,1
