published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-08,1035.50,1035.50,1035.00,1035.00,-0.03,340.00,351925.00,-1
2021-11-11,1035.00,1035.00,1035.00,1035.00,0.00,25.00,25875.00,0
2021-11-12,1035.00,1035.00,1035.00,1035.00,0.00,25.00,25875.00,0
2021-11-17,1020.00,1030.00,1020.00,1030.00,0.98,130.00,132900.00,1
2021-11-22,1025.00,1025.00,1025.00,1025.00,-0.97,70.00,71750.00,-1
2021-11-25,1025.00,1025.00,1006.00,1006.00,-1.85,375.00,378795.00,-1
2021-11-26,1025.00,1025.00,1006.00,1006.00,-1.85,375.00,378795.00,-1
2021-11-30,1026.10,1026.10,1026.10,1026.10,2.00,10.00,10261.00,1
2021-12-02,1011.00,1011.00,1011.00,1011.00,-1.47,100.00,101100.00,-1
2021-12-03,1011.00,1011.00,1011.00,1011.00,-1.47,100.00,101100.00,-1
2021-12-07,1013.00,1015.00,1013.00,1015.00,1.50,250.00,253550.00,1
2021-12-08,1015.00,1015.00,1014.90,1015.00,0.00,850.00,862745.00,0
2021-12-09,1015.00,1015.00,1015.00,1015.00,0.00,30.00,30450.00,0
2021-12-10,1015.00,1015.00,1015.00,1015.00,0.00,30.00,30450.00,0
2021-12-15,1015.00,1015.00,1015.00,1015.00,0.00,25.00,25375.00,0
2021-12-16,1015.00,1015.00,1015.00,1015.00,0.00,100.00,101500.00,0
2021-12-17,1015.00,1015.00,1015.00,1015.00,0.00,100.00,101500.00,0
2021-12-20,1015.00,1015.00,1015.00,1015.00,0.00,225.00,228375.00,0
2021-12-21,1015.00,1015.00,1015.00,1015.00,0.00,50.00,50750.00,0
2021-12-22,1015.00,1015.00,1015.00,1015.00,0.00,210.00,213150.00,0
2021-12-23,1015.00,1015.00,1015.00,1015.00,0.00,25.00,25375.00,0
2021-12-24,1015.00,1015.00,1015.00,1015.00,0.00,25.00,25375.00,0
2021-12-27,1015.00,1030.00,1015.00,1030.00,1.48,575.00,584325.00,1
2021-12-28,1045.00,1050.00,1045.00,1050.00,1.94,100.00,104875.00,1
2022-01-04,1050.00,1050.00,1050.00,1050.00,-1.96,500.00,525000.00,-1
2022-01-05,1050.00,1050.00,1050.00,1050.00,0.00,25.00,26250.00,0
2022-01-06,1060.00,1060.00,1050.00,1050.00,0.00,225.00,238250.00,0
