published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,800.70,800.70,761.00,774.00,-1.40,3822.00,2982394.30,-1
2021-11-05,800.70,800.70,761.00,774.00,-1.40,3822.00,2982394.30,-1
2021-11-08,775.00,784.00,761.00,769.00,-0.65,2056.00,1581094.00,-1
2021-11-09,755.10,756.00,732.10,736.00,-4.29,6036.00,4473422.50,-1
2021-11-10,755.10,756.00,732.10,736.00,-4.29,6036.00,4473422.50,-1
2021-11-11,722.00,730.40,707.00,714.00,-2.99,5246.00,3746753.00,-1
2021-11-12,722.00,730.40,707.00,714.00,-2.99,5246.00,3746753.00,-1
2021-11-15,700.00,730.00,699.80,730.00,2.24,4220.00,3042828.00,1
2021-11-16,736.00,785.10,716.10,752.00,3.01,5709.00,4256972.80,1
2021-11-17,753.00,780.00,740.00,763.50,1.53,8058.00,6150385.00,1
2021-11-18,748.30,750.00,736.10,740.00,-3.08,3570.00,2657380.00,-1
2021-11-19,748.30,750.00,736.10,740.00,-3.08,3570.00,2657380.00,-1
2021-11-22,731.00,770.00,716.00,736.00,0.96,6142.00,4578268.20,1
2021-11-23,737.00,737.00,716.00,726.00,-1.36,3493.00,2543444.00,-1
2021-11-24,711.50,730.00,709.00,722.00,-0.55,3346.00,2398175.00,-1
2021-11-25,722.00,735.00,711.00,723.00,0.14,2006.00,1446242.00,1
2021-11-26,722.00,735.00,711.00,723.00,0.14,2006.00,1446242.00,1
2021-11-29,690.00,714.00,682.00,682.00,-2.57,6317.00,4375230.50,-1
2021-11-30,682.00,695.00,677.50,682.00,0.00,4911.00,3350882.00,0
2021-12-01,684.00,697.60,681.00,681.00,-0.15,1862.00,1274581.70,-1
2021-12-02,681.00,685.00,673.00,685.00,0.59,5873.00,3980010.10,1
2021-12-03,681.00,685.00,673.00,685.00,0.59,5873.00,3980010.10,1
2021-12-06,677.00,695.00,663.50,687.00,-0.55,4575.00,3102951.50,-1
2021-12-07,673.30,700.40,673.30,677.00,-1.46,2256.00,1545778.90,-1
2021-12-08,664.00,688.00,660.20,684.00,1.03,4180.00,2816300.50,1
2021-12-09,685.00,688.00,658.20,687.00,0.44,4353.00,2961071.50,1
2021-12-10,685.00,688.00,658.20,687.00,0.44,4353.00,2961071.50,1
2021-12-13,647.80,673.00,608.00,621.00,-5.91,6987.00,4386340.00,-1
2021-12-14,633.40,660.00,622.00,660.00,6.28,1390.00,891156.00,1
2021-12-15,673.20,713.00,634.10,660.00,0.00,5250.00,3490714.00,0
2021-12-16,647.00,673.00,637.10,638.00,-3.33,1228.00,789051.00,-1
2021-12-17,647.00,673.00,637.10,638.00,-3.33,1228.00,789051.00,-1
