published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,1525.00,1525.00,1492.00,1495.00,-1.31,1216.00,1825014.00,-1
2021-11-05,1525.00,1525.00,1492.00,1495.00,-1.31,1216.00,1825014.00,-1
2021-11-08,1510.00,1520.00,1489.60,1489.60,-0.36,811.00,1218222.00,-1
2021-11-09,1471.00,1489.00,1450.00,1450.00,-2.66,1911.00,2794547.70,-1
2021-11-10,1471.00,1489.00,1450.00,1450.00,-2.66,1911.00,2794547.70,-1
2021-11-11,1421.00,1449.40,1400.00,1425.00,-1.72,1487.00,2115531.20,-1
2021-11-12,1421.00,1449.40,1400.00,1425.00,-1.72,1487.00,2115531.20,-1
2021-11-15,1440.00,1460.00,1417.00,1460.00,3.18,1048.00,1506110.00,1
2021-11-16,1435.00,1522.00,1435.00,1519.00,4.04,2390.00,3579329.10,1
2021-11-17,1547.00,1547.00,1475.10,1480.00,-2.57,1023.00,1529273.10,-1
2021-11-18,1460.00,1495.00,1452.00,1460.00,-1.35,593.00,869536.90,-1
2021-11-19,1460.00,1495.00,1452.00,1460.00,-1.35,593.00,869536.90,-1
2021-11-22,1470.00,1478.00,1431.00,1436.10,-0.96,714.00,1035231.20,-1
2021-11-23,1407.50,1466.00,1407.50,1429.90,-0.43,1156.00,1645224.30,-1
2021-11-24,1440.00,1440.00,1400.00,1407.00,-1.60,1302.00,1828408.20,-1
2021-11-25,1408.00,1425.00,1400.20,1412.00,0.36,650.00,914517.60,1
2021-11-26,1408.00,1425.00,1400.20,1412.00,0.36,650.00,914517.60,1
2021-11-29,1380.00,1380.00,1336.00,1360.00,0.29,881.00,1187926.20,1
2021-11-30,1360.00,1360.00,1330.00,1350.00,-0.74,1683.00,2254141.60,-1
2021-12-01,1350.00,1356.00,1332.00,1338.00,-0.89,1392.00,1869405.40,-1
2021-12-02,1337.00,1351.00,1313.00,1325.00,-0.97,1307.00,1730767.00,-1
2021-12-03,1337.00,1351.00,1313.00,1325.00,-0.97,1307.00,1730767.00,-1
2021-12-06,1256.00,1300.00,1235.10,1300.00,1.56,1251.00,1579216.20,1
2021-12-07,1326.00,1350.00,1279.00,1279.00,-1.62,1398.00,1815417.20,-1
2021-12-08,1299.00,1299.00,1265.00,1265.00,-1.09,741.00,946194.00,-1
