published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-05-04,769.00,769.00,769.00,769.00,0.00,100.00,76900.00,0
2022-07-05,685.00,685.00,685.00,685.00,-1.86,100000.00,68500000.00,-1
2022-12-12,685.00,685.00,685.00,685.00,0.00,150000.00,59350000.00,0
2023-02-06,685.00,685.00,685.00,685.00,0.00,58940.00,40373900.00,0
2023-02-20,685.00,685.00,685.00,685.00,0.00,5525.00,2185000.00,0
2023-02-21,685.00,685.00,685.00,685.00,0.00,5525.00,2185000.00,0
2023-02-22,685.00,685.00,685.00,685.00,0.00,8050.00,5514250.00,0
2023-11-01,0.00,0.00,0.00,0.00,0.00,217100.00,70286125.00,0
2023-11-02,323.75,323.75,323.75,323.75,0.00,312000.00,101010000.00,0
2024-06-27,542.00,542.00,542.00,542.00,0.00,64414.00,34912388.00,0
2024-08-15,542.00,542.00,542.00,542.00,0.00,106573.00,57762566.00,0
2024-09-29,542.00,542.00,531.20,531.20,-1.99,13269.00,7068364.80,-1
2024-10-20,531.20,531.20,531.20,531.20,0.00,75585.00,24470643.75,0
2025-05-27,442.00,442.00,442.00,442.00,0.00,4204.00,1858168.00,0
2025-06-08,442.00,442.00,442.00,442.00,0.00,12000.00,5304000.00,0
2025-08-18,549.00,549.00,549.00,549.00,0.00,3635.00,1995615.00,0
2025-08-25,549.00,549.00,549.00,549.00,0.00,35536.00,19509264.00,0
