published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-30,679.00,679.00,679.00,679.00,0.00,3648.00,2476992.00,0
2022-01-19,679.00,679.00,679.00,679.00,0.00,140800.00,70537984.00,0
2022-12-01,274.00,274.00,274.00,274.00,0.00,12500.00,3425000.00,0
2023-03-05,340.10,340.10,340.10,340.10,-1.99,114500.00,38941450.00,-1
2023-03-06,340.10,340.10,340.10,340.10,-1.99,114500.00,38941450.00,-1
2023-03-14,340.10,340.10,340.10,340.10,0.00,12267.00,4172006.70,0
2023-08-10,382.00,382.00,382.00,382.00,0.00,20000.00,7640000.00,0
2023-12-19,365.00,365.00,365.00,365.00,-4.45,214699.00,78365135.00,-1
2024-03-05,308.00,308.00,308.00,308.00,0.00,50000.00,15400000.00,0
2024-03-06,308.00,308.00,308.00,308.00,0.00,50000.00,15400000.00,0
2024-03-07,308.00,308.00,308.00,308.00,0.00,25000.00,7700000.00,0
2024-05-16,312.00,312.00,312.00,312.00,1.30,75426.00,23532912.00,1
2024-10-06,312.00,312.00,312.00,312.00,0.00,530000.00,145750000.00,0
2025-01-07,388.00,388.00,388.00,388.00,0.00,2000.00,776000.00,0
2026-04-21,252.00,252.00,252.00,252.00,0.00,50000.00,12600000.00,0
