published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-09-25,316.00,347.60,316.00,347.60,10.00,212.00,69366.00,1
2022-09-26,316.00,347.60,316.00,347.60,10.00,212.00,69366.00,1
2022-09-27,354.50,368.70,354.50,368.70,6.07,60.00,21319.80,1
2022-09-28,376.00,398.90,376.00,398.90,8.19,41.00,15856.40,1
2022-09-29,406.80,438.70,406.80,438.70,9.98,50.00,21150.00,1
2022-10-02,406.80,438.70,406.80,438.70,9.98,50.00,21150.00,1
2022-10-03,406.80,438.70,406.80,438.70,9.98,50.00,21150.00,1
2022-10-04,406.80,438.70,406.80,438.70,9.98,50.00,21150.00,1
2022-10-05,406.80,438.70,406.80,438.70,9.98,50.00,21150.00,1
2022-10-06,406.80,438.70,406.80,438.70,9.98,50.00,21150.00,1
2022-10-09,447.40,456.30,447.40,456.30,4.01,30.00,13427.00,1
2022-10-10,465.40,501.90,465.40,501.90,9.99,90.00,43278.60,1
2022-10-11,511.00,552.00,511.00,552.00,9.98,60.00,32100.00,1
2022-10-12,563.00,607.20,563.00,607.20,10.00,70.00,40906.90,1
2022-10-13,619.30,667.90,619.30,667.90,10.00,50.00,32200.00,1
2022-10-16,681.20,734.60,681.20,734.60,9.99,1944.00,1426751.40,1
2022-10-17,749.00,808.00,749.00,808.00,9.99,3780.00,3050852.00,1
2022-10-18,749.00,808.00,749.00,808.00,9.99,3780.00,3050852.00,1
2022-10-19,824.10,888.80,824.10,888.80,10.00,6990.00,6206619.00,1
2022-10-20,906.50,963.00,820.20,830.20,-6.59,42382.00,36952901.00,-1
2022-10-23,830.00,830.00,764.40,767.10,-7.60,16958.00,13173753.10,-1
2022-10-24,830.00,830.00,764.40,767.10,-7.60,16958.00,13173753.10,-1
2022-10-25,830.00,830.00,764.40,767.10,-7.60,16958.00,13173753.10,-1
2022-10-26,830.00,830.00,764.40,767.10,-7.60,16958.00,13173753.10,-1
2022-10-27,830.00,830.00,764.40,767.10,-7.60,16958.00,13173753.10,-1
2022-10-30,830.00,830.00,764.40,767.10,-7.60,16958.00,13173753.10,-1
2022-10-31,782.40,782.40,730.00,731.00,-4.71,10764.00,7971486.00,-1
