published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,5590.00,5700.00,5445.00,5445.00,-2.59,460.00,2545052.00,-1
2021-11-05,5590.00,5700.00,5445.00,5445.00,-2.59,460.00,2545052.00,-1
2021-11-08,5425.00,5547.00,5425.00,5500.00,1.01,205.00,1132230.00,1
2021-11-09,5395.00,5400.00,5250.00,5250.00,-4.55,712.00,3780141.00,-1
2021-11-10,5395.00,5400.00,5250.00,5250.00,-4.55,712.00,3780141.00,-1
2021-11-11,5250.00,5299.00,5000.00,5055.00,-3.71,1433.00,7312153.00,-1
2021-11-12,5250.00,5299.00,5000.00,5055.00,-3.71,1433.00,7312153.00,-1
2021-11-15,5160.10,5350.00,5160.10,5276.00,4.29,328.00,1733881.30,1
2021-11-16,5300.00,5803.00,5300.00,5605.00,6.24,1563.00,8749471.00,1
2021-11-17,5717.00,5717.00,5552.00,5557.00,-0.86,685.00,3855619.00,-1
2021-11-18,5450.00,5559.00,5390.00,5390.00,-3.01,220.00,1204478.50,-1
2021-11-19,5450.00,5559.00,5390.00,5390.00,-3.01,220.00,1204478.50,-1
2021-11-22,5417.00,5417.00,5205.00,5400.00,1.68,387.00,2046546.00,1
2021-11-23,5400.00,5400.00,5280.00,5330.00,-1.30,295.00,1564410.00,-1
2021-11-24,5300.00,5300.00,5217.00,5250.00,-1.50,762.00,3987687.00,-1
2021-11-25,5327.80,5327.80,5200.00,5250.00,0.00,123.00,642424.40,0
2021-11-26,5327.80,5327.80,5200.00,5250.00,0.00,123.00,642424.40,0
2021-11-29,5201.00,5210.00,5080.00,5100.00,0.00,830.00,4241667.90,0
2021-11-30,5100.00,5100.00,5090.00,5090.00,-0.20,82.00,417900.00,-1
2021-12-01,5191.00,5200.00,5100.00,5100.00,0.20,380.00,1947651.00,1
2021-12-02,5050.00,5056.00,5005.10,5006.00,-1.84,200.00,1005688.00,-1
2021-12-03,5050.00,5056.00,5005.10,5006.00,-1.84,200.00,1005688.00,-1
2021-12-06,4900.00,5000.00,4800.00,5000.00,2.00,415.00,2026961.00,1
2021-12-07,5100.00,5100.00,4899.10,4899.10,-2.02,402.00,1989286.00,-1
2021-12-08,4805.00,4805.00,4690.00,4690.00,-4.27,180.00,854125.00,-1
2021-12-09,4690.00,4743.00,4597.00,4648.50,-0.88,240.00,1116385.00,-1
2021-12-10,4690.00,4743.00,4597.00,4648.50,-0.88,240.00,1116385.00,-1
2021-12-13,4285.00,4320.00,4000.10,4000.10,-8.51,897.00,3688085.00,-1
2021-12-14,4002.00,4400.10,4000.00,4400.10,10.00,569.00,2426233.00,1
2021-12-15,4488.10,4669.30,4400.00,4629.00,5.20,620.00,2788881.00,1
2021-12-16,4536.50,4536.50,4295.00,4450.00,-3.87,410.00,1789231.40,-1
2021-12-17,4536.50,4536.50,4295.00,4450.00,-3.87,410.00,1789231.40,-1
2021-12-20,4365.00,4410.00,4193.00,4400.00,-1.12,366.00,1585067.00,-1
2021-12-21,4488.00,4500.00,4400.00,4500.00,2.27,763.00,3413005.00,1
2021-12-22,4550.00,4850.10,4550.00,4844.00,7.64,1047.00,4945599.00,1
2021-12-23,4870.00,5170.00,4800.00,4948.00,2.15,1077.00,5376489.00,1
2021-12-24,4870.00,5170.00,4800.00,4948.00,2.15,1077.00,5376489.00,1
2021-12-27,4898.00,5004.00,4810.00,4815.00,0.27,1185.00,5791649.00,1
2021-12-28,4899.00,4899.00,4750.00,4750.00,-1.35,414.00,1989972.00,-1
2021-12-29,4835.00,4936.80,4835.00,4855.00,2.21,395.00,1942699.00,1
2021-12-30,4835.00,4936.80,4835.00,4855.00,2.21,395.00,1942699.00,1
2021-12-31,4835.00,4936.80,4835.00,4855.00,2.21,395.00,1942699.00,1
2022-01-03,4945.50,5246.80,4880.00,4902.00,1.07,267.00,1332862.00,1
2022-01-04,4999.90,5100.00,4945.00,5000.00,2.00,710.00,3566483.00,1
2022-01-05,4950.00,5202.00,4901.00,5202.00,4.04,660.00,3312257.00,1
2022-01-06,5098.00,5100.00,5031.00,5090.00,-2.15,449.00,2284600.00,-1
2022-01-07,5098.00,5100.00,5031.00,5090.00,-2.15,449.00,2284600.00,-1
2022-01-10,5203.00,5203.00,5096.00,5098.00,-0.53,420.00,2152840.00,-1
2022-01-11,5199.00,5246.00,5160.00,5200.00,2.00,519.00,2701323.00,1
2022-01-12,5300.30,5525.00,5186.50,5250.00,0.96,1263.00,6817224.00,1
2022-01-13,5250.00,5618.00,5165.00,5488.00,4.53,753.00,4081129.00,1
2022-01-14,5250.00,5618.00,5165.00,5488.00,4.53,753.00,4081129.00,1
2022-01-17,5500.00,5600.00,5392.00,5518.00,-0.58,354.00,1944660.00,-1
2022-01-18,5598.00,5599.00,5272.00,5349.00,-3.06,512.00,2792405.50,-1
2022-01-19,5260.00,5455.00,5190.00,5190.00,-2.97,612.00,3216088.00,-1
2022-01-20,5190.00,5293.80,5190.00,5275.00,1.64,565.00,2962097.20,1
2022-01-21,5190.00,5293.80,5190.00,5275.00,1.64,565.00,2962097.20,1
2022-01-24,5200.00,5200.00,4950.00,5000.00,-5.07,1600.00,8051968.50,-1
2022-01-25,5095.00,5200.00,4993.00,5100.00,2.00,387.00,1955075.00,1
2022-01-26,5000.00,5100.00,4900.00,5100.00,0.00,602.00,3003338.00,0
2022-01-27,4999.00,5100.00,4992.00,5050.00,-0.98,270.00,1357460.00,-1
2022-01-28,4999.00,5100.00,4992.00,5050.00,-0.98,270.00,1357460.00,-1
2022-01-31,5210.00,5320.00,5200.00,5200.00,0.04,1318.00,6942779.00,1
2022-02-01,5200.00,5250.00,5145.00,5180.00,-0.38,290.00,1509090.00,-1
2022-02-02,5200.00,5250.00,5145.00,5180.00,-0.38,290.00,1509090.00,-1
2022-02-03,5200.00,5285.00,5130.00,5130.00,-0.97,513.00,2680110.00,-1
2022-02-04,5200.00,5285.00,5130.00,5130.00,-0.97,513.00,2680110.00,-1
2022-02-07,5130.00,5230.00,4975.10,5025.10,-0.10,660.00,3315518.00,-1
2022-02-08,5125.00,5125.00,4949.40,5010.00,-0.30,316.00,1574767.00,-1
2022-02-09,5000.00,5090.00,5000.00,5000.00,-0.20,228.00,1145921.00,-1
2022-02-10,5099.00,5099.00,5000.00,5025.00,0.50,50.00,251840.00,1
2022-02-11,5099.00,5099.00,5000.00,5025.00,0.50,50.00,251840.00,1
2022-02-14,4945.00,4945.00,4800.00,4851.00,0.02,160.00,780474.00,1
2022-02-15,4755.00,4850.10,4755.00,4845.00,-0.12,178.00,858127.00,-1
2022-02-16,4850.00,4990.00,4800.00,4800.00,-0.93,421.00,2044546.00,-1
2022-02-17,4721.00,4834.00,4720.00,4735.00,-1.35,541.00,2573269.00,-1
2022-02-18,4721.00,4834.00,4720.00,4735.00,-1.35,541.00,2573269.00,-1
2022-02-21,4715.00,4750.00,4625.00,4750.00,2.15,450.00,2107375.00,1
2022-02-22,4845.00,4860.00,4749.00,4860.00,2.32,447.00,2135185.00,1
2022-02-23,4820.00,4820.00,4781.00,4781.00,-1.63,20.00,96010.00,-1
2022-02-24,4700.00,4740.00,4606.00,4740.00,-0.86,220.00,1027600.00,-1
2022-02-25,4700.00,4740.00,4606.00,4740.00,-0.86,220.00,1027600.00,-1
