published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-06-08,202.80,223.00,202.80,223.00,9.96,3223.00,717242.30,1
2023-06-11,227.40,245.30,227.40,245.30,10.00,2858.00,699718.80,1
2023-06-12,250.20,269.80,250.20,269.80,9.99,12422.00,3350734.60,1
2023-06-13,275.10,296.70,254.60,296.70,9.97,78893.00,21901591.20,1
2023-06-14,302.60,326.30,279.30,319.00,7.52,35632.00,11237285.00,1
2023-06-15,320.00,320.00,300.10,300.30,-5.86,28590.00,8734924.00,-1
2023-06-18,299.00,299.00,277.20,289.10,-3.73,49791.00,14354572.30,-1
2023-06-19,283.50,287.00,278.40,284.60,-1.56,17866.00,5032991.00,-1
2023-06-20,284.00,284.00,274.00,278.00,-2.32,13448.00,3727304.70,-1
2023-06-21,272.50,276.00,267.30,271.00,-2.52,14784.00,4001340.10,-1
2023-06-22,269.00,270.00,261.00,264.00,-2.58,9747.00,2575265.40,-1
2023-06-25,258.80,270.40,252.10,270.00,2.27,22187.00,5730320.70,1
2023-06-26,265.00,280.00,260.00,269.00,-0.37,16541.00,4378570.30,-1
2023-06-27,274.20,274.20,255.10,268.00,-0.37,9935.00,2626895.00,-1
2023-06-28,263.00,273.00,256.10,263.00,-1.87,8720.00,2278987.50,-1
2023-06-29,263.00,273.00,256.10,263.00,-1.87,8720.00,2278987.50,-1
2023-07-02,257.80,258.00,247.40,247.40,-5.93,11249.00,2832487.50,-1
2023-07-03,243.00,252.30,237.00,237.10,-4.16,10062.00,2425419.60,-1
2023-07-04,234.00,239.80,229.50,230.00,-2.99,12012.00,2788389.00,-1
2023-07-05,226.50,249.90,222.00,223.50,-2.83,17941.00,4100656.30,-1
2023-07-06,219.30,227.90,219.30,224.00,0.22,6690.00,1491582.00,1
2023-07-09,224.00,240.70,218.00,229.00,2.23,6683.00,1514040.30,1
2023-07-10,227.00,234.60,222.10,227.40,-0.70,7595.00,1728960.00,-1
2023-07-11,222.90,230.00,222.90,228.00,0.26,10400.00,2354488.00,1
2023-07-12,224.00,244.00,224.00,240.60,5.53,11187.00,2654362.70,1
2023-07-13,236.00,244.90,232.10,236.20,-1.83,8649.00,2065752.00,-1
2023-07-16,231.50,232.20,227.20,232.20,-1.69,5089.00,1164075.00,-1
2023-07-17,228.00,238.70,224.60,235.00,1.21,5512.00,1274761.00,1
2023-07-18,230.30,244.00,226.00,235.00,0.00,7115.00,1665004.00,0
2023-07-19,230.30,238.00,226.30,232.00,-1.28,4989.00,1146294.80,-1
2023-07-20,230.00,236.60,226.00,236.00,1.72,12037.00,2764530.80,1
2023-07-23,231.50,240.60,231.40,235.00,-0.42,5756.00,1356088.00,-1
2023-07-24,236.00,243.60,233.00,236.40,0.60,6918.00,1637562.50,1
2023-07-25,231.70,239.50,228.60,231.00,-2.28,9807.00,2278757.50,-1
2023-07-26,230.00,232.00,226.60,231.00,0.00,5915.00,1354934.20,0
2023-07-27,227.10,231.00,226.40,226.50,-1.95,3740.00,854366.00,-1
2023-07-30,224.00,226.60,223.30,224.20,-1.02,4962.00,1114022.40,-1
2023-07-31,222.10,225.50,222.10,222.60,-0.71,5047.00,1126835.70,-1
2023-08-01,227.00,227.00,215.00,218.00,-2.07,5789.00,1263971.00,-1
2023-08-02,218.00,218.00,212.20,217.00,-0.46,5621.00,1203932.00,-1
2023-08-03,213.00,217.00,212.10,214.10,-1.34,6941.00,1483273.00,-1
2023-08-06,209.90,210.00,206.10,207.50,-3.08,5060.00,1050285.30,-1
2023-08-07,203.40,208.00,203.40,207.00,-0.24,6245.00,1280241.80,-1
2023-08-09,197.30,209.00,197.30,205.00,1.94,4027.00,812190.60,1
2023-08-10,202.00,213.00,202.00,203.80,-0.59,4690.00,962863.10,-1
2023-08-13,203.80,210.00,200.30,201.60,-1.08,10515.00,2149226.60,-1
2023-08-14,200.00,208.00,200.00,202.00,0.20,4015.00,811154.50,1
2023-08-15,200.00,202.00,198.10,198.10,-1.93,4555.00,910254.40,-1
2023-08-16,195.00,198.00,192.20,196.00,-1.06,6020.00,1175079.00,-1
2023-08-17,199.90,199.90,188.60,188.90,-3.62,4100.00,780133.00,-1
2023-08-20,186.00,189.00,181.00,182.00,-3.65,5320.00,974911.00,-1
2023-08-21,179.00,180.00,170.00,172.60,-5.16,6815.00,1191248.30,-1
2023-08-22,171.00,179.50,171.00,178.00,3.13,5301.00,924083.60,1
2023-08-23,176.00,191.70,175.10,191.70,7.70,4836.00,892551.00,1
2023-08-24,191.70,194.20,182.00,183.90,-4.07,4344.00,820506.00,-1
2023-08-27,182.00,182.00,172.00,178.00,-3.21,2044.00,360001.00,-1
2023-08-28,174.50,181.00,174.50,181.00,1.69,3818.00,683200.50,1
2023-08-29,177.50,180.40,175.00,178.00,-1.66,3730.00,663613.00,-1
2023-08-30,175.00,181.50,172.00,175.00,-1.69,3100.00,545342.50,-1
2023-08-31,175.00,181.50,172.00,175.00,-1.69,3100.00,545342.50,-1
2023-09-03,172.00,175.80,172.00,175.00,0.00,2825.00,488258.50,0
2023-09-04,171.50,182.00,171.50,182.00,4.00,3035.00,530730.50,1
2023-09-05,178.40,181.00,175.50,176.10,-3.24,2889.00,511975.00,-1
