published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-04-19,270.00,270.00,270.00,270.00,-1.82,14709.00,3971430.00,-1
2022-06-01,270.00,270.00,270.00,270.00,0.00,33954.00,9167580.00,0
2023-03-23,183.00,183.00,183.00,183.00,0.00,63437.00,11608971.00,0
2023-06-27,188.00,188.00,188.00,188.00,2.73,3000.00,564000.00,1
2025-03-04,350.00,350.00,350.00,350.00,0.00,2000.00,700000.00,0
2025-03-12,350.00,350.00,350.00,350.00,0.00,54000.00,18900000.00,0
2025-03-13,350.00,350.00,350.00,350.00,0.00,54000.00,18900000.00,0
2025-04-24,343.00,343.00,336.20,336.20,-3.94,29220.00,9886908.80,-1
2025-05-15,330.00,330.00,330.00,330.00,-1.84,100000.00,33000000.00,-1
2025-05-18,324.00,324.00,324.00,324.00,-1.82,100000.00,32400000.00,-1
2025-06-02,324.00,324.00,324.00,324.00,0.00,185000.00,6660000.00,0
2025-08-07,285.00,285.00,279.30,279.30,-2.00,83700.00,23615955.00,-1
2025-08-10,285.00,285.00,279.30,279.30,-2.00,83700.00,23615955.00,-1
2025-08-11,273.80,273.80,273.80,273.80,-1.97,71160.00,19483608.00,-1
2026-05-19,250.00,250.00,250.00,250.00,0.00,37193.00,9298250.00,0
