published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-10-12,361.10,397.20,361.10,397.20,10.00,13674.00,5423319.60,1
2023-10-15,361.10,397.20,361.10,397.20,10.00,13674.00,5423319.60,1
2023-10-16,405.10,436.90,358.20,362.50,-8.74,69045.00,26937096.60,-1
2023-10-17,362.00,387.00,356.00,360.10,-0.66,24008.00,8718952.20,-1
2023-10-18,355.20,385.00,355.20,385.00,6.91,8654.00,3232523.00,1
2023-10-19,377.30,387.00,372.70,384.50,-0.13,7467.00,2839725.70,-1
2023-10-22,377.30,387.00,372.70,384.50,-0.13,7467.00,2839725.70,-1
2023-10-23,377.30,387.00,372.70,384.50,-0.13,7467.00,2839725.70,-1
2023-10-24,377.30,387.00,372.70,384.50,-0.13,7467.00,2839725.70,-1
2023-10-25,377.30,387.00,372.70,384.50,-0.13,7467.00,2839725.70,-1
2023-10-26,377.30,387.00,372.70,384.50,-0.13,7467.00,2839725.70,-1
2023-10-29,376.90,376.90,358.30,367.00,-4.55,13335.00,4825765.10,-1
2023-10-30,359.70,374.00,352.80,366.00,-0.27,10137.00,3663015.20,-1
2023-10-31,360.00,369.00,360.00,369.00,0.82,4920.00,1780862.00,1
2023-11-01,362.00,366.00,356.00,361.10,-2.14,4299.00,1555648.60,-1
2023-11-02,354.00,364.00,354.00,357.10,-1.11,5930.00,2125822.00,-1
2023-11-05,352.00,360.00,352.00,356.00,-0.31,3910.00,1392208.00,-1
2023-11-06,360.00,372.00,355.00,366.50,2.95,7390.00,2684543.00,1
2023-11-07,360.00,384.80,360.00,370.00,0.95,5410.00,2026219.50,1
2023-11-08,370.00,398.00,363.70,395.00,6.76,17150.00,6650691.50,1
2023-11-09,387.10,400.00,378.00,378.40,-4.20,5930.00,2271360.00,-1
2023-11-12,387.10,400.00,378.00,378.40,-4.20,5930.00,2271360.00,-1
2023-11-13,387.10,400.00,378.00,378.40,-4.20,5930.00,2271360.00,-1
