published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-07-28,334.00,367.40,334.00,367.40,10.00,13720.00,5036712.00,1
2022-07-29,374.70,404.10,363.00,378.00,2.89,55635.00,20842346.10,1
2022-07-31,385.50,395.80,370.00,395.80,4.71,22370.00,8461266.40,1
2022-08-01,395.80,410.10,375.10,406.50,2.70,21390.00,8558967.00,1
2022-08-02,399.00,447.10,398.00,447.10,9.99,41189.00,17660563.00,1
2022-08-03,450.00,482.60,435.00,466.10,4.25,30777.00,14198570.20,1
2022-08-04,466.00,495.50,448.00,487.00,4.48,33555.00,16129705.50,1
2022-08-05,477.50,482.40,459.00,472.10,-3.06,26010.00,12336119.70,-1
2022-08-07,470.00,504.00,465.10,482.00,2.10,27273.00,13109018.20,1
2022-08-08,491.50,520.00,480.00,497.00,3.11,27790.00,13860900.00,1
2022-08-09,488.00,515.00,480.00,487.00,-2.01,19469.00,9474064.00,-1
2022-08-10,477.30,484.50,470.00,477.00,-2.05,14665.00,6969095.00,-1
2022-08-11,468.00,499.00,468.00,468.00,-1.89,18162.00,8653948.50,-1
2022-08-12,468.00,499.00,468.00,468.00,-1.89,18162.00,8653948.50,-1
2022-08-14,463.60,486.00,458.70,459.20,-1.88,15793.00,7290647.90,-1
2022-08-15,459.00,475.20,450.00,475.00,3.44,12940.00,6051166.60,1
2022-08-16,469.90,493.00,458.00,467.00,-1.68,23137.00,10775743.50,-1
2022-08-17,460.00,480.00,453.00,475.00,1.71,26513.00,12493178.50,1
2022-08-18,484.00,499.50,466.10,489.00,2.95,21993.00,10776042.10,1
2022-08-19,484.00,499.50,466.10,489.00,2.95,21993.00,10776042.10,1
2022-08-21,498.70,505.00,475.00,476.00,-2.66,15918.00,7703424.70,-1
2022-08-22,466.50,495.00,465.20,481.40,1.13,10150.00,4786722.00,1
2022-08-23,471.80,480.00,467.00,479.00,-0.50,5090.00,2414028.00,-1
2022-08-24,469.50,480.00,461.10,472.00,-1.46,9780.00,4621758.00,-1
2022-08-25,472.00,480.00,460.10,461.00,-2.33,13306.00,6197379.50,-1
2022-08-26,457.00,457.00,449.00,454.90,-1.32,5720.00,2585807.00,-1
2022-08-28,445.90,455.90,428.50,445.00,-2.18,16573.00,7315287.60,-1
2022-08-29,437.00,452.00,423.30,440.00,-1.12,10911.00,4750252.40,-1
2022-08-30,432.00,456.00,432.00,434.00,-1.36,3151.00,1374277.00,-1
2022-08-31,430.00,450.00,412.00,414.00,-4.61,8330.00,3510895.30,-1
2022-09-01,406.10,433.00,400.70,429.00,3.62,5130.00,2141765.00,1
2022-09-02,420.60,444.70,420.10,421.00,-1.86,1210.00,513124.00,-1
2022-09-04,415.00,444.00,415.00,429.00,1.90,5245.00,2235917.00,1
2022-09-05,423.60,437.50,423.60,425.40,-0.84,3360.00,1438730.00,-1
2022-09-06,418.00,433.00,412.00,426.00,0.14,4421.00,1854474.20,1
2022-09-07,417.60,430.00,411.00,421.40,-1.08,1750.00,732858.00,-1
2022-09-08,421.00,437.00,416.70,437.00,3.70,3940.00,1675343.00,1
2022-09-09,421.00,437.00,416.70,437.00,3.70,3940.00,1675343.00,1
2022-09-11,431.00,439.00,422.60,427.00,-2.29,3400.00,1451418.00,-1
2022-09-12,418.70,421.00,416.00,420.00,-1.64,3030.00,1266798.00,-1
2022-09-13,415.00,436.50,415.00,421.00,0.24,3790.00,1595917.00,1
2022-09-14,415.00,440.00,415.00,437.00,3.80,13157.00,5643859.80,1
2022-09-15,429.00,430.00,403.10,411.00,-5.95,10060.00,4172264.50,-1
2022-09-16,402.80,423.30,389.00,423.00,2.92,5390.00,2165341.00,1
2022-09-18,414.60,414.60,394.00,409.00,-3.31,5110.00,2048021.00,-1
2022-09-19,414.60,414.60,394.00,409.00,-3.31,5110.00,2048021.00,-1
2022-09-20,405.00,405.00,380.00,388.00,-5.13,4161.00,1614934.00,-1
2022-09-21,395.00,395.00,380.00,380.00,-2.06,2750.00,1054751.00,-1
2022-09-22,375.00,394.00,353.00,360.00,-5.26,16182.00,5896886.80,-1
2022-09-25,360.00,360.00,345.00,354.90,-1.42,2217.00,774577.10,-1
2022-09-26,360.00,360.00,345.00,354.90,-1.42,2217.00,774577.10,-1
2022-09-27,360.00,367.20,340.00,363.00,2.28,4395.00,1544084.00,1
2022-09-28,355.80,360.00,345.00,345.00,-4.96,1439.00,502062.00,-1
2022-09-29,338.10,361.00,338.10,358.00,3.77,725.00,252600.00,1
2022-10-02,338.10,361.00,338.10,358.00,3.77,725.00,252600.00,1
2022-10-03,338.10,361.00,338.10,358.00,3.77,725.00,252600.00,1
2022-10-04,338.10,361.00,338.10,358.00,3.77,725.00,252600.00,1
2022-10-05,338.10,361.00,338.10,358.00,3.77,725.00,252600.00,1
2022-10-06,338.10,361.00,338.10,358.00,3.77,725.00,252600.00,1
2022-10-09,358.00,367.00,348.00,367.00,2.51,870.00,309679.00,1
2022-10-10,368.00,368.00,343.60,367.90,0.25,6495.00,2243502.00,1
2022-10-11,360.60,360.60,336.30,341.50,-7.18,4460.00,1525515.20,-1
2022-10-12,335.10,356.00,331.00,353.60,3.54,1356.00,460161.00,1
2022-10-13,347.00,353.00,341.20,343.00,-3.00,3730.00,1283493.00,-1
2022-10-16,336.20,349.80,330.00,349.80,1.98,4250.00,1426945.00,1
2022-10-17,342.90,342.90,332.00,335.00,-4.23,1020.00,342484.00,-1
2022-10-18,342.90,342.90,332.00,335.00,-4.23,1020.00,342484.00,-1
2022-10-19,333.00,335.00,322.50,322.50,-3.73,1845.00,602818.00,-1
