published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-01-18,246.70,261.70,246.70,261.70,6.08,61.00,15351.90,1
2022-01-19,266.90,287.80,266.90,287.80,9.97,51.00,14141.90,1
2022-01-20,293.50,316.50,293.50,316.50,9.97,70.00,21588.00,1
2022-01-21,293.50,316.50,293.50,316.50,9.97,70.00,21588.00,1
2022-01-24,355.00,382.90,355.00,382.90,10.00,140.00,52920.00,1
2022-01-25,390.50,421.10,390.50,421.10,9.98,5584.00,2350671.40,1
2022-01-26,425.00,463.20,425.00,463.20,10.00,820.00,378778.00,1
2022-01-27,472.40,509.50,472.40,509.50,10.00,2810.00,1430783.00,1
2022-01-28,472.40,509.50,472.40,509.50,10.00,2810.00,1430783.00,1
2022-01-31,571.60,616.40,560.00,616.40,9.99,29721.00,17985381.80,1
2022-02-01,628.70,678.00,620.00,678.00,9.99,8999.00,6033149.50,1
2022-02-02,628.70,678.00,620.00,678.00,9.99,8999.00,6033149.50,1
2022-02-03,678.00,744.00,640.00,744.00,9.73,46157.00,30917649.20,1
2022-02-04,678.00,744.00,640.00,744.00,9.73,46157.00,30917649.20,1
2022-02-07,686.00,724.20,652.80,668.00,-4.57,29925.00,20223874.40,-1
2022-02-08,681.30,734.80,665.00,734.80,10.00,17120.00,11667494.90,1
2022-02-09,734.00,734.00,675.30,686.00,-6.64,14439.00,9876242.00,-1
2022-02-10,686.00,690.00,650.00,665.00,-3.06,13244.00,8845661.70,-1
2022-02-11,686.00,690.00,650.00,665.00,-3.06,13244.00,8845661.70,-1
2022-02-14,610.00,665.00,600.00,665.00,8.13,7814.00,4859195.50,1
2022-02-15,678.30,685.00,631.00,685.00,3.01,9550.00,6225941.00,1
2022-02-16,671.30,692.50,646.00,646.00,-5.69,11600.00,7605937.00,-1
2022-02-17,640.00,646.00,619.00,620.00,-4.02,13685.00,8594270.60,-1
2022-02-18,640.00,646.00,619.00,620.00,-4.02,13685.00,8594270.60,-1
2022-02-21,620.00,675.00,620.00,667.00,6.72,20037.00,13230859.50,1
2022-02-22,665.00,708.90,665.00,693.00,3.90,24504.00,17064612.30,1
2022-02-23,693.00,736.00,680.10,733.00,5.77,36539.00,26192572.90,1
2022-02-24,719.00,724.00,677.50,697.00,-4.91,17184.00,12101682.60,-1
2022-02-25,719.00,724.00,677.50,697.00,-4.91,17184.00,12101682.60,-1
2022-02-28,712.90,713.00,654.00,684.80,-2.03,16754.00,11263808.20,-1
2022-03-01,712.90,713.00,654.00,684.80,-2.03,16754.00,11263808.20,-1
2022-03-02,671.20,671.20,650.00,669.50,-2.23,10065.00,6645690.50,-1
2022-03-03,671.20,671.20,650.00,669.50,-2.23,10065.00,6645690.50,-1
2022-03-04,671.20,671.20,650.00,669.50,-2.23,10065.00,6645690.50,-1
2022-03-07,670.00,703.00,652.00,703.00,5.89,6496.00,4363586.30,1
2022-03-08,670.00,703.00,652.00,703.00,5.89,6496.00,4363586.30,1
2022-03-09,700.00,714.00,657.00,665.00,-5.41,7166.00,4843514.60,-1
2022-03-10,675.00,688.50,642.10,677.00,1.80,10378.00,6961018.50,1
2022-03-11,675.00,688.50,642.10,677.00,1.80,10378.00,6961018.50,1
2022-03-14,670.00,679.90,662.00,668.00,-2.20,1558.00,1043162.00,-1
2022-03-15,660.00,678.00,660.00,673.90,0.88,11688.00,7781276.20,1
2022-03-16,680.00,680.00,658.00,674.00,0.01,4550.00,3021570.00,1
2022-03-17,680.00,680.00,658.00,674.00,0.01,4550.00,3021570.00,1
2022-03-18,680.00,680.00,658.00,674.00,0.01,4550.00,3021570.00,1
2022-03-21,676.30,702.70,653.00,671.90,-0.65,15617.00,10413140.40,-1
2022-03-22,670.00,680.00,665.00,670.00,-0.28,4769.00,3186713.00,-1
2022-03-23,657.00,660.00,645.00,646.00,-3.58,6230.00,4059067.50,-1
2022-03-24,650.00,650.00,630.00,633.00,-2.01,3530.00,2260217.00,-1
2022-03-25,650.00,650.00,630.00,633.00,-2.01,3530.00,2260217.00,-1
2022-03-28,609.00,632.00,602.00,615.00,0.99,7254.00,4402531.00,1
2022-03-29,627.00,639.00,602.70,623.00,1.30,5463.00,3353299.00,1
2022-03-30,635.00,635.00,607.10,633.00,1.61,6102.00,3779323.80,1
2022-03-31,640.00,640.00,607.00,627.30,-0.90,5590.00,3444673.00,-1
2022-04-01,640.00,640.00,607.00,627.30,-0.90,5590.00,3444673.00,-1
2022-04-04,600.00,613.10,596.20,596.20,-1.80,4805.00,2896660.00,-1
2022-04-05,596.00,596.00,566.00,590.00,-1.04,7330.00,4239064.00,-1
2022-04-06,580.00,585.00,557.50,566.00,-4.07,3977.00,2278883.00,-1
2022-04-07,566.00,586.00,562.00,586.00,3.53,5225.00,3001349.00,1
