published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,10962.00,11149.40,10962.00,11149.40,0.28,20.00,221114.00,1
2021-11-05,10962.00,11149.40,10962.00,11149.40,0.28,20.00,221114.00,1
2021-11-08,10928.00,11017.00,10801.00,11017.00,-1.19,130.00,1415635.00,-1
2021-11-09,10801.00,10801.00,10501.00,10600.00,-3.79,398.00,4227259.00,-1
2021-11-10,10801.00,10801.00,10501.00,10600.00,-3.79,398.00,4227259.00,-1
2021-11-11,10500.00,10812.00,10500.00,10750.00,1.42,446.00,4718251.00,1
2021-11-12,10500.00,10812.00,10500.00,10750.00,1.42,446.00,4718251.00,1
2021-11-15,12061.00,13007.50,11821.00,13007.50,10.00,2122.00,26923991.50,1
2021-11-16,13267.60,14308.20,13267.60,14051.00,8.02,1461.00,20682800.00,1
2021-11-17,14100.00,14200.00,13000.00,13001.00,-7.47,423.00,5664910.00,-1
2021-11-18,13050.00,13459.90,12741.00,13150.00,1.15,771.00,10082739.90,1
2021-11-19,13050.00,13459.90,12741.00,13150.00,1.15,771.00,10082739.90,1
2021-11-22,12905.70,13160.00,12905.70,13110.00,-0.45,368.00,4832827.00,-1
2021-11-23,12851.00,13108.00,12851.00,13000.00,-0.84,180.00,2340610.00,-1
2021-11-24,12995.10,12999.00,12507.00,12750.00,-1.92,210.00,2683883.00,-1
2021-11-25,12750.00,12800.00,12604.00,12604.00,-1.15,260.00,3291900.00,-1
2021-11-26,12750.00,12800.00,12604.00,12604.00,-1.15,260.00,3291900.00,-1
2021-11-29,12347.10,12347.10,11863.00,11867.00,-1.97,570.00,6848524.00,-1
2021-11-30,11650.00,11859.00,11630.00,11855.00,-0.10,266.00,3101809.00,-1
2021-12-01,11999.00,12200.00,11999.00,12200.00,2.91,93.00,1122545.00,1
2021-12-02,12442.00,12442.00,11715.00,11720.00,-3.93,438.00,5191723.00,-1
2021-12-03,12442.00,12442.00,11715.00,11720.00,-3.93,438.00,5191723.00,-1
2021-12-06,11899.00,12600.00,11282.00,12600.00,7.37,691.00,8460035.00,1
2021-12-07,12840.00,13095.00,12577.40,12577.40,-0.18,570.00,7195042.00,-1
2021-12-08,12330.00,12820.00,12000.00,12000.00,-4.59,675.00,8249651.00,-1
2021-12-09,11760.00,12380.00,11560.20,12380.00,3.17,190.00,2297042.00,1
2021-12-10,11760.00,12380.00,11560.20,12380.00,3.17,190.00,2297042.00,1
2021-12-13,11845.20,12324.00,11845.20,12240.00,5.40,310.00,3768847.00,1
2021-12-14,12484.00,12500.00,12484.00,12500.00,2.12,105.00,1311930.00,1
2021-12-15,12750.00,12750.00,12496.00,12500.00,0.00,105.00,1320360.00,0
2021-12-16,12251.00,12252.00,12006.00,12020.00,-3.84,50.00,605410.00,-1
2021-12-17,12251.00,12252.00,12006.00,12020.00,-3.84,50.00,605410.00,-1
2021-12-20,11780.00,12000.00,11088.70,12000.00,-0.17,1121.00,12700631.00,-1
2021-12-21,11775.00,12820.00,11775.00,12600.00,5.00,1101.00,13596440.00,1
2021-12-22,12650.00,13424.00,12650.00,13280.00,5.40,265.00,3445170.00,1
2021-12-23,13015.00,13300.00,12800.00,13300.00,0.15,718.00,9379280.00,1
2021-12-24,13015.00,13300.00,12800.00,13300.00,0.15,718.00,9379280.00,1
2021-12-27,14889.00,16000.00,14850.00,14850.00,1.73,1285.00,19984041.70,1
2021-12-28,15147.00,15270.00,14845.00,15100.00,1.68,431.00,6534238.00,1
2021-12-29,14798.00,16000.00,14550.00,15199.00,0.66,1014.00,15064395.00,1
2021-12-30,14798.00,16000.00,14550.00,15199.00,0.66,1014.00,15064395.00,1
2021-12-31,14798.00,16000.00,14550.00,15199.00,0.66,1014.00,15064395.00,1
2022-01-03,15891.60,17100.00,15239.00,16399.00,5.26,1191.00,19103496.00,1
2022-01-04,16700.00,17670.00,16163.70,16163.70,-1.43,550.00,9215095.00,-1
2022-01-05,16400.00,16400.00,15533.00,15950.00,-1.32,1474.00,23531243.00,-1
2022-01-06,16250.00,16250.00,15700.00,15700.00,-1.57,331.00,5276675.00,-1
2022-01-07,16250.00,16250.00,15700.00,15700.00,-1.57,331.00,5276675.00,-1
2022-01-10,15884.00,16525.00,14943.90,15483.80,-0.57,950.00,14542561.00,-1
2022-01-11,15175.10,15786.00,15050.00,15351.00,-0.86,1370.00,20970113.00,-1
2022-01-12,15658.00,16100.00,15044.00,15649.00,1.94,2066.00,31493630.00,1
2022-01-13,15961.90,15961.90,15100.00,15636.90,-0.08,240.00,3660338.00,-1
2022-01-14,15961.90,15961.90,15100.00,15636.90,-0.08,240.00,3660338.00,-1
2022-01-17,15164.00,15340.00,15064.00,15299.00,0.84,255.00,3867656.00,1
2022-01-18,14995.00,15060.00,14995.00,15000.00,-1.95,180.00,2704141.50,-1
2022-01-19,15244.90,15244.90,14670.00,14670.00,-2.20,554.00,8181312.00,-1
2022-01-20,14501.00,14790.00,14161.00,14400.00,-1.84,2157.00,30929445.50,-1
2022-01-21,14501.00,14790.00,14161.00,14400.00,-1.84,2157.00,30929445.50,-1
2022-01-24,14950.00,14950.00,14300.00,14400.00,-2.70,419.00,6064251.50,-1
2022-01-25,14500.00,14660.00,14200.00,14200.00,-1.39,710.00,10239470.00,-1
2022-01-26,13950.00,14200.00,13900.00,14000.00,-1.41,580.00,8124351.00,-1
2022-01-27,14280.00,14400.00,14125.00,14300.00,2.14,323.00,4611900.00,1
2022-01-28,14280.00,14400.00,14125.00,14300.00,2.14,323.00,4611900.00,1
2022-01-31,14505.10,14892.00,14350.00,14892.00,0.63,790.00,11467461.80,1
2022-02-01,14800.00,14997.70,14650.00,14696.00,-1.32,300.00,4439167.00,-1
2022-02-02,14800.00,14997.70,14650.00,14696.00,-1.32,300.00,4439167.00,-1
