published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-07-05,814.50,814.50,805.00,805.00,-1.96,175.00,142030.00,-1
2022-07-06,800.30,800.30,800.30,800.30,-0.58,25.00,20007.50,-1
2022-07-07,800.10,832.00,800.00,821.00,2.59,240.00,197192.50,1
2022-07-11,814.00,854.10,814.00,837.10,1.96,135.00,112597.50,1
2022-07-12,837.10,841.00,837.10,841.00,0.47,107.00,89742.20,1
2022-07-13,825.00,825.00,825.00,825.00,-1.90,25.00,20625.00,-1
2022-07-14,841.50,841.50,841.50,841.50,2.00,25.00,21037.50,1
2022-07-17,824.70,824.70,805.00,805.00,-4.34,95.00,77465.50,-1
2022-07-18,795.00,795.00,795.00,795.00,-1.24,47.00,37365.00,-1
2022-07-19,780.10,795.00,780.10,795.00,0.00,100.00,78382.50,0
2022-07-20,780.00,780.00,765.00,765.00,-3.77,40.00,30975.00,-1
2022-07-21,780.00,780.00,780.00,780.00,1.96,100.00,78000.00,1
2022-07-22,766.10,766.10,766.00,766.00,-1.79,50.00,38302.50,-1
2022-07-24,770.00,770.00,770.00,770.00,0.52,50.00,38500.00,1
2022-07-25,785.00,785.00,772.00,772.00,0.26,35.00,27150.00,1
2022-07-26,771.00,786.00,771.00,786.00,1.81,131.00,102501.00,1
2022-07-27,782.10,785.00,782.10,785.00,-0.13,55.00,43088.00,-1
2022-07-28,780.00,780.00,776.00,776.00,-1.15,70.00,54440.00,-1
2022-07-31,770.00,775.00,770.00,775.00,-0.13,75.00,58000.00,-1
2022-08-01,764.60,764.60,764.50,764.50,-1.35,50.00,38227.50,-1
2022-08-03,752.10,767.10,752.10,760.00,-0.59,100.00,75980.00,-1
2022-08-04,760.30,760.30,760.00,760.00,0.00,25.00,19003.00,0
2022-08-05,775.20,775.20,775.20,775.20,2.00,10.00,7752.00,1
2022-08-11,762.00,762.00,762.00,762.00,-1.70,25.00,19050.00,-1
2022-08-12,762.00,762.00,762.00,762.00,-1.70,25.00,19050.00,-1
2022-08-14,762.00,769.00,755.10,769.00,0.92,75.00,57152.50,1
2022-08-15,765.00,765.00,765.00,765.00,-0.52,100.00,76500.00,-1
2022-08-18,780.00,780.00,780.00,780.00,1.96,50.00,39000.00,1
