published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,1786.00,1797.00,1765.00,1780.00,0.68,21222.00,37777256.30,1
2021-11-05,1786.00,1797.00,1765.00,1780.00,0.68,21222.00,37777256.30,1
2021-11-08,1767.00,1792.20,1752.00,1760.00,-1.12,10754.00,19003360.10,-1
2021-11-09,1755.00,1755.00,1711.00,1718.00,-2.39,23902.00,41242663.80,-1
2021-11-10,1755.00,1755.00,1711.00,1718.00,-2.39,23902.00,41242663.80,-1
2021-11-11,1700.00,1715.00,1680.00,1684.00,-1.98,14651.00,24768885.40,-1
2021-11-12,1700.00,1715.00,1680.00,1684.00,-1.98,14651.00,24768885.40,-1
2021-11-15,1754.00,1788.00,1715.00,1727.00,0.41,41074.00,70773548.60,1
2021-11-16,1761.50,1761.50,1725.00,1745.00,1.04,27130.00,47062085.50,1
2021-11-17,1760.00,1770.00,1749.00,1755.00,0.57,25222.00,44333879.50,1
2021-11-18,1790.10,1850.00,1720.00,1761.00,0.34,97600.00,172925777.10,1
2021-11-19,1790.10,1850.00,1720.00,1761.00,0.34,97600.00,172925777.10,1
2021-11-22,1760.00,1760.00,1728.00,1730.00,-1.03,19181.00,33409834.80,-1
2021-11-23,1740.00,1749.00,1710.00,1720.00,-0.58,18005.00,30970802.70,-1
2021-11-24,1705.00,1721.00,1690.00,1712.00,-0.47,13621.00,23176882.80,-1
2021-11-25,1713.00,1716.00,1670.00,1685.00,-1.58,24833.00,41947571.20,-1
2021-11-26,1713.00,1716.00,1670.00,1685.00,-1.58,24833.00,41947571.20,-1
2021-11-29,1620.00,1672.00,1612.00,1628.00,-1.00,15874.00,25954626.90,-1
2021-11-30,1628.00,1640.00,1615.00,1626.90,-0.07,14477.00,23487068.30,-1
2021-12-01,1649.00,1649.00,1627.00,1628.00,0.07,7590.00,12383629.80,1
2021-12-02,1635.00,1650.00,1600.00,1600.50,-1.69,14545.00,23427742.20,-1
2021-12-03,1635.00,1650.00,1600.00,1600.50,-1.69,14545.00,23427742.20,-1
2021-12-06,1560.00,1575.00,1499.90,1573.00,0.00,21457.00,33118242.00,0
2021-12-07,1585.00,1600.00,1545.00,1545.00,-1.78,15386.00,24123190.90,-1
2021-12-08,1536.00,1556.00,1511.00,1515.00,-1.94,9245.00,14129888.90,-1
2021-12-09,1520.00,1520.00,1495.00,1515.00,0.00,11536.00,17450933.50,0
