published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-07-18,1000.00,1000.00,1000.00,1000.00,0.00,25.00,25000.00,0
2022-07-19,980.10,980.10,922.50,922.50,-7.75,50.00,47842.00,-1
2022-07-20,905.00,905.00,874.60,890.00,-3.52,235.00,207609.50,-1
2022-07-21,873.00,880.20,873.00,880.20,-1.10,100.00,87835.00,-1
2022-07-24,870.00,897.60,865.40,897.60,1.98,200.00,175814.50,1
2022-07-25,879.90,885.00,877.00,878.00,-2.18,125.00,109997.50,-1
2022-07-26,895.50,899.90,882.00,882.00,0.46,75.00,66935.00,1
2022-07-27,869.60,878.00,869.60,878.00,-0.45,50.00,43690.00,-1
2022-07-31,875.00,892.50,875.00,892.50,1.65,40.00,35262.50,1
2022-08-01,886.00,886.00,884.00,884.00,-0.95,50.00,44250.00,-1
2022-08-02,870.00,881.00,870.00,881.00,-0.34,150.00,130905.00,-1
2022-08-03,885.00,885.00,885.00,885.00,0.45,50.00,44250.00,1
2022-08-04,885.00,885.00,884.10,884.10,-0.10,20.00,17691.00,-1
2022-08-07,880.00,880.00,876.10,876.10,-0.90,55.00,48302.50,-1
2022-08-09,877.10,890.00,877.10,890.00,1.59,50.00,44177.50,1
2022-08-10,880.00,880.00,880.00,880.00,-1.12,25.00,22000.00,-1
2022-08-11,880.20,881.00,880.20,881.00,0.11,55.00,48431.00,1
2022-08-12,880.20,881.00,880.20,881.00,0.11,55.00,48431.00,1
2022-08-14,881.00,881.00,881.00,881.00,0.00,30.00,26430.00,0
2022-08-16,895.00,895.00,881.30,881.30,0.03,50.00,44407.50,1
2022-08-17,866.00,883.30,866.00,883.30,0.23,50.00,43732.50,1
2022-08-21,880.10,885.00,880.10,885.00,0.19,50.00,44127.50,1
2022-08-22,868.60,892.70,868.60,892.70,0.87,50.00,43770.00,1
2022-08-23,876.00,890.00,874.90,880.00,-1.42,160.00,140638.50,-1
2022-08-24,870.00,870.00,866.00,868.30,-1.33,95.00,82431.00,-1
2022-08-25,871.50,871.50,871.50,871.50,0.37,25.00,21787.50,1
2022-08-28,870.10,870.10,870.00,870.00,-0.17,235.00,204471.00,-1
2022-08-30,870.60,871.20,870.60,871.20,0.14,75.00,65322.50,1
2022-08-31,873.10,873.10,871.40,871.40,0.02,75.00,65440.50,1
2022-09-04,866.00,880.00,866.00,873.00,0.18,205.00,179175.00,1
2022-09-07,870.00,870.00,870.00,870.00,-0.34,25.00,21750.00,-1
2022-09-11,870.00,870.00,870.00,870.00,0.00,25.00,21750.00,0
2022-09-18,853.10,854.10,853.10,854.10,-1.83,50.00,42680.00,-1
2022-09-19,853.10,854.10,853.10,854.10,-1.83,50.00,42680.00,-1
2022-09-20,849.00,849.00,849.00,849.00,-0.60,25.00,21225.00,-1
2022-09-22,843.20,847.40,843.20,847.40,-0.19,75.00,63345.00,-1
2022-09-25,864.30,864.30,864.30,864.30,1.99,190.00,164217.00,1
2022-09-26,864.30,864.30,864.30,864.30,1.99,190.00,164217.00,1
2022-09-28,880.00,880.00,863.00,863.00,-0.15,75.00,65405.00,-1
2022-09-29,848.10,848.10,848.00,848.00,-1.74,50.00,42402.50,-1
2022-10-02,848.10,848.10,848.00,848.00,-1.74,50.00,42402.50,-1
2022-10-03,848.10,848.10,848.00,848.00,-1.74,50.00,42402.50,-1
2022-10-04,848.10,848.10,848.00,848.00,-1.74,50.00,42402.50,-1
2022-10-05,848.10,848.10,848.00,848.00,-1.74,50.00,42402.50,-1
2022-10-06,848.10,848.10,848.00,848.00,-1.74,50.00,42402.50,-1
2022-10-09,850.10,850.10,850.10,850.10,0.25,95.00,80759.50,1
