published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-07-27,1000.00,1000.00,1000.00,1000.00,0.00,100.00,100000.00,0
2022-09-22,980.00,980.00,941.40,941.40,-5.86,65.00,62052.00,-1
2022-10-10,922.60,922.60,922.60,922.60,-2.00,10.00,9226.00,-1
2022-10-20,904.20,904.20,851.30,851.30,-7.73,105.00,92013.00,-1
2022-10-23,837.00,858.00,837.00,858.00,0.79,125.00,105930.00,1
2022-10-24,837.00,858.00,837.00,858.00,0.79,125.00,105930.00,1
2022-10-25,837.00,858.00,837.00,858.00,0.79,125.00,105930.00,1
2022-10-26,837.00,858.00,837.00,858.00,0.79,125.00,105930.00,1
2022-10-27,837.00,858.00,837.00,858.00,0.79,125.00,105930.00,1
2022-10-30,837.00,858.00,837.00,858.00,0.79,125.00,105930.00,1
2022-10-31,850.00,850.00,850.00,850.00,-0.93,15.00,12750.00,-1
2022-11-01,845.00,857.20,840.40,857.20,0.85,65.00,54993.00,1
2022-11-02,858.00,858.00,843.20,843.20,-1.63,45.00,38303.00,-1
2022-11-03,860.00,870.00,843.20,870.00,3.18,125.00,106127.50,1
2022-11-07,853.10,856.10,853.10,856.10,-1.60,50.00,42730.00,-1
2022-11-08,856.10,873.20,856.10,856.60,0.06,60.00,51549.50,1
2022-11-09,856.60,873.70,856.00,858.00,0.16,140.00,120127.00,1
2022-11-10,852.10,853.40,852.00,853.40,-0.54,65.00,55417.50,-1
2022-11-14,847.10,852.00,846.60,852.00,-0.16,118.00,100049.90,-1
2022-11-15,846.50,846.50,846.50,846.50,-0.65,25.00,21162.50,-1
2022-11-16,842.60,846.90,842.60,846.90,0.05,125.00,105722.50,1
2022-11-17,850.00,850.00,850.00,850.00,0.37,25.00,21250.00,1
2022-11-20,850.00,850.00,850.00,850.00,0.37,25.00,21250.00,1
2022-11-21,850.00,850.00,850.00,850.00,0.37,25.00,21250.00,1
2022-11-22,860.00,860.00,860.00,860.00,1.18,65.00,55900.00,1
2022-11-24,845.50,845.50,845.50,845.50,-1.69,25.00,21137.50,-1
2022-11-30,842.50,842.50,842.50,842.50,-0.35,25.00,21062.50,-1
2022-12-01,841.20,841.20,841.20,841.20,-0.15,25.00,21030.00,-1
2022-12-04,850.00,850.00,850.00,850.00,1.05,25.00,21250.00,1
2022-12-06,850.00,850.00,850.00,850.00,0.00,25.00,21250.00,0
2022-12-11,840.10,843.00,840.10,841.10,-1.05,125.00,105237.50,-1
2022-12-18,841.10,841.10,841.10,841.10,0.00,25.00,21027.50,0
2022-12-20,857.90,857.90,842.70,842.70,0.19,75.00,63585.10,1
2022-12-21,843.00,843.00,843.00,843.00,0.04,25.00,21075.00,1
2022-12-27,838.70,838.70,838.60,838.60,-0.52,30.00,25160.00,-1
2023-01-01,837.60,837.60,837.60,837.60,-0.12,25.00,20940.00,-1
2023-01-02,854.30,854.30,854.30,854.30,1.99,25.00,21357.50,1
2023-01-04,845.30,845.30,845.20,845.20,-1.07,50.00,42262.50,-1
2023-01-08,845.80,867.00,845.60,867.00,2.58,185.00,157837.90,1
2023-01-09,884.30,884.30,884.30,884.30,2.00,30.00,26529.00,1
2023-01-18,866.70,866.70,849.40,866.30,-2.04,175.00,150355.00,-1
2023-01-19,849.00,849.00,849.00,849.00,-2.00,125.00,106125.00,-1
2023-01-22,849.00,849.00,849.00,849.00,-2.00,125.00,106125.00,-1
2023-01-23,846.10,846.20,846.10,846.20,-0.33,25.00,21153.50,-1
2023-01-24,845.00,845.00,845.00,845.00,-0.14,25.00,21125.00,-1
2023-01-25,845.00,845.00,845.00,845.00,0.00,25.00,21125.00,0
2023-01-29,840.10,845.00,840.10,845.00,0.00,75.00,63130.00,0
2023-01-30,845.00,845.00,845.00,845.00,0.00,25.00,21125.00,0
2023-02-05,850.00,850.00,850.00,850.00,0.59,25.00,21250.00,1
2023-02-08,850.00,850.00,850.00,850.00,0.00,30.00,25500.00,0
2023-02-15,845.00,845.00,845.00,845.00,-0.59,25.00,21125.00,-1
2023-02-22,861.90,861.90,844.70,844.70,-0.04,50.00,42665.00,-1
2023-02-23,838.00,838.00,838.00,838.00,-0.79,25.00,20950.00,-1
2023-02-26,825.10,825.10,825.10,825.10,-1.54,30.00,24753.00,-1
2023-02-27,816.00,820.00,816.00,820.00,-0.62,50.00,40900.00,-1
2023-03-01,819.10,819.10,819.10,819.10,-0.11,25.00,20477.50,-1
2023-03-15,835.40,835.40,835.40,835.40,1.99,10.00,8354.00,1
2023-03-22,832.80,832.80,832.80,832.80,-0.31,25.00,20820.00,-1
2023-03-23,831.00,831.00,831.00,831.00,-0.22,25.00,20775.00,-1
2023-03-27,832.30,833.10,832.30,833.10,0.25,40.00,33308.00,1
2023-03-29,835.80,835.80,835.70,835.70,0.31,50.00,41787.70,1
2023-04-17,890.00,898.00,890.00,898.00,0.09,47.00,42038.00,1
2023-04-23,905.00,905.00,895.10,895.10,-0.54,87.00,78254.40,-1
2023-04-24,898.50,898.50,898.50,898.50,0.38,40.00,35940.00,1
2023-04-26,897.10,897.10,897.10,897.10,-0.16,27.00,24221.70,-1
2023-04-30,905.00,905.00,905.00,905.00,0.88,50.00,45250.00,1
2023-05-01,905.00,905.00,905.00,905.00,0.88,50.00,45250.00,1
2023-05-02,890.20,890.20,890.20,890.20,-1.64,25.00,22255.00,-1
2023-05-07,882.50,882.50,882.50,882.50,-0.86,25.00,22062.50,-1
2023-05-08,881.10,881.10,881.10,881.10,-0.16,25.00,22027.50,-1
2023-05-15,898.70,899.00,898.70,899.00,2.03,50.00,44942.50,1
2023-05-16,916.00,916.00,916.00,916.00,1.89,50.00,45800.00,1
2023-05-17,900.10,917.90,900.00,917.90,0.21,85.00,76806.50,1
2023-05-21,915.00,915.00,915.00,915.00,-0.32,25.00,22875.00,-1
2023-05-22,905.00,905.00,905.00,905.00,-1.09,25.00,22625.00,-1
2023-05-30,910.00,910.00,910.00,910.00,0.55,25.00,22750.00,1
2023-06-01,928.20,928.20,928.20,928.20,2.00,10.00,9282.00,1
2023-06-06,909.70,909.70,900.00,900.00,-3.04,60.00,54339.50,-1
2023-06-08,900.00,900.00,900.00,900.00,0.00,25.00,22500.00,0
2023-06-11,905.00,905.00,900.30,900.30,0.03,100.00,90267.70,1
2023-06-12,918.30,918.30,918.30,918.30,2.00,25.00,22957.50,1
2023-06-13,919.00,919.00,919.00,919.00,0.08,50.00,45950.00,1
2023-06-14,937.30,943.00,927.00,943.00,2.61,55.00,51379.50,1
2023-06-18,949.90,951.00,949.90,951.00,0.85,55.00,52287.00,1
2023-06-19,940.00,940.00,940.00,940.00,-1.16,25.00,23500.00,-1
2023-06-20,940.00,940.00,940.00,940.00,0.00,25.00,23500.00,0
2023-06-27,922.00,922.00,922.00,922.00,-1.91,25.00,23050.00,-1
2023-06-28,921.00,921.00,921.00,921.00,-0.11,100.00,92100.00,-1
2023-06-29,921.00,921.00,921.00,921.00,-0.11,100.00,92100.00,-1
2023-07-02,921.10,921.10,921.10,921.10,0.01,25.00,23027.50,1
2023-07-03,925.00,925.00,921.10,921.10,0.00,100.00,92305.00,0
2023-07-09,939.50,958.20,939.50,958.20,4.03,35.00,33069.50,1
2023-07-10,945.10,983.20,945.00,983.20,2.61,85.00,81141.50,1
2023-07-12,1002.80,1002.80,1002.80,1002.80,1.99,10.00,10028.00,1
2023-07-13,1022.80,1022.80,1003.00,1021.00,1.81,45.00,45513.00,1
2023-07-16,1022.90,1022.90,1022.90,1022.90,0.19,10.00,10229.00,1
2023-08-09,1002.50,1002.50,920.70,920.70,-9.99,170.00,158923.00,-1
2023-08-10,905.80,908.20,905.80,908.20,-1.36,100.00,90705.00,-1
2023-08-14,894.00,894.00,882.00,882.00,-2.88,50.00,44400.00,-1
2023-08-15,899.60,899.60,899.60,899.60,2.00,60.00,53976.00,1
2023-08-16,885.30,903.00,885.30,903.00,0.38,51.00,45592.80,1
