published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2017-09-17,163.0,165.0,158.0,159.0,nan,248.0,39778.0,0
2017-09-18,159.0,165.0,157.0,163.0,2.52,603.0,97469.0,0
2017-09-20,163.0,165.0,161.0,161.0,-1.23,131.0,21205.0,0
2017-09-24,161.0,163.0,158.0,163.0,1.24,618.0,99240.0,0
2017-09-25,163.0,169.0,166.0,169.0,3.68,80.0,13490.0,0
2017-09-26,169.0,179.0,169.0,175.0,3.55,1151.0,199407.0,0
2017-10-03,175.0,175.0,172.0,172.0,-1.71,150.0,26148.0,0
2017-10-04,172.0,172.0,172.0,172.0,0.0,40.0,6880.0,0
2017-10-08,172.0,173.0,166.0,173.0,0.58,94.0,15900.0,0
2017-10-09,173.0,170.0,168.0,168.0,-2.89,172.0,29084.0,0
2017-10-10,168.0,168.0,163.0,168.0,0.0,228.0,37866.0,0
2017-10-11,168.0,168.0,165.0,168.0,0.0,76.0,12690.0,0
2017-10-12,168.0,174.0,168.0,173.0,2.98,92.0,15796.0,0
2017-10-15,173.0,176.0,171.0,176.0,1.73,352.0,61108.0,0
2017-10-16,176.0,185.0,179.0,185.0,5.11,541.0,97977.0,0
2017-10-17,185.0,196.0,183.0,196.0,5.95,1005.0,190129.0,0
2017-10-18,196.0,196.0,195.0,196.0,0.0,30.0,5870.0,0
2017-10-22,196.0,199.0,196.0,199.0,1.53,56.0,11054.0,0
2017-10-23,199.0,198.0,192.0,195.0,-2.01,422.0,82204.0,0
2017-10-24,195.0,205.0,195.0,205.0,5.13,888.0,176844.0,0
2017-10-25,205.0,213.0,201.0,201.0,-1.95,1238.0,250886.0,0
2017-10-29,201.0,199.0,197.0,199.0,-1.00,20.0,3960.0,0
2017-10-30,199.0,197.0,196.0,196.0,-1.51,88.0,17258.0,0
2017-10-31,196.0,195.0,190.0,195.0,-0.51,351.0,67361.0,0
2017-11-01,195.0,194.0,192.0,194.0,-0.51,197.0,38188.0,0
2017-11-02,194.0,194.0,190.0,190.0,-2.06,258.0,49241.0,0
2017-11-05,190.0,196.0,187.0,196.0,3.16,199.0,37756.0,0
2017-11-06,196.0,196.0,190.0,194.0,-1.02,114.0,22000.0,0
2017-11-07,194.0,191.0,188.0,188.0,-3.09,20.0,3790.0,0
2017-11-08,188.0,185.0,182.0,182.0,-3.19,162.0,29616.0,0
2017-11-09,182.0,185.0,173.0,185.0,1.65,378.0,68564.0,0
2017-11-12,185.0,182.0,178.0,181.0,-2.16,142.0,25434.0,0
2017-11-13,181.0,180.0,179.0,180.0,-0.55,424.0,76266.0,0
2017-11-14,180.0,180.0,175.0,180.0,0.0,871.0,155119.0,0
2017-11-15,180.0,181.0,178.0,178.0,-1.11,225.0,40212.0,0
2017-11-16,178.0,181.0,175.0,178.0,0.0,3014.0,536402.0,0
2017-11-19,178.0,175.0,172.0,175.0,-1.69,1655.0,289259.0,0
2017-11-20,175.0,178.0,176.0,176.0,0.57,60.0,10600.0,0
2017-11-21,176.0,177.0,171.0,175.0,-0.57,514.0,89924.0,0
2017-11-22,175.0,173.0,167.0,171.0,-2.29,387.0,66229.0,0
2017-11-23,171.0,170.0,170.0,170.0,-0.58,168.0,28560.0,0
2017-11-26,170.0,180.0,169.0,180.0,5.88,82.0,14266.0,0
2017-11-27,180.0,183.0,179.0,183.0,1.67,433.0,78206.0,0
2017-11-28,183.0,186.0,183.0,186.0,1.64,98.0,17984.0,0
2017-11-29,186.0,188.0,183.0,183.0,-1.61,671.0,124860.0,0
2017-11-30,183.0,188.0,180.0,188.0,2.73,333.0,61395.0,0
2017-12-04,188.0,185.0,180.0,181.0,-3.72,386.0,70471.0,0
2017-12-05,181.0,186.0,180.0,186.0,2.76,365.0,66392.0,0
2017-12-06,186.0,204.0,186.0,200.0,7.53,1341.0,264141.0,0
2017-12-10,200.0,199.0,193.0,199.0,-0.50,512.0,100696.0,0
2017-12-11,199.0,196.0,191.0,191.0,-4.02,94.0,18024.0,0
2017-12-12,191.0,192.0,188.0,189.0,-1.05,1884.0,358252.0,0
2017-12-13,189.0,188.0,185.0,185.0,-2.12,64.0,11900.0,0
2017-12-14,185.0,185.0,182.0,184.0,-0.54,130.0,23890.0,0
2017-12-17,184.0,184.0,180.0,184.0,0.0,118.0,21518.0,0
2017-12-18,184.0,184.0,183.0,183.0,-0.54,278.0,51040.0,0
2017-12-19,183.0,184.0,181.0,183.0,0.0,70.0,12790.0,0
2017-12-20,183.0,182.0,180.0,181.0,-1.09,122.0,22106.0,0
2017-12-21,181.0,184.0,178.0,184.0,1.66,573.0,105080.0,0
2017-12-24,184.0,181.0,172.0,172.0,-6.52,70.0,12400.0,0
2017-12-26,172.0,175.0,171.0,174.0,1.16,201.0,34797.0,0
2017-12-27,174.0,177.0,172.0,172.0,-1.15,272.0,47064.0,0
2017-12-28,172.0,173.0,170.0,171.0,-0.58,172.0,29393.0,0
2017-12-31,171.0,172.0,169.0,169.0,-1.17,648.0,110446.0,0
2018-01-01,169.0,178.0,170.0,175.0,3.55,154.0,26730.0,0
2018-01-02,175.0,183.0,172.0,180.0,2.86,1050.0,188760.0,0
2018-01-03,180.0,178.0,177.0,178.0,-1.11,94.0,16688.0,0
2018-01-04,178.0,181.0,175.0,181.0,1.69,299.0,53602.0,0
2018-01-07,181.0,185.0,180.0,183.0,1.10,238.0,43592.0,0
2018-01-08,183.0,184.0,183.0,183.0,0.0,560.0,103030.0,0
2018-01-09,183.0,183.0,181.0,181.0,-1.09,141.0,25589.0,0
2018-01-10,181.0,180.0,179.0,179.0,-1.10,190.0,34160.0,0
2018-01-14,179.0,180.0,178.0,178.0,-0.56,45.0,8080.0,0
2018-01-16,178.0,175.0,169.0,169.0,-5.06,74.0,12788.0,0
2018-01-17,169.0,171.0,166.0,171.0,1.18,154.0,25864.0,0
2018-01-21,171.0,176.0,171.0,173.0,1.17,271.0,46860.0,0
2018-01-22,173.0,170.0,167.0,170.0,-1.73,40.0,6770.0,0
2018-01-23,170.0,168.0,165.0,168.0,-1.18,90.0,15070.0,0
2018-01-24,168.0,175.0,170.0,175.0,4.17,105.0,18035.0,0
2018-01-25,175.0,174.0,172.0,172.0,-1.71,135.0,23250.0,0
2018-01-28,172.0,173.0,170.0,173.0,0.58,179.0,30552.0,0
2018-01-29,173.0,176.0,170.0,170.0,-1.73,192.0,32980.0,0
2018-01-31,170.0,175.0,168.0,172.0,1.18,94.0,16136.0,0
2018-02-01,172.0,174.0,171.0,172.0,0.0,72.0,12360.0,0
2018-02-04,172.0,170.0,166.0,168.0,-2.33,105.0,17665.0,0
2018-02-06,168.0,170.0,168.0,168.0,0.0,152.0,25810.0,0
2018-02-07,168.0,171.0,168.0,171.0,1.79,563.0,96243.0,0
2018-02-08,171.0,174.0,170.0,172.0,0.58,736.0,125802.0,0
2018-02-11,172.0,172.0,169.0,169.0,-1.74,64.0,10876.0,0
2018-02-12,169.0,169.0,166.0,166.0,-1.78,538.0,90148.0,0
2018-02-14,166.0,168.0,168.0,168.0,1.20,88.0,14784.0,0
2018-02-15,168.0,174.0,168.0,174.0,3.57,148.0,25210.0,0
2018-02-18,177.0,180.0,177.0,180.0,3.45,40.0,7170.0,1
