published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-07-10,1020.00,1040.00,1000.00,1040.00,0.00,230.00,231500.00,0
2023-07-12,1020.00,1020.00,1020.00,1020.00,-1.92,25.00,25500.00,-1
2023-07-27,1000.00,1020.00,1000.00,1020.00,0.00,25025.00,25525000.00,0
2023-07-31,1000.00,1000.00,1000.00,1000.00,-1.96,150.00,150000.00,-1
2023-11-30,980.00,980.00,980.00,980.00,-2.00,150.00,147000.00,-1
2023-12-04,980.00,980.00,980.00,980.00,0.00,25.00,24500.00,0
2023-12-05,980.00,980.00,961.00,961.00,-1.94,250.00,244412.50,-1
2023-12-17,963.10,963.10,963.10,963.10,0.22,25.00,24077.50,1
2023-12-20,966.00,966.00,965.00,965.00,0.20,100.00,96527.50,1
2023-12-24,967.00,967.00,967.00,967.00,0.21,25.00,24175.00,1
2023-12-25,967.00,967.00,967.00,967.00,0.21,25.00,24175.00,1
2023-12-26,967.00,967.00,967.00,967.00,0.21,25.00,24175.00,1
2024-01-16,950.20,950.20,950.20,950.20,-1.74,25.00,23755.00,-1
2024-01-17,950.00,953.00,950.00,953.00,0.29,75.00,71325.00,1
2024-01-21,972.00,972.00,972.00,972.00,1.99,10.00,9720.00,1
2024-01-23,990.00,991.00,990.00,991.00,1.95,40.00,39625.00,1
2024-01-25,990.00,990.00,990.00,990.00,-0.10,25.00,24750.00,-1
2024-01-28,990.00,995.00,990.00,995.00,0.51,60.00,59525.00,1
2024-01-31,999.90,999.90,999.90,999.90,0.49,25.00,24997.50,1
2024-02-04,990.00,995.00,990.00,995.00,-0.49,50.00,49625.00,-1
2024-02-08,1000.00,1000.00,1000.00,1000.00,0.50,25.00,25000.00,1
2024-02-12,1000.00,1000.00,1000.00,1000.00,0.00,25.00,25000.00,0
2024-02-25,999.00,999.00,999.00,999.00,-0.10,25.00,24975.00,-1
2024-03-05,1018.90,1018.90,1018.90,1018.90,1.99,1265.00,1288908.50,1
2024-03-07,1000.00,1002.00,1000.00,1002.00,-1.66,75.00,75100.00,-1
2024-03-19,1008.00,1008.00,1008.00,1008.00,0.60,25.00,25200.00,1
2024-03-28,1015.00,1015.00,1015.00,1015.00,0.69,25.00,25375.00,1
2024-04-10,1000.30,1000.30,1000.30,1000.30,-1.45,25.00,25007.50,-1
