published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-12-21,300.00,330.00,300.00,330.00,10.00,2080.00,683944.50,1
2023-12-24,335.50,363.00,335.50,363.00,10.00,3090.00,1120048.40,1
2023-12-25,335.50,363.00,335.50,363.00,10.00,3090.00,1120048.40,1
2023-12-26,335.50,363.00,335.50,363.00,10.00,3090.00,1120048.40,1
2023-12-27,363.00,399.30,363.00,399.30,10.00,3660.00,1459771.60,1
2023-12-28,407.00,439.20,407.00,439.20,9.99,5760.00,2528288.10,1
2023-12-31,407.00,439.20,407.00,439.20,9.99,5760.00,2528288.10,1
2024-01-01,447.90,483.10,447.90,483.10,10.00,4780.00,2304831.00,1
2024-01-02,492.70,531.40,320.83,531.40,10.00,7805.00,4010775.35,1
2024-01-03,542.00,584.50,535.10,549.00,3.31,85750.00,47627071.00,1
2024-01-04,540.00,593.00,527.40,589.20,7.32,30058.00,16960690.40,1
2024-01-07,595.00,595.00,555.50,556.00,-5.63,33610.00,19052914.90,-1
2024-01-08,550.00,581.00,545.10,560.00,0.72,26658.00,14804913.50,1
2024-01-09,571.20,571.20,545.10,546.00,-2.50,20017.00,11098914.90,-1
2024-01-10,540.00,566.00,540.00,550.00,0.73,18125.00,10079452.00,1
2024-01-11,550.00,567.10,542.00,552.00,0.36,12850.00,7099835.00,1
2024-01-14,552.00,582.00,552.00,582.00,5.43,29379.00,16711231.20,1
2024-01-15,552.00,582.00,552.00,582.00,5.43,29379.00,16711231.20,1
2024-01-16,575.00,591.90,562.00,566.00,-2.75,27503.00,15697788.90,-1
2024-01-17,566.00,567.10,532.20,532.20,-5.97,19224.00,10535538.30,-1
2024-01-18,523.00,542.00,510.10,542.00,1.84,25225.00,13041862.50,1
2024-01-21,552.80,552.80,514.00,518.00,-4.43,24374.00,12849334.90,-1
2024-01-22,509.00,518.00,502.00,515.00,-0.58,16169.00,8251636.10,-1
2024-01-23,505.00,529.90,505.00,510.20,-0.93,9940.00,5108266.00,-1
2024-01-24,511.50,520.00,505.70,512.00,0.35,9615.00,4934912.00,1
2024-01-25,501.80,521.20,496.00,513.00,0.20,11475.00,5794400.00,1
2024-01-28,511.00,519.00,505.30,511.50,-0.29,9710.00,4958910.00,-1
2024-01-29,503.90,530.00,503.90,520.00,1.66,12033.00,6264120.00,1
2024-01-30,525.00,534.00,520.00,524.50,0.87,10035.00,5284417.50,1
2024-01-31,514.50,530.00,506.00,510.00,-2.76,9836.00,5097750.70,-1
2024-02-01,505.00,510.00,495.00,496.00,-2.75,13912.00,6936963.70,-1
2024-02-04,488.00,502.00,485.20,488.00,-1.61,10456.00,5122303.50,-1
2024-02-05,488.00,500.00,488.00,495.10,1.45,7785.00,3854325.00,1
2024-02-06,485.20,510.00,485.20,509.90,2.99,8571.00,4279611.60,1
2024-02-07,511.00,525.00,504.20,517.00,1.39,10480.00,5427318.10,1
2024-02-08,510.00,521.00,510.00,520.00,0.58,7642.00,3945462.70,1
2024-02-11,515.00,530.00,515.00,520.60,0.12,16154.00,8457641.70,1
2024-02-12,518.00,572.60,516.30,572.60,9.99,60320.00,33675768.90,1
2024-02-13,572.60,575.50,539.00,545.00,-4.82,30094.00,16784193.60,-1
2024-02-14,535.00,557.00,535.00,551.00,1.10,13916.00,7622640.50,1
2024-02-15,540.00,555.90,530.20,538.00,-2.36,18910.00,10279924.00,-1
2024-02-18,538.00,538.00,519.40,530.00,-1.49,12539.00,6606648.50,-1
2024-02-19,538.00,538.00,519.40,530.00,-1.49,12539.00,6606648.50,-1
2024-02-20,522.00,559.00,520.10,549.00,3.58,23105.00,12527236.50,1
2024-02-21,538.10,557.00,538.10,551.00,0.36,27457.00,15105360.80,1
2024-02-22,540.00,574.00,540.00,573.00,3.99,66059.00,37524877.80,1
2024-02-25,574.00,624.90,563.00,622.00,8.55,52197.00,31371945.60,1
2024-02-26,609.60,641.00,609.60,635.00,2.09,25585.00,16002469.00,1
2024-02-27,622.30,686.80,602.90,602.90,-5.06,34944.00,21688971.90,-1
2024-02-28,614.90,663.10,604.00,661.00,9.64,86100.00,55025130.00,1
2024-02-29,661.00,670.00,621.00,670.00,1.36,31070.00,19778587.50,1
2024-03-03,656.60,656.60,610.00,619.80,-7.49,12202.00,7593982.50,-1
2024-03-04,632.10,657.00,632.10,643.00,3.74,1807.00,1159391.00,1
2024-03-05,655.80,655.80,600.00,611.90,-4.84,21669.00,13229482.20,-1
2024-03-06,601.00,640.00,598.00,624.00,1.98,31625.00,19331050.00,1
2024-03-07,611.60,680.00,605.00,680.00,8.97,23216.00,14513871.90,1
2024-03-10,666.40,666.40,622.50,632.00,-7.06,56581.00,35598952.80,-1
2024-03-11,666.40,666.40,622.50,632.00,-7.06,56581.00,35598952.80,-1
