published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,1273.00,1274.00,1221.00,1226.00,-1.82,7043.00,8751640.50,-1
2021-11-05,1273.00,1274.00,1221.00,1226.00,-1.82,7043.00,8751640.50,-1
2021-11-08,1250.50,1250.50,1168.00,1191.00,-2.85,7197.00,8618618.00,-1
2021-11-09,1190.00,1205.00,1145.00,1152.00,-3.27,4293.00,5005446.00,-1
2021-11-10,1190.00,1205.00,1145.00,1152.00,-3.27,4293.00,5005446.00,-1
2021-11-11,1135.00,1155.00,1129.00,1138.00,-1.22,3490.00,3960007.00,-1
2021-11-12,1135.00,1155.00,1129.00,1138.00,-1.22,3490.00,3960007.00,-1
2021-11-15,1143.40,1188.80,1130.10,1130.10,0.81,1855.00,2121140.70,1
2021-11-16,1120.20,1175.00,1120.20,1156.80,2.36,1922.00,2229786.30,1
2021-11-17,1178.00,1179.50,1137.00,1147.00,-0.85,5661.00,6487293.50,-1
2021-11-18,1147.00,1160.00,1120.00,1120.00,-2.35,1537.00,1743228.00,-1
2021-11-19,1147.00,1160.00,1120.00,1120.00,-2.35,1537.00,1743228.00,-1
2021-11-22,1145.00,1145.00,1122.00,1126.00,0.24,926.00,1043905.10,1
2021-11-23,1130.00,1142.00,1104.10,1104.10,-1.94,1941.00,2161107.20,-1
2021-11-24,1100.00,1118.00,1100.00,1110.00,0.53,1693.00,1879618.00,1
2021-11-25,1111.00,1120.00,1100.00,1100.00,-0.90,640.00,708306.00,-1
2021-11-26,1111.00,1120.00,1100.00,1100.00,-0.90,640.00,708306.00,-1
2021-11-29,1055.00,1096.00,1055.00,1067.00,-0.74,1074.00,1156790.00,-1
2021-11-30,1060.00,1060.00,1050.00,1060.00,-0.66,1321.00,1394669.00,-1
2021-12-01,1070.00,1070.00,1041.10,1041.10,-1.78,1229.00,1301618.00,-1
2021-12-02,1050.00,1050.00,968.80,1000.00,-3.95,7137.00,7104488.50,-1
2021-12-03,1050.00,1050.00,968.80,1000.00,-3.95,7137.00,7104488.50,-1
2021-12-06,955.00,955.00,902.00,940.00,-1.57,5552.00,5205105.00,-1
2021-12-07,958.80,994.00,946.00,970.00,3.19,3201.00,3093333.90,1
2021-12-08,950.60,951.10,930.00,935.00,-3.61,2414.00,2269293.60,-1
2021-12-09,950.90,950.90,918.10,935.00,0.00,1122.00,1040962.90,0
2021-12-10,950.90,950.90,918.10,935.00,0.00,1122.00,1040962.90,0
2021-12-13,884.10,887.60,867.00,880.00,-2.44,1980.00,1737419.00,-1
2021-12-14,897.00,936.30,897.00,936.30,6.40,713.00,659849.00,1
2021-12-15,955.00,988.50,906.00,929.00,-0.78,2908.00,2765627.70,-1
2021-12-16,911.00,929.20,885.00,885.00,-4.74,1717.00,1544284.00,-1
2021-12-17,911.00,929.20,885.00,885.00,-4.74,1717.00,1544284.00,-1
2021-12-20,885.00,902.00,880.00,890.00,0.56,610.00,542565.00,1
2021-12-21,907.00,907.00,885.00,898.00,0.90,1354.00,1208667.00,1
2021-12-22,900.00,948.00,900.00,948.00,5.57,4612.00,4287686.00,1
2021-12-23,960.00,966.00,918.00,938.00,-1.05,2546.00,2421853.40,-1
2021-12-24,960.00,966.00,918.00,938.00,-1.05,2546.00,2421853.40,-1
2021-12-27,989.00,1020.00,950.00,950.00,-2.06,6898.00,6765561.00,-1
2021-12-28,969.00,969.00,945.00,955.10,0.54,1224.00,1166098.20,1
2021-12-29,950.00,968.50,945.00,945.00,-1.06,870.00,826459.00,-1
2021-12-30,950.00,968.50,945.00,945.00,-1.06,870.00,826459.00,-1
2021-12-31,950.00,968.50,945.00,945.00,-1.06,870.00,826459.00,-1
2022-01-03,1016.00,1077.00,990.80,1049.00,3.76,9752.00,10204580.40,1
2022-01-04,1029.00,1088.00,1028.10,1085.00,3.43,5606.00,5988568.30,1
2022-01-05,1100.00,1100.00,1035.00,1040.00,-4.15,3598.00,3783594.10,-1
2022-01-06,1020.10,1060.00,1010.00,1050.00,0.96,1668.00,1735637.00,1
2022-01-07,1020.10,1060.00,1010.00,1050.00,0.96,1668.00,1735637.00,1
2022-01-10,1098.00,1098.00,1065.00,1079.00,-0.09,1588.00,1708430.00,-1
2022-01-11,1080.00,1186.00,1071.00,1186.00,9.92,11001.00,12397042.00,1
2022-01-12,1209.70,1209.70,1137.00,1137.00,-4.13,7468.00,8689096.10,-1
2022-01-13,1140.00,1180.00,1125.00,1173.00,3.17,7129.00,8201540.00,1
2022-01-14,1140.00,1180.00,1125.00,1173.00,3.17,7129.00,8201540.00,1
2022-01-17,1233.00,1233.00,1183.00,1195.00,-1.16,6067.00,7240480.00,-1
2022-01-18,1200.00,1200.00,1135.00,1157.00,-3.18,4805.00,5633705.10,-1
2022-01-19,1158.00,1180.00,1130.00,1150.00,-0.61,14397.00,16476589.10,-1
2022-01-20,1145.00,1165.00,1140.00,1155.10,0.44,2617.00,3018147.00,1
2022-01-21,1145.00,1165.00,1140.00,1155.10,0.44,2617.00,3018147.00,1
2022-01-24,1135.00,1140.00,1093.00,1125.00,-2.85,6064.00,6773148.10,-1
2022-01-25,1102.50,1140.00,1087.00,1122.00,-0.27,3586.00,3991542.00,-1
2022-01-26,1101.00,1123.00,1080.00,1109.00,-1.16,9282.00,10062999.60,-1
2022-01-27,1110.00,1122.00,1090.00,1122.00,1.17,4830.00,5325754.60,1
2022-01-28,1110.00,1122.00,1090.00,1122.00,1.17,4830.00,5325754.60,1
2022-01-31,1170.00,1170.00,1130.00,1130.00,-3.42,5256.00,5988611.90,-1
2022-02-01,1117.00,1140.00,1085.90,1106.00,-2.12,7701.00,8538297.90,-1
2022-02-02,1117.00,1140.00,1085.90,1106.00,-2.12,7701.00,8538297.90,-1
2022-02-03,1113.00,1140.00,1106.00,1120.00,1.27,5054.00,5683039.50,1
2022-02-04,1113.00,1140.00,1106.00,1120.00,1.27,5054.00,5683039.50,1
2022-02-07,1100.00,1108.00,1095.00,1100.00,0.00,1745.00,1920998.70,0
2022-02-08,1122.00,1124.00,1090.00,1100.00,0.00,2624.00,2889176.00,0
2022-02-09,1080.00,1100.00,1080.00,1095.00,-0.45,695.00,753716.00,-1
2022-02-10,1090.00,1099.00,1073.00,1090.00,-0.46,652.00,708712.00,-1
2022-02-11,1090.00,1099.00,1073.00,1090.00,-0.46,652.00,708712.00,-1
2022-02-14,1056.00,1058.00,1030.00,1050.00,1.35,2354.00,2459717.00,1
2022-02-15,1070.00,1086.00,1047.00,1071.00,2.00,1041.00,1110881.90,1
2022-02-16,1072.00,1072.00,1016.00,1059.00,-1.12,2786.00,2924308.80,-1
2022-02-17,1060.00,1060.00,1035.00,1035.00,-2.27,2250.00,2343344.60,-1
2022-02-18,1060.00,1060.00,1035.00,1035.00,-2.27,2250.00,2343344.60,-1
2022-02-21,1019.00,1025.00,983.00,1020.00,1.69,5101.00,5110681.20,1
2022-02-22,1040.40,1040.40,997.00,1000.00,-1.96,7620.00,7674800.90,-1
2022-02-23,1010.00,1010.00,988.90,995.00,-0.50,2368.00,2356885.00,-1
2022-02-24,980.00,994.00,978.00,980.00,-1.51,5351.00,5255391.60,-1
2022-02-25,980.00,994.00,978.00,980.00,-1.51,5351.00,5255391.60,-1
2022-02-28,995.00,1003.00,960.00,960.00,-2.44,3669.00,3570848.00,-1
2022-03-01,995.00,1003.00,960.00,960.00,-2.44,3669.00,3570848.00,-1
2022-03-02,979.00,979.00,920.00,920.00,-4.17,3343.00,3103988.10,-1
2022-03-03,979.00,979.00,920.00,920.00,-4.17,3343.00,3103988.10,-1
2022-03-04,979.00,979.00,920.00,920.00,-4.17,3343.00,3103988.10,-1
2022-03-07,938.00,947.80,930.00,939.00,0.11,690.00,646222.00,1
2022-03-08,938.00,947.80,930.00,939.00,0.11,690.00,646222.00,1
2022-03-09,940.00,940.00,919.00,928.00,-1.17,1362.00,1257965.10,-1
2022-03-10,915.00,940.00,915.00,937.00,0.97,2956.00,2761141.50,1
2022-03-11,915.00,940.00,915.00,937.00,0.97,2956.00,2761141.50,1
2022-03-14,985.00,989.00,973.00,989.00,1.96,1568.00,1543708.00,1
2022-03-15,980.00,989.00,970.00,980.00,-0.91,1824.00,1775111.70,-1
2022-03-16,980.00,980.00,953.00,960.00,-2.04,2015.00,1944340.90,-1
2022-03-17,980.00,980.00,953.00,960.00,-2.04,2015.00,1944340.90,-1
2022-03-18,980.00,980.00,953.00,960.00,-2.04,2015.00,1944340.90,-1
2022-03-21,956.00,972.00,940.00,969.00,0.73,2629.00,2501124.50,1
2022-03-22,985.00,985.00,965.00,965.00,-0.41,2760.00,2674402.60,-1
2022-03-23,965.00,976.00,956.00,960.00,-0.52,575.00,552283.00,-1
2022-03-24,960.00,975.00,947.00,956.10,-0.41,1775.00,1712027.00,-1
2022-03-25,960.00,975.00,947.00,956.10,-0.41,1775.00,1712027.00,-1
2022-03-28,925.00,930.00,921.00,922.00,-1.39,1238.00,1144225.00,-1
2022-03-29,922.00,926.00,903.60,905.00,-1.84,2713.00,2471202.00,-1
2022-03-30,915.00,925.20,906.00,924.00,2.10,1252.00,1152451.80,1
2022-03-31,938.90,939.00,907.10,915.00,-0.97,1335.00,1229851.00,-1
2022-04-01,938.90,939.00,907.10,915.00,-0.97,1335.00,1229851.00,-1
2022-04-04,913.00,931.00,901.00,915.00,0.22,1914.00,1751813.40,1
2022-04-05,900.00,900.00,873.00,880.00,-3.83,5800.00,5109680.50,-1
2022-04-06,870.00,896.90,864.00,869.00,-1.25,2553.00,2227873.30,-1
2022-04-07,865.20,897.00,865.10,897.00,3.22,1692.00,1501210.00,1
2022-04-08,865.20,897.00,865.10,897.00,3.22,1692.00,1501210.00,1
2022-04-11,914.90,914.90,846.00,863.00,-3.79,3327.00,2935230.90,-1
2022-04-12,855.00,860.00,830.00,850.00,-1.51,3227.00,2713726.40,-1
2022-04-13,835.00,868.00,835.00,855.00,0.59,1752.00,1500091.30,1
2022-04-14,835.00,868.00,835.00,855.00,0.59,1752.00,1500091.30,1
2022-04-15,835.00,868.00,835.00,855.00,0.59,1752.00,1500091.30,1
2022-04-18,839.00,855.70,824.00,834.00,-2.46,3178.00,2656893.60,-1
2022-04-19,835.00,865.00,830.00,860.00,3.12,2033.00,1722157.00,1
2022-04-20,875.00,875.00,828.00,830.00,-3.49,2174.00,1828312.00,-1
2022-04-21,846.60,846.60,825.00,826.00,-0.48,995.00,829149.00,-1
2022-04-22,846.60,846.60,825.00,826.00,-0.48,995.00,829149.00,-1
2022-04-25,905.00,909.00,873.10,873.20,-1.78,1603.00,1434640.00,-1
