published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-10-01,508.00,508.00,457.20,457.20,0.00,318724.00,147360743.60,0
2023-10-02,450.00,457.00,442.10,450.90,-1.38,287052.00,128964045.30,-1
2023-10-03,446.00,450.00,445.00,446.00,-1.09,125451.00,55970652.00,-1
2023-10-04,437.10,454.20,437.10,447.70,0.38,154840.00,69363122.20,1
2023-10-05,447.70,447.70,441.10,442.00,-1.27,99886.00,44331701.20,-1
2023-10-08,442.00,444.00,431.00,432.30,-2.19,104649.00,45503056.90,-1
2023-10-09,430.00,433.00,424.10,424.60,-1.78,69000.00,29438943.50,-1
2023-10-10,420.00,429.90,418.00,418.20,-1.51,61914.00,26067057.00,-1
2023-10-11,413.60,425.00,413.60,417.30,-0.22,60228.00,25177970.80,-1
2023-10-12,415.10,420.00,408.00,410.00,-1.75,79060.00,32533453.30,-1
2023-10-15,415.10,420.00,408.00,410.00,-1.75,79060.00,32533453.30,-1
2023-10-16,405.10,408.00,390.60,393.10,-4.12,92874.00,36723268.00,-1
2023-10-17,395.00,407.00,394.20,399.00,1.50,41125.00,16358464.30,1
2023-10-18,399.00,409.50,396.00,407.00,2.01,45507.00,18396035.80,1
2023-10-19,402.00,409.30,400.10,404.00,-0.74,34627.00,13989639.50,-1
2023-10-22,402.00,409.30,400.10,404.00,-0.74,34627.00,13989639.50,-1
2023-10-23,402.00,409.30,400.10,404.00,-0.74,34627.00,13989639.50,-1
2023-10-24,402.00,409.30,400.10,404.00,-0.74,34627.00,13989639.50,-1
2023-10-25,402.00,409.30,400.10,404.00,-0.74,34627.00,13989639.50,-1
2023-10-26,402.00,409.30,400.10,404.00,-0.74,34627.00,13989639.50,-1
2023-10-29,396.20,400.00,390.00,394.00,-2.48,58403.00,23004183.10,-1
2023-10-30,390.00,393.80,388.50,391.00,-0.76,35285.00,13779562.60,-1
2023-10-31,391.00,394.00,389.10,391.00,0.00,31696.00,12396059.50,0
2023-11-01,386.00,395.00,386.00,389.00,-0.51,38011.00,14827242.20,-1
2023-11-02,381.30,389.00,381.30,382.00,-1.80,37752.00,14503985.10,-1
2023-11-05,381.30,381.30,375.20,378.00,-1.05,36349.00,13709754.00,-1
2023-11-06,375.00,387.00,375.00,383.70,1.51,37391.00,14339717.60,1
2023-11-07,383.50,403.20,382.00,403.00,5.03,56868.00,22591905.50,1
2023-11-08,400.00,413.80,397.00,413.00,2.48,53030.00,21683603.50,1
2023-11-09,406.20,411.10,398.50,405.60,-1.79,41773.00,16982005.00,-1
2023-11-12,406.20,411.10,398.50,405.60,-1.79,41773.00,16982005.00,-1
2023-11-13,406.20,411.10,398.50,405.60,-1.79,41773.00,16982005.00,-1
2023-11-14,406.20,411.10,398.50,405.60,-1.79,41773.00,16982005.00,-1
2023-11-15,406.20,411.10,398.50,405.60,-1.79,41773.00,16982005.00,-1
2023-11-16,406.20,411.10,398.50,405.60,-1.79,41773.00,16982005.00,-1
2023-11-19,406.20,411.10,398.50,405.60,-1.79,41773.00,16982005.00,-1
2023-11-20,405.00,415.50,401.20,406.40,0.20,56840.00,23247296.80,1
2023-11-21,402.00,406.00,394.00,396.00,-2.56,46023.00,18385221.60,-1
2023-11-22,389.10,409.00,389.10,406.20,2.58,45978.00,18492671.80,1
2023-11-23,400.20,434.00,400.20,430.00,5.86,125720.00,53044485.00,1
2023-11-26,430.00,455.00,425.00,453.00,5.35,141953.00,63486306.10,1
2023-11-27,445.00,462.00,445.00,450.00,-0.66,143945.00,64849049.70,-1
2023-11-28,443.00,456.00,443.00,448.20,-0.40,99371.00,44631775.10,-1
2023-11-29,448.00,456.00,435.00,440.00,-1.83,95304.00,42531105.30,-1
2023-11-30,431.20,443.50,431.20,440.00,0.00,66153.00,29062164.80,0
2023-12-03,435.00,445.00,434.00,440.00,0.00,63343.00,27713940.50,0
2023-12-04,440.00,455.00,438.10,449.80,2.23,116797.00,52529751.80,1
2023-12-05,458.70,473.00,455.00,461.00,2.49,176066.00,81826608.20,1
2023-12-06,461.00,482.00,458.30,482.00,4.56,122992.00,57985795.60,1
2023-12-07,473.00,480.00,465.00,468.00,-2.90,202661.00,95468796.60,-1
2023-12-10,477.00,499.80,477.00,495.00,5.77,30869.00,15221728.80,1
2023-12-11,500.00,503.80,480.20,494.30,-0.14,296185.00,145676988.60,-1
2023-12-12,494.00,532.00,492.00,523.10,5.83,213327.00,110415481.50,1
2023-12-13,525.00,533.50,510.00,518.00,-0.97,140605.00,73278361.40,-1
2023-12-14,508.00,520.00,500.00,510.10,-1.53,148129.00,75821565.10,-1
2023-12-17,510.10,519.20,490.00,519.20,1.78,143085.00,72897042.90,1
2023-12-18,519.20,530.00,515.10,518.00,-0.23,113685.00,59433385.80,-1
2023-12-19,515.20,563.00,515.20,558.00,7.72,193036.00,102897223.20,1
2023-12-20,550.00,567.00,547.00,547.50,-1.88,153173.00,84809512.10,-1
2023-12-21,550.00,550.00,531.00,531.00,-3.01,138296.00,74299806.50,-1
2023-12-24,531.00,566.10,522.00,540.00,1.69,214746.00,117761266.20,1
2023-12-25,531.00,566.10,522.00,540.00,1.69,214746.00,117761266.20,1
2023-12-26,531.00,566.10,522.00,540.00,1.69,214746.00,117761266.20,1
2023-12-27,540.00,555.00,539.00,540.20,0.04,146104.00,79552798.50,1
2023-12-28,533.10,550.00,533.10,544.00,0.70,120526.00,65285766.00,1
2023-12-31,533.10,550.00,533.10,544.00,0.70,120526.00,65285766.00,1
2024-01-01,542.00,550.80,528.00,529.00,-2.76,118403.00,63624601.20,-1
2024-01-02,518.50,518.50,488.00,491.00,-7.18,293516.00,147380149.80,-1
2024-01-03,491.00,502.00,477.00,499.40,1.71,129318.00,63117651.40,1
2024-01-04,500.00,503.00,482.50,482.50,-3.38,144263.00,71082002.30,-1
2024-01-07,482.50,490.10,476.10,478.00,-0.93,109394.00,52816987.30,-1
2024-01-08,472.00,500.00,472.00,495.00,3.56,82470.00,40646343.60,1
2024-01-09,504.90,516.00,498.00,500.00,1.01,151508.00,77113498.60,1
2024-01-10,510.00,512.20,495.00,497.00,-0.60,81612.00,40938837.10,-1
2024-01-11,503.00,505.90,487.00,495.40,-0.32,93969.00,46734366.60,-1
2024-01-14,481.00,481.00,468.10,473.00,0.25,64542.00,30500158.50,1
2024-01-15,481.00,481.00,468.10,473.00,0.25,64542.00,30500158.50,1
2024-01-16,470.00,490.00,470.00,484.20,2.37,66912.00,32351402.20,1
2024-01-17,484.20,501.00,478.20,478.20,-1.24,119396.00,58068114.20,-1
2024-01-18,475.00,478.00,465.20,470.00,-1.71,69298.00,32618608.60,-1
2024-01-21,466.10,475.00,460.10,462.00,-1.70,58884.00,27511577.50,-1
2024-01-22,455.10,480.00,455.10,467.00,1.08,73672.00,34544341.80,1
2024-01-23,467.00,473.00,458.00,462.50,-0.96,46451.00,21585398.80,-1
2024-01-24,464.50,471.00,456.10,457.00,-1.19,33324.00,15395518.90,-1
2024-01-25,456.00,461.00,451.20,453.00,-0.88,36291.00,16527697.70,-1
2024-01-28,455.00,464.00,453.10,458.00,1.10,36947.00,16838185.20,1
2024-01-29,455.00,462.00,453.50,453.50,-0.98,58692.00,26835806.90,-1
2024-01-30,455.00,462.00,454.00,456.00,0.55,68660.00,31409286.00,1
2024-01-31,465.00,465.00,451.00,452.80,-0.70,56929.00,26001651.30,-1
2024-02-01,448.00,456.90,448.00,449.60,-0.71,48423.00,21799318.30,-1
2024-02-04,449.00,455.00,446.10,454.50,1.09,36067.00,16254908.80,1
2024-02-05,450.00,456.00,448.00,449.10,-1.19,27117.00,12204295.90,-1
