published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,10.10,10.18,9.98,9.99,-1.09,40400.00,404461.00,-1
2021-11-05,10.10,10.18,9.98,9.99,-1.09,40400.00,404461.00,-1
2021-11-08,9.96,10.15,9.95,9.96,-0.30,83200.00,830506.50,-1
2021-11-09,9.77,9.99,9.77,9.90,-0.60,75819.00,752427.90,-1
2021-11-10,9.77,9.99,9.77,9.90,-0.60,75819.00,752427.90,-1
2021-11-11,10.09,10.15,9.58,9.89,-0.10,139150.00,1355222.75,-1
2021-11-12,10.09,10.15,9.58,9.89,-0.10,139150.00,1355222.75,-1
2021-11-15,9.70,9.84,9.65,9.67,-0.31,100196.00,970975.32,-1
2021-11-16,9.80,9.99,9.63,9.67,0.00,56250.00,546496.75,0
2021-11-17,9.86,9.88,9.67,9.75,0.83,49840.00,484003.80,1
2021-11-18,9.75,9.76,9.65,9.65,-1.03,22195.00,215681.75,-1
2021-11-19,9.75,9.76,9.65,9.65,-1.03,22195.00,215681.75,-1
2021-11-22,9.78,9.88,9.66,9.87,2.92,71130.00,691400.80,1
2021-11-23,9.87,9.87,9.68,9.71,-1.62,12500.00,121160.50,-1
2021-11-24,9.80,9.82,9.75,9.75,0.41,5000.00,48984.00,1
2021-11-25,9.94,9.94,9.60,9.67,-0.82,41880.00,406241.20,-1
2021-11-26,9.94,9.94,9.60,9.67,-0.82,41880.00,406241.20,-1
2021-11-29,9.66,9.80,9.66,9.80,3.27,25100.00,243066.00,1
2021-11-30,9.80,9.80,9.62,9.78,-0.20,20900.00,203310.00,-1
2021-12-01,9.75,9.75,9.59,9.59,-1.94,42670.00,412637.50,-1
2021-12-02,9.78,9.78,9.46,9.63,0.42,16150.00,154138.50,1
2021-12-03,9.78,9.78,9.46,9.63,0.42,16150.00,154138.50,1
2021-12-06,9.50,9.50,9.36,9.42,-0.32,15150.00,142636.00,-1
2021-12-07,9.40,9.75,9.40,9.75,3.50,51600.00,496160.00,1
2021-12-08,9.56,9.56,9.21,9.26,-5.03,41250.00,385055.40,-1
2021-12-09,9.27,9.43,9.10,9.25,-0.11,25505.00,235995.25,-1
2021-12-10,9.27,9.43,9.10,9.25,-0.11,25505.00,235995.25,-1
2021-12-13,9.06,9.18,9.03,9.18,0.88,41150.00,373890.00,1
2021-12-14,9.36,9.36,9.18,9.30,1.31,1700.00,15802.00,1
2021-12-15,9.31,9.50,9.31,9.50,2.15,2570.00,24179.40,1
2021-12-16,9.32,9.47,9.31,9.47,-0.32,8057.00,75241.24,-1
2021-12-17,9.32,9.47,9.31,9.47,-0.32,8057.00,75241.24,-1
2021-12-20,9.30,9.41,9.30,9.35,-1.27,17650.00,164603.50,-1
2021-12-21,9.45,9.45,9.41,9.41,0.64,4000.00,37720.00,1
2021-12-22,9.42,9.45,9.25,9.45,0.43,39150.00,364534.50,1
2021-12-23,9.36,9.55,9.36,9.44,-0.11,16000.00,151364.00,-1
2021-12-24,9.36,9.55,9.36,9.44,-0.11,16000.00,151364.00,-1
2021-12-27,9.70,9.71,9.55,9.65,0.52,26750.00,258932.50,1
2021-12-28,9.57,9.57,9.49,9.55,-1.04,15250.00,145535.50,-1
2021-12-29,9.55,9.65,9.50,9.55,0.00,19300.00,183973.00,0
2021-12-30,9.55,9.65,9.50,9.55,0.00,19300.00,183973.00,0
2021-12-31,9.55,9.65,9.50,9.55,0.00,19300.00,183973.00,0
2022-01-03,9.56,9.70,9.40,9.49,1.06,29470.00,282028.30,1
2022-01-04,9.40,9.65,9.33,9.57,0.84,64247.00,605410.00,1
2022-01-05,9.41,9.60,9.41,9.60,0.31,22900.00,219124.00,1
2022-01-06,9.78,9.78,9.45,9.60,0.00,23500.00,225337.00,0
2022-01-07,9.78,9.78,9.45,9.60,0.00,23500.00,225337.00,0
2022-01-10,9.68,9.79,9.67,9.70,-1.72,60900.00,591593.00,-1
2022-01-11,9.70,9.89,9.70,9.75,0.52,32500.00,316294.00,1
2022-01-12,9.93,9.93,9.75,9.75,0.00,29700.00,291403.00,0
2022-01-13,9.75,9.86,9.71,9.85,1.03,8650.00,85041.70,1
2022-01-14,9.75,9.86,9.71,9.85,1.03,8650.00,85041.70,1
2022-01-17,10.16,10.22,10.00,10.20,2.20,99900.00,1009983.50,1
2022-01-18,10.20,10.34,10.19,10.34,1.37,25215.00,259548.50,1
2022-01-19,10.34,10.49,10.26,10.40,0.58,12180.00,126433.10,1
2022-01-20,10.24,10.24,10.24,10.24,-1.54,5000.00,51200.00,-1
2022-01-21,10.24,10.24,10.24,10.24,-1.54,5000.00,51200.00,-1
2022-01-24,10.10,10.12,9.90,10.09,-1.94,17600.00,176648.00,-1
2022-01-25,10.09,10.31,10.09,10.09,0.00,28152.00,286266.60,0
2022-01-26,10.15,10.15,9.85,10.00,-0.89,35725.00,355925.00,-1
2022-01-27,10.14,10.15,9.95,10.00,0.00,8500.00,85186.60,0
2022-01-28,10.14,10.15,9.95,10.00,0.00,8500.00,85186.60,0
2022-01-31,10.00,10.00,10.00,10.00,-0.99,500.00,5000.00,-1
2022-02-01,10.00,10.10,9.94,9.94,-0.60,5850.00,58539.00,-1
2022-02-02,10.00,10.10,9.94,9.94,-0.60,5850.00,58539.00,-1
2022-02-03,10.00,10.33,10.00,10.13,1.91,15900.00,162639.50,1
2022-02-04,10.00,10.33,10.00,10.13,1.91,15900.00,162639.50,1
2022-02-07,10.33,10.33,9.91,9.93,-1.97,26625.00,265868.25,-1
2022-02-08,9.74,10.09,9.74,10.09,1.61,18974.00,188944.70,1
2022-02-09,10.09,10.09,10.00,10.07,-0.20,33695.00,337846.95,-1
2022-02-10,9.87,10.06,9.87,10.00,-0.70,965.00,9641.00,-1
2022-02-11,9.87,10.06,9.87,10.00,-0.70,965.00,9641.00,-1
2022-02-14,9.82,10.02,9.80,9.80,-0.31,53282.00,523181.05,-1
2022-02-15,9.70,9.70,9.65,9.65,-1.53,200.00,1935.00,-1
2022-02-16,9.70,9.84,9.65,9.84,1.97,4100.00,39909.00,1
2022-02-17,10.03,10.08,9.98,10.08,2.44,65300.00,654227.00,1
2022-02-18,10.03,10.08,9.98,10.08,2.44,65300.00,654227.00,1
2022-02-21,9.88,10.00,9.88,10.00,1.11,600.00,5968.00,1
2022-02-22,10.10,10.10,9.88,10.10,1.00,29065.00,289777.05,1
2022-02-23,9.90,10.09,9.71,10.09,-0.10,45431.00,442045.01,-1
2022-02-24,10.25,10.25,9.89,9.89,-1.98,16900.00,168623.43,-1
2022-02-25,10.25,10.25,9.89,9.89,-1.98,16900.00,168623.43,-1
2022-02-28,9.66,9.66,9.66,9.66,0.10,1000.00,9660.00,1
2022-03-01,9.66,9.66,9.66,9.66,0.10,1000.00,9660.00,1
2022-03-02,9.55,9.74,9.55,9.60,-0.62,12300.00,118724.00,-1
2022-03-03,9.55,9.74,9.55,9.60,-0.62,12300.00,118724.00,-1
2022-03-04,9.55,9.74,9.55,9.60,-0.62,12300.00,118724.00,-1
2022-03-07,9.70,9.70,9.70,9.70,-0.61,100.00,970.00,-1
2022-03-08,9.70,9.70,9.70,9.70,-0.61,100.00,970.00,-1
2022-03-09,9.59,9.59,9.55,9.55,-1.55,17516.00,167631.04,-1
2022-03-10,9.52,9.87,9.52,9.87,3.35,5900.00,57397.00,1
2022-03-11,9.52,9.87,9.52,9.87,3.35,5900.00,57397.00,1
2022-03-14,10.00,10.00,9.88,9.88,0.10,24020.00,237744.60,1
2022-03-15,10.00,10.00,9.87,9.88,0.00,26935.00,266262.30,0
2022-03-16,9.87,9.90,9.87,9.87,-0.10,32100.00,317049.00,-1
2022-03-17,9.87,9.90,9.87,9.87,-0.10,32100.00,317049.00,-1
2022-03-18,9.87,9.90,9.87,9.87,-0.10,32100.00,317049.00,-1
2022-03-21,9.74,9.74,9.71,9.72,-0.82,15500.00,150665.00,-1
2022-03-22,9.89,9.89,9.74,9.74,0.21,22000.00,217280.00,1
2022-03-23,9.88,9.89,9.73,9.89,1.54,12213.00,120172.13,1
2022-03-24,9.91,9.91,9.90,9.90,0.10,2250.00,22295.00,1
2022-03-25,9.91,9.91,9.90,9.90,0.10,2250.00,22295.00,1
2022-03-28,9.72,9.76,9.71,9.71,-1.92,18500.00,179815.00,-1
2022-03-29,9.88,9.89,9.70,9.70,-0.10,8750.00,85831.90,-1
2022-03-30,9.60,9.89,9.60,9.71,0.10,7165.00,69992.45,1
2022-03-31,9.70,9.85,9.70,9.85,1.44,7800.00,76347.50,1
2022-04-01,9.70,9.85,9.70,9.85,1.44,7800.00,76347.50,1
2022-04-04,9.71,9.76,9.60,9.60,-1.13,4970.00,48265.00,-1
2022-04-05,9.70,9.73,9.51,9.71,1.15,19472.00,187898.72,1
2022-04-06,9.52,9.61,9.50,9.54,-1.75,10220.00,97582.80,-1
2022-04-07,9.60,9.78,9.60,9.78,2.52,11650.00,113063.85,1
2022-04-08,9.60,9.78,9.60,9.78,2.52,11650.00,113063.85,1
2022-04-11,9.96,9.96,9.61,9.65,-1.33,11520.00,112973.00,-1
2022-04-12,9.65,9.65,9.49,9.49,-1.66,6550.00,63120.50,-1
