published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-06-13,382.20,382.20,382.20,382.20,0.00,60.00,22848.10,0
2022-06-15,389.80,420.40,389.80,420.40,9.99,60.00,24108.00,1
2022-06-17,428.80,437.30,428.80,437.30,4.02,20.00,8661.00,1
2022-06-19,446.00,454.90,446.00,454.90,4.02,30.00,13504.20,1
2022-06-20,463.90,500.30,463.90,500.30,9.98,70.00,34125.00,1
2022-06-21,510.30,550.30,510.30,550.30,9.99,60.00,31562.00,1
2022-06-23,561.30,605.30,561.30,605.30,9.99,50.00,29185.00,1
2022-07-05,1431.60,1543.90,1431.60,1543.90,10.00,144.00,219370.50,1
2022-07-06,1574.70,1698.20,1574.70,1698.20,9.99,134.00,223790.20,1
2022-12-11,1732.10,1868.00,1732.10,1868.00,10.00,1150.00,2130313.20,1
2022-12-12,1905.00,2054.80,1905.00,2054.80,10.00,1489.00,3055538.30,1
2022-12-13,2014.10,2260.20,2014.10,2260.20,10.00,2019.00,4554799.80,1
2022-12-14,2305.40,2486.20,2305.40,2486.20,10.00,760.00,1885082.00,1
2022-12-15,2535.90,2734.80,2341.00,2405.00,-3.27,25894.00,63994164.70,-1
2022-12-18,2405.00,2405.00,2335.10,2341.00,-2.66,13170.00,31132998.00,-1
2022-12-19,2341.00,2520.00,2318.00,2481.00,5.98,5360.00,12749348.50,1
2022-12-20,2499.00,2723.00,2470.00,2670.00,7.62,8826.00,22810319.00,1
2022-12-21,2700.00,2710.00,2617.00,2648.00,-0.82,8055.00,21434185.50,-1
2022-12-22,2680.00,2680.00,2518.00,2593.00,-2.08,5725.00,14681211.00,-1
2022-12-25,2680.00,2680.00,2518.00,2593.00,-2.08,5725.00,14681211.00,-1
2022-12-26,2644.00,2644.00,2420.00,2472.00,-4.67,11147.00,27406162.20,-1
2022-12-27,2480.00,2500.00,2423.00,2426.00,-1.86,7093.00,17316143.00,-1
2022-12-28,2380.00,2455.00,2380.00,2427.00,0.04,3648.00,8859870.70,1
2022-12-29,2400.00,2447.00,2400.00,2440.00,0.54,2489.00,6053777.50,1
2023-01-01,2480.00,2480.00,2392.00,2450.00,0.41,5342.00,13095199.80,1
2023-01-02,2460.00,2525.50,2450.10,2508.00,2.37,9223.00,23048685.10,1
2023-01-03,1967.80,2087.00,1967.80,2000.00,3.67,8107.00,16320654.20,1
2023-01-04,2040.00,2040.00,1977.00,2020.00,1.00,3375.00,6760634.70,1
2023-01-05,2050.00,2144.00,2021.00,2106.10,4.26,3939.00,8158720.70,1
2023-01-08,2148.00,2148.00,2050.00,2051.00,-2.62,6353.00,13238525.80,-1
2023-01-09,2050.00,2050.00,2014.20,2018.00,-1.61,5380.00,10894234.50,-1
2023-01-10,2057.90,2057.90,1975.00,1976.00,-2.08,6054.00,12100264.20,-1
