published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,1360.00,1360.00,1332.00,1341.00,-0.67,8509.00,11442920.00,-1
2021-11-05,1360.00,1360.00,1332.00,1341.00,-0.67,8509.00,11442920.00,-1
2021-11-08,1341.00,1365.50,1333.00,1333.00,-0.60,8081.00,10878128.70,-1
2021-11-09,1325.00,1333.00,1295.00,1305.00,-2.10,10930.00,14289430.00,-1
2021-11-10,1325.00,1333.00,1295.00,1305.00,-2.10,10930.00,14289430.00,-1
2021-11-11,1300.00,1300.00,1245.00,1264.00,-3.14,10320.00,13112929.90,-1
2021-11-12,1300.00,1300.00,1245.00,1264.00,-3.14,10320.00,13112929.90,-1
2021-11-15,1292.00,1298.00,1271.00,1275.90,0.70,5561.00,7099706.20,1
2021-11-16,1276.00,1301.00,1265.00,1299.00,1.81,6515.00,8420111.20,1
2021-11-17,1310.00,1312.00,1294.00,1295.00,-0.31,8785.00,11446500.50,-1
2021-11-18,1300.00,1300.00,1282.00,1290.00,-0.39,9291.00,12012719.60,-1
2021-11-19,1300.00,1300.00,1282.00,1290.00,-0.39,9291.00,12012719.60,-1
2021-11-22,1308.00,1308.50,1285.00,1291.00,0.62,7867.00,10175793.70,1
2021-11-23,1291.00,1301.00,1268.00,1268.00,-1.78,10921.00,13995226.40,-1
2021-11-24,1260.00,1291.00,1250.00,1288.00,1.58,10902.00,13842242.40,1
2021-11-25,1290.00,1295.00,1267.00,1280.00,-0.62,5405.00,6901670.20,-1
2021-11-26,1290.00,1295.00,1267.00,1280.00,-0.62,5405.00,6901670.20,-1
2021-11-29,1235.00,1260.00,1220.00,1221.00,-1.21,5880.00,7258804.60,-1
2021-11-30,1245.40,1245.40,1200.00,1215.10,-0.48,5986.00,7260667.60,-1
2021-12-01,1217.00,1224.00,1210.00,1210.00,-0.42,5178.00,6291000.10,-1
2021-12-02,1210.00,1210.00,1190.00,1190.00,-1.65,6577.00,7852301.90,-1
2021-12-03,1210.00,1210.00,1190.00,1190.00,-1.65,6577.00,7852301.90,-1
2021-12-06,1157.00,1162.00,1100.00,1158.00,0.09,11686.00,13204997.80,1
2021-12-07,1180.90,1200.00,1157.00,1157.00,-0.09,8320.00,9790545.30,-1
2021-12-08,1145.00,1145.00,1112.40,1115.00,-3.63,6156.00,6921657.85,-1
2021-12-09,1111.00,1130.00,1101.00,1115.10,0.01,9841.00,10947639.50,1
2021-12-10,1111.00,1130.00,1101.00,1115.10,0.01,9841.00,10947639.50,1
2021-12-13,1070.00,1071.00,1019.00,1025.00,-5.96,11906.00,12404282.70,-1
2021-12-14,1044.90,1091.00,1044.90,1090.00,6.34,5258.00,5622977.50,1
2021-12-15,1111.80,1156.00,1070.00,1101.00,1.01,11815.00,13331350.00,1
2021-12-16,1101.00,1122.00,1079.00,1080.00,-1.91,5878.00,6426322.00,-1
2021-12-17,1101.00,1122.00,1079.00,1080.00,-1.91,5878.00,6426322.00,-1
2021-12-20,1060.00,1089.90,1050.00,1069.00,-1.02,4222.00,4531320.30,-1
2021-12-21,1090.00,1111.00,1080.00,1111.00,3.93,9732.00,10662224.70,1
2021-12-22,1132.20,1150.00,1120.10,1144.00,2.97,10098.00,11525333.10,1
2021-12-23,1144.00,1164.00,1136.00,1148.00,0.35,8088.00,9303876.20,1
2021-12-24,1144.00,1164.00,1136.00,1148.00,0.35,8088.00,9303876.20,1
2021-12-27,1200.00,1219.70,1148.00,1170.00,-1.85,13021.00,15511121.40,-1
2021-12-28,1147.00,1173.00,1141.00,1170.00,0.00,5266.00,6108570.30,0
2021-12-29,1193.00,1200.00,1150.00,1170.00,0.00,6725.00,7803287.00,0
2021-12-30,1193.00,1200.00,1150.00,1170.00,0.00,6725.00,7803287.00,0
2021-12-31,1193.00,1200.00,1150.00,1170.00,0.00,6725.00,7803287.00,0
2022-01-03,1213.80,1237.00,1199.00,1228.00,3.19,40692.00,49532194.20,1
