published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-10-23,179.70,179.70,179.70,179.70,0.00,73.00,13157.80,0
2022-10-24,179.70,179.70,179.70,179.70,0.00,73.00,13157.80,0
2022-10-25,179.70,179.70,179.70,179.70,0.00,73.00,13157.80,0
2022-10-26,179.70,179.70,179.70,179.70,0.00,73.00,13157.80,0
2022-10-27,179.70,179.70,179.70,179.70,0.00,73.00,13157.80,0
2022-10-30,179.70,179.70,179.70,179.70,0.00,73.00,13157.80,0
2022-10-31,179.70,179.70,179.70,179.70,0.00,10.00,1798.60,0
2022-11-01,179.70,179.70,179.70,179.70,0.00,20.00,3599.00,0
2022-11-06,177.70,183.20,177.70,183.20,1.95,20.00,3609.00,1
2022-11-07,186.80,198.10,186.80,198.10,8.13,50.00,9658.50,1
2022-11-13,202.00,202.00,202.00,202.00,1.97,10.00,2020.00,1
2022-11-15,202.00,202.00,202.00,202.00,0.00,11.00,2219.00,0
2022-11-16,206.00,206.00,206.00,206.00,1.98,20.00,4106.60,1
2022-11-17,210.10,214.30,210.10,214.30,4.03,20.00,4244.00,1
2022-11-20,210.10,214.30,210.10,214.30,4.03,20.00,4244.00,1
2022-11-21,210.10,214.30,210.10,214.30,4.03,20.00,4244.00,1
2022-11-22,218.50,222.80,218.50,222.80,3.97,30.00,6684.40,1
2022-11-23,227.20,231.70,227.20,231.70,3.99,20.00,4589.00,1
2022-11-27,236.30,245.80,236.30,245.80,6.09,30.00,7231.00,1
2022-11-28,250.70,250.70,250.70,250.70,1.99,20.00,4926.00,1
2022-11-29,255.70,266.00,255.70,266.00,6.10,30.00,7825.00,1
2022-12-01,271.30,292.60,271.30,292.60,10.00,60.00,17032.00,1
2022-12-04,298.40,321.80,298.40,321.80,9.98,90.00,28160.30,1
2022-12-06,328.20,348.10,328.20,348.10,8.17,47.00,16000.30,1
2022-12-07,355.00,355.00,355.00,355.00,1.98,14.00,4948.80,1
2022-12-08,355.00,355.00,355.00,355.00,1.98,14.00,4948.80,1
2022-12-11,362.10,376.60,362.10,376.60,6.08,36.00,13268.20,1
2022-12-12,384.10,399.50,384.10,399.50,6.08,30.00,11753.00,1
2022-12-13,407.40,407.40,407.40,407.40,1.98,10.00,4074.00,1
2022-12-14,415.50,440.80,415.50,440.80,8.20,40.00,17123.00,1
2022-12-15,440.80,458.50,440.80,458.50,4.02,30.00,13489.00,1
2022-12-18,467.60,496.10,467.60,496.10,8.20,43.00,20626.30,1
2022-12-19,506.00,545.70,506.00,545.70,10.00,50.00,26311.00,1
2022-12-20,556.60,600.20,556.60,600.20,9.99,57.00,32867.70,1
2022-12-21,612.20,649.50,612.20,649.50,8.21,40.00,25229.00,1
2022-12-22,662.40,714.40,662.40,714.40,9.99,50.00,34443.00,1
2022-12-25,662.40,714.40,662.40,714.40,9.99,50.00,34443.00,1
2022-12-26,728.60,785.80,728.60,785.80,9.99,90.00,69316.00,1
2022-12-27,801.50,864.30,801.50,864.30,9.99,70.00,58961.00,1
2022-12-28,881.50,950.70,881.50,950.70,10.00,90.00,83864.00,1
2022-12-29,969.70,1045.70,969.70,1045.70,9.99,190.00,196817.00,1
2023-01-01,1066.50,1150.20,1066.50,1150.20,9.99,220.00,250359.00,1
2023-01-02,1173.20,1265.20,1173.20,1265.20,10.00,200.00,249698.00,1
2023-01-03,1290.50,1391.70,1290.50,1391.70,10.00,1583.00,2199341.10,1
2023-01-04,1419.50,1530.80,1295.00,1375.00,-1.20,15505.00,21387729.00,-1
2023-01-05,1402.00,1512.50,1330.00,1512.50,10.00,5812.00,8138467.40,1
2023-01-08,1542.00,1662.00,1440.60,1599.00,5.72,8886.00,14070099.40,1
2023-01-09,1629.90,1630.00,1540.00,1560.00,-2.44,5379.00,8450044.00,-1
2023-01-10,1560.00,1591.20,1462.00,1463.00,-6.22,4746.00,7156685.00,-1
2023-01-11,1560.00,1591.20,1462.00,1463.00,-6.22,4746.00,7156685.00,-1
2023-01-12,1463.00,1492.20,1365.00,1380.00,-5.67,4615.00,6485600.60,-1
2023-01-15,1463.00,1492.20,1365.00,1380.00,-5.67,4615.00,6485600.60,-1
2023-01-16,1463.00,1492.20,1365.00,1380.00,-5.67,4615.00,6485600.60,-1
2023-01-17,1380.00,1405.00,1350.00,1392.00,0.87,3272.00,4475084.70,1
2023-01-18,1367.00,1402.00,1367.00,1376.00,-1.15,2427.00,3371072.00,-1
2023-01-19,1352.00,1375.00,1351.20,1360.00,-1.16,1875.00,2551527.30,-1
2023-01-22,1352.00,1375.00,1351.20,1360.00,-1.16,1875.00,2551527.30,-1
2023-01-23,1335.00,1387.30,1335.00,1346.00,-1.03,2469.00,3359832.00,-1
2023-01-24,1327.10,1356.00,1327.10,1351.00,0.37,2131.00,2867559.00,1
2023-01-25,1330.00,1397.00,1330.00,1367.00,1.18,2290.00,3130563.50,1
2023-01-26,1394.30,1421.00,1362.00,1365.00,-0.15,1160.00,1590298.00,-1
2023-01-29,1345.00,1369.90,1345.00,1369.90,0.36,1215.00,1645647.00,1
2023-01-30,1350.00,1360.00,1327.00,1332.10,-2.76,1385.00,1858310.50,-1
2023-01-31,1316.00,1338.00,1308.10,1312.00,-1.51,1250.00,1644237.00,-1
2023-02-01,1286.00,1325.00,1286.00,1311.00,-0.08,1274.00,1676213.00,-1
2023-02-02,1300.00,1326.00,1280.00,1297.00,-1.07,1767.00,2280727.80,-1
2023-02-05,1276.00,1280.00,1255.00,1258.00,-3.01,1300.00,1645093.00,-1
2023-02-06,1255.00,1260.00,1235.00,1260.00,0.16,730.00,906933.00,1
2023-02-07,1275.00,1300.00,1261.00,1300.00,3.17,910.00,1173310.00,1
2023-02-08,1325.00,1350.00,1301.00,1340.00,3.08,1950.00,2579655.00,1
2023-02-09,1340.00,1340.00,1315.30,1337.00,-0.22,768.00,1020583.00,-1
2023-02-12,1310.30,1310.30,1280.00,1298.90,-2.85,940.00,1216193.00,-1
2023-02-13,1310.30,1310.30,1280.00,1298.90,-2.85,940.00,1216193.00,-1
