published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-22,590.00,590.00,590.00,590.00,0.00,6.00,3469.20,0
2021-11-24,590.00,590.00,590.00,590.00,0.00,4.00,2312.80,0
2021-11-25,590.00,590.00,590.00,590.00,0.00,1944.00,1146960.00,0
2021-11-26,590.00,590.00,590.00,590.00,0.00,1944.00,1146960.00,0
2021-12-21,598.00,598.00,598.00,598.00,1.36,1944.00,1162512.00,1
2022-01-10,609.90,609.90,609.90,609.90,1.99,10.00,6099.00,1
2022-01-27,600.00,600.00,600.00,600.00,-1.62,15.00,9000.00,-1
2022-01-28,600.00,600.00,600.00,600.00,-1.62,15.00,9000.00,-1
2022-03-31,600.00,600.00,600.00,600.00,0.00,11.00,6600.00,0
2022-04-01,600.00,600.00,600.00,600.00,0.00,11.00,6600.00,0
2022-04-20,588.09,588.09,588.09,588.09,-1.98,11.00,6468.99,-1
2022-05-05,587.90,587.90,587.90,587.90,-1.98,20.00,11758.00,-1
2022-05-06,587.90,587.90,587.90,587.90,-1.98,20.00,11758.00,-1
2022-05-24,587.90,587.90,587.90,587.90,0.00,4.00,2352.00,0
2022-06-01,587.90,587.90,587.90,587.90,0.00,4.00,2360.00,0
2022-06-09,576.20,576.20,576.20,576.20,-1.99,20.00,11524.00,-1
2022-06-23,564.70,564.70,564.70,564.70,-2.00,10.00,5647.00,-1
2022-07-12,553.50,553.50,553.50,553.50,-1.98,268.00,148338.00,-1
2022-07-13,542.50,542.50,498.20,498.20,-9.99,580.00,305380.00,-1
2022-07-14,488.30,488.30,488.30,488.30,-1.99,20.00,9766.00,-1
2022-07-21,498.00,498.00,498.00,498.00,1.99,10.00,4980.00,1
2022-07-27,488.10,488.10,488.10,488.10,-1.99,12.00,5857.20,-1
2022-07-31,497.80,507.70,497.80,507.70,4.02,20.00,10055.00,1
2022-08-02,500.00,500.00,500.00,500.00,-1.52,50.00,25000.00,-1
2022-08-03,510.00,510.00,510.00,510.00,2.00,20.00,10200.00,1
2022-08-23,499.80,499.80,480.20,480.20,-5.84,290.00,142972.00,-1
2022-08-25,475.00,475.00,475.00,475.00,-1.08,10.00,4750.00,-1
