published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-05-21,1000.00,1025.00,996.00,1025.00,0.00,1195.00,1213265.00,0
2025-05-22,1018.00,1025.00,1015.00,1024.00,-0.10,1066.00,1085557.50,-1
2025-05-25,1015.00,1030.00,1010.00,1026.26,0.22,1433.00,1454159.00,1
2025-05-26,1015.00,1045.00,1015.00,1015.00,-1.10,2286.00,2376985.00,-1
2025-05-27,1017.10,1025.00,1010.10,1025.00,0.99,325.00,331800.00,1
2025-05-28,1015.10,1025.00,1015.10,1017.10,-0.77,75.00,76430.00,-1
2025-05-29,1015.10,1025.00,1015.10,1017.10,-0.77,75.00,76430.00,-1
2025-06-01,1015.10,1025.00,1015.10,1017.10,-0.77,75.00,76430.00,-1
2025-06-02,1010.10,1037.40,1010.10,1037.40,2.00,475.00,489335.00,1
2025-06-03,1020.00,1031.00,1020.00,1025.00,-1.20,265.00,272007.50,-1
2025-06-04,1015.00,1021.00,1015.00,1021.00,-0.39,150.00,152550.00,-1
2025-06-05,1000.60,1030.30,1000.60,1029.00,0.78,475.00,486025.00,1
2025-06-08,1030.00,1040.00,1026.00,1030.00,0.10,235.00,242135.00,1
2025-06-09,1025.00,1045.00,1020.00,1026.00,-0.39,3045.00,3177250.00,-1
2025-06-10,1026.00,1040.00,1017.00,1038.29,1.20,650.00,671040.00,1
2025-06-11,1018.00,1030.00,1018.00,1030.00,-0.80,75.00,76725.00,-1
2025-06-12,1030.00,1035.00,1030.00,1035.00,0.49,50.00,51625.00,1
2025-06-15,1025.00,1035.00,1025.00,1035.00,0.00,165.00,170065.00,0
2025-06-16,1024.00,1024.00,1024.00,1024.00,-1.06,100.00,102400.00,-1
2025-06-17,1024.00,1024.00,1024.00,1024.00,0.00,50.00,51200.00,0
2025-06-18,1025.00,1029.00,1025.00,1029.00,0.49,475.00,488000.00,1
2025-06-19,1030.10,1039.00,1030.10,1039.00,0.97,375.00,388802.50,1
2025-06-22,1026.00,1039.00,1026.00,1039.00,0.00,75.00,77275.00,0
2025-06-23,1045.00,1045.00,1026.00,1027.00,-1.15,2476.00,2584495.00,-1
2025-06-24,1030.00,1030.10,1030.00,1030.10,0.30,50.00,51502.50,1
2025-06-25,1030.10,1047.00,1028.00,1028.00,-0.20,290.00,301887.50,-1
2025-06-29,1028.00,1045.00,1028.00,1045.00,1.65,450.00,469825.00,1
2025-06-30,1024.20,1026.00,1024.20,1026.00,-1.82,55.00,56376.00,-1
2025-07-01,1026.00,1030.00,1026.00,1030.00,0.39,75.00,77150.00,1
2025-07-02,1030.00,1030.00,1030.00,1030.00,0.00,50.00,51500.00,0
2025-07-03,1030.00,1040.00,1026.00,1026.50,-0.34,110.00,113225.00,-1
2025-07-06,1020.00,1030.00,1020.00,1025.00,-0.15,150.00,153700.00,-1
2025-07-07,1023.00,1023.00,1023.00,1023.00,-0.20,15.00,15345.00,-1
2025-07-08,1023.00,1023.10,1023.00,1023.10,0.01,50.00,51152.50,1
2025-07-09,1026.00,1026.00,1025.00,1025.00,0.19,100.00,102550.00,1
2025-07-10,1020.10,1020.10,1020.10,1020.10,-0.48,25.00,25502.50,-1
2025-07-13,1020.10,1030.00,1020.10,1030.00,0.97,85.00,87302.50,1
2025-07-14,1010.00,1030.00,1010.00,1020.00,-0.97,300.00,304667.50,-1
2025-07-15,1010.00,1010.00,1003.00,1010.00,-0.98,100.00,100825.00,-1
2025-07-16,1010.00,1050.00,1010.00,1050.00,3.96,300.00,311657.50,1
2025-07-20,1029.00,1029.00,1005.50,1005.50,-4.24,150.00,151862.50,-1
2025-07-21,1010.00,1010.00,1004.00,1006.10,0.06,350.00,352312.50,1
