published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,760.00,774.90,744.00,748.00,-1.58,10311.00,7782939.00,-1
2021-11-05,760.00,774.90,744.00,748.00,-1.58,10311.00,7782939.00,-1
2021-11-08,748.00,748.00,726.10,726.10,-2.93,2449.00,1798676.00,-1
2021-11-09,716.00,716.00,679.00,693.00,-4.56,17855.00,12378488.40,-1
2021-11-10,716.00,716.00,679.00,693.00,-4.56,17855.00,12378488.40,-1
2021-11-11,690.00,705.00,668.00,681.00,-1.73,8014.00,5480995.90,-1
2021-11-12,690.00,705.00,668.00,681.00,-1.73,8014.00,5480995.90,-1
2021-11-15,709.90,724.00,698.00,700.00,0.57,10632.00,7495788.50,1
2021-11-16,714.00,724.00,700.00,724.00,3.43,8991.00,6406615.20,1
2021-11-17,726.00,734.80,717.00,727.00,0.41,11715.00,8515561.30,1
2021-11-18,713.00,721.00,707.00,718.00,-1.24,9745.00,6979102.20,-1
2021-11-19,713.00,721.00,707.00,718.00,-1.24,9745.00,6979102.20,-1
2021-11-22,710.00,744.00,710.00,722.00,2.41,30300.00,22198298.50,1
2021-11-23,711.00,719.00,705.00,705.00,-2.35,5708.00,4052521.00,-1
2021-11-24,692.00,707.00,692.00,703.00,-0.28,8719.00,6104611.90,-1
2021-11-25,700.00,701.00,696.20,696.40,-0.94,5379.00,3755997.80,-1
2021-11-26,700.00,701.00,696.20,696.40,-0.94,5379.00,3755997.80,-1
2021-11-29,661.00,687.00,661.00,675.00,0.15,7939.00,5332341.20,1
2021-11-30,675.00,712.00,651.00,676.00,0.15,6577.00,4373495.70,1
2021-12-01,676.10,690.00,669.00,678.00,0.30,2613.00,1759809.50,1
2021-12-02,667.00,667.00,647.00,647.00,-4.57,7740.00,5067896.60,-1
2021-12-03,667.00,667.00,647.00,647.00,-4.57,7740.00,5067896.60,-1
2021-12-06,625.10,635.00,593.00,627.00,0.32,8452.00,5219310.90,1
2021-12-07,638.00,644.00,618.00,618.00,-1.44,5629.00,3540113.00,-1
2021-12-08,618.00,618.00,600.00,600.00,-2.91,3526.00,2140105.40,-1
2021-12-09,600.00,600.00,591.10,595.00,-0.83,4958.00,2949144.60,-1
2021-12-10,600.00,600.00,591.10,595.00,-0.83,4958.00,2949144.60,-1
2021-12-13,553.00,553.00,526.00,526.00,-6.74,8720.00,4662034.70,-1
2021-12-14,536.50,567.00,530.00,567.00,7.79,6821.00,3741815.30,1
2021-12-15,570.00,623.70,566.00,571.00,0.71,11740.00,6973758.20,1
2021-12-16,565.00,588.00,560.00,561.00,-1.75,3230.00,1833311.00,-1
2021-12-17,565.00,588.00,560.00,561.00,-1.75,3230.00,1833311.00,-1
2021-12-20,550.00,560.70,547.00,548.00,-2.32,4201.00,2314096.00,-1
2021-12-21,545.00,580.00,544.10,574.00,4.74,2216.00,1256145.60,1
2021-12-22,575.00,602.80,575.00,600.00,4.53,7175.00,4285687.90,1
2021-12-23,590.00,622.90,590.00,615.00,2.50,8679.00,5331657.20,1
2021-12-24,590.00,622.90,590.00,615.00,2.50,8679.00,5331657.20,1
2021-12-27,690.00,700.00,635.00,635.00,-6.13,18518.00,12439694.20,-1
2021-12-28,625.50,647.00,622.40,640.00,0.79,5747.00,3662006.00,1
2021-12-29,628.00,649.80,628.00,645.00,0.78,6351.00,4058567.10,1
2021-12-30,628.00,649.80,628.00,645.00,0.78,6351.00,4058567.10,1
2021-12-31,628.00,649.80,628.00,645.00,0.78,6351.00,4058567.10,1
2022-01-03,665.00,685.00,660.00,661.00,-0.50,12599.00,8500352.00,-1
2022-01-04,665.00,683.00,660.00,667.00,0.91,5801.00,3896476.00,1
2022-01-05,667.10,678.00,655.00,660.00,-1.05,11100.00,7373356.20,-1
2022-01-06,660.00,676.00,650.10,676.00,2.42,4180.00,2788091.00,1
2022-01-07,660.00,676.00,650.10,676.00,2.42,4180.00,2788091.00,1
