published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,477.00,477.00,439.20,458.00,-2.12,1730.00,778727.00,-1
2021-11-05,477.00,477.00,439.20,458.00,-2.12,1730.00,778727.00,-1
2021-11-08,467.10,476.00,448.70,448.70,-2.03,16981.00,7689193.00,-1
2021-11-09,439.80,439.80,431.10,439.70,-2.01,237.00,104137.90,-1
2021-11-10,439.80,439.80,431.10,439.70,-2.01,237.00,104137.90,-1
2021-11-11,448.40,448.40,422.20,422.20,-3.98,1485.00,635406.50,-1
2021-11-12,448.40,448.40,422.20,422.20,-3.98,1485.00,635406.50,-1
2021-11-15,421.90,435.00,407.10,409.50,-4.88,1375.00,569638.50,-1
2021-11-16,401.40,433.00,393.40,433.00,5.74,3843.00,1608490.80,1
2021-11-17,439.90,439.90,424.40,424.40,-1.99,2020.00,872643.00,-1
2021-11-18,416.00,444.00,416.00,425.00,0.14,391.00,166594.00,1
2021-11-19,416.00,444.00,416.00,425.00,0.14,391.00,166594.00,1
2021-11-22,423.40,440.00,414.10,414.10,-4.14,2137.00,910667.30,-1
2021-11-23,407.00,415.10,407.00,415.10,0.24,353.00,144609.80,1
2021-11-24,415.00,422.00,415.00,415.10,0.00,1801.00,747524.00,0
2021-11-25,410.10,418.20,410.00,418.20,0.75,7010.00,2874382.00,1
2021-11-26,410.10,418.20,410.00,418.20,0.75,7010.00,2874382.00,1
2021-11-29,410.00,410.00,401.80,401.80,-1.52,22215.00,9094135.20,-1
2021-11-30,408.00,408.00,408.00,408.00,1.54,10.00,4080.00,1
2021-12-01,410.00,410.00,400.10,400.10,-1.94,20.00,8101.00,-1
2021-12-02,392.10,399.90,392.00,392.00,-2.02,440.00,172612.00,-1
2021-12-03,392.10,399.90,392.00,392.00,-2.02,440.00,172612.00,-1
2021-12-06,384.00,391.60,384.00,391.60,-0.05,35.00,13630.00,-1
2021-12-07,399.40,420.00,399.40,404.00,3.17,2167.00,888700.50,1
2021-12-08,396.00,396.00,388.10,388.10,-3.94,103.00,40369.30,-1
2021-12-09,388.10,388.10,376.00,376.00,-3.12,585.00,224106.20,-1
2021-12-10,388.10,388.10,376.00,376.00,-3.12,585.00,224106.20,-1
2021-12-13,355.00,369.00,325.90,369.00,1.91,18580.00,6152839.00,1
2021-12-14,361.70,370.00,355.00,370.00,0.27,1481.00,534671.10,1
2021-12-15,375.00,391.60,375.00,391.60,5.84,4412.00,1684248.00,1
2021-12-16,383.80,383.80,383.80,383.80,-1.99,20.00,7676.00,-1
2021-12-17,383.80,383.80,383.80,383.80,-1.99,20.00,7676.00,-1
2021-12-20,376.20,376.20,347.50,368.00,-4.12,2148.00,766783.00,-1
2021-12-21,360.70,382.50,360.70,382.50,3.94,4538.00,1715660.00,1
2021-12-22,385.00,413.80,385.00,413.60,8.13,4776.00,1900819.50,1
2021-12-27,443.00,443.00,411.00,413.00,-5.25,4150.00,1720618.90,-1
2021-12-28,405.00,405.00,397.00,404.90,-1.96,816.00,325690.80,-1
2021-12-29,396.90,412.80,389.10,412.80,1.95,290.00,113169.00,1
2021-12-30,396.90,412.80,389.10,412.80,1.95,290.00,113169.00,1
2021-12-31,396.90,412.80,389.10,412.80,1.95,290.00,113169.00,1
2022-01-03,430.00,445.00,420.70,444.00,1.39,5637.00,2390868.00,1
2022-01-04,435.20,435.20,410.70,410.70,-7.50,1542.00,635308.00,-1
2022-01-05,402.50,418.20,394.50,418.20,1.83,6706.00,2711142.50,1
2022-01-06,409.90,417.80,409.50,409.50,-2.08,31.00,12781.50,-1
2022-01-07,409.90,417.80,409.50,409.50,-2.08,31.00,12781.50,-1
2022-01-10,406.10,428.00,406.10,428.00,3.38,1257.00,530135.70,1
2022-01-11,420.00,454.10,419.50,425.00,-0.70,12270.00,5362992.90,-1
2022-01-12,430.00,450.70,430.00,435.00,2.35,6045.00,2661615.00,1
2022-01-13,440.00,452.50,434.90,452.50,4.02,6011.00,2691277.30,1
2022-01-14,440.00,452.50,434.90,452.50,4.02,6011.00,2691277.30,1
2022-01-17,444.00,444.00,436.30,437.10,0.23,6674.00,2935849.00,1
2022-01-18,445.80,463.00,440.00,450.00,2.95,39059.00,17401271.50,1
2022-01-19,441.10,468.10,441.10,460.00,2.22,3654.00,1657290.10,1
2022-01-20,450.80,450.80,441.80,442.00,-3.91,767.00,344418.00,-1
2022-01-21,450.80,450.80,441.80,442.00,-3.91,767.00,344418.00,-1
2022-01-24,458.60,469.00,443.00,451.40,-3.53,5216.00,2371223.10,-1
2022-01-25,442.40,468.00,433.60,468.00,3.68,4541.00,2044987.00,1
2022-01-26,458.70,514.80,432.50,504.60,7.82,4540.00,2069775.60,1
2022-01-27,514.60,514.60,454.20,455.10,-9.81,10412.00,4916095.00,-1
2022-01-28,514.60,514.60,454.20,455.10,-9.81,10412.00,4916095.00,-1
2022-01-31,466.10,474.00,451.40,470.00,2.84,5017.00,2311871.50,1
2022-02-01,475.00,475.00,442.50,468.00,-0.43,743.00,336136.50,-1
2022-02-02,475.00,475.00,442.50,468.00,-0.43,743.00,336136.50,-1
2022-02-03,467.00,470.00,451.40,451.40,-3.55,1831.00,855390.60,-1
2022-02-04,467.00,470.00,451.40,451.40,-3.55,1831.00,855390.60,-1
2022-02-07,454.00,469.20,451.00,454.00,1.79,5164.00,2394259.30,1
2022-02-08,463.00,481.90,445.00,481.90,6.15,4428.00,2042516.50,1
2022-02-09,472.30,473.00,463.00,465.10,-3.49,4074.00,1915359.40,-1
2022-02-10,455.80,493.30,455.80,489.90,5.33,41291.00,19844873.80,1
2022-02-11,455.80,493.30,455.80,489.90,5.33,41291.00,19844873.80,1
2022-02-14,477.30,494.90,458.70,485.00,-0.41,1826.00,883300.00,-1
2022-02-15,476.00,504.00,471.00,500.00,3.09,3428.00,1691246.00,1
2022-02-16,500.00,510.00,470.20,470.20,-5.96,1477.00,713568.40,-1
2022-02-17,479.60,484.00,479.00,484.00,2.93,863.00,414357.00,1
2022-02-18,479.60,484.00,479.00,484.00,2.93,863.00,414357.00,1
2022-02-21,465.00,483.00,455.70,483.00,1.81,366.00,170458.90,1
2022-02-22,473.40,473.40,464.00,470.00,-2.69,547.00,257115.00,-1
2022-02-23,470.00,470.00,452.80,452.80,-3.66,4562.00,2068471.90,-1
2022-02-24,461.80,461.80,435.10,443.80,-1.99,1582.00,698958.20,-1
2022-02-25,461.80,461.80,435.10,443.80,-1.99,1582.00,698958.20,-1
2022-02-28,460.60,460.60,442.40,442.40,-5.85,30.00,13544.00,-1
2022-03-01,460.60,460.60,442.40,442.40,-5.85,30.00,13544.00,-1
2022-03-02,440.00,444.00,423.10,435.20,-1.63,6380.00,2760936.00,-1
2022-03-03,440.00,444.00,423.10,435.20,-1.63,6380.00,2760936.00,-1
2022-03-04,440.00,444.00,423.10,435.20,-1.63,6380.00,2760936.00,-1
2022-03-07,443.00,450.30,442.00,450.30,-0.16,130.00,57644.00,-1
2022-03-08,443.00,450.30,442.00,450.30,-0.16,130.00,57644.00,-1
2022-03-09,458.90,458.90,449.80,449.80,-0.11,20.00,9087.00,-1
2022-03-10,455.00,455.00,437.00,445.60,-0.93,70.00,30945.00,-1
2022-03-11,455.00,455.00,437.00,445.60,-0.93,70.00,30945.00,-1
2022-03-14,450.00,450.00,435.20,435.20,-1.98,20.00,8852.00,-1
2022-03-15,427.10,474.30,427.00,474.30,8.98,5563.00,2404058.60,1
2022-03-21,464.90,464.90,455.70,455.70,-3.92,20.00,9206.00,-1
2022-03-22,446.60,446.60,431.00,439.00,-3.66,9058.00,3926912.80,-1
2022-03-23,446.00,463.80,435.00,443.70,1.07,2481.00,1101793.00,1
2022-03-24,452.50,470.70,452.50,470.70,6.09,5510.00,2588502.00,1
2022-03-25,452.50,470.70,452.50,470.70,6.09,5510.00,2588502.00,1
2022-03-28,442.00,454.00,427.00,440.00,-2.44,2797.00,1224600.00,-1
2022-03-29,432.00,432.00,431.30,431.30,-1.98,500.00,215867.00,-1
2022-03-30,431.00,450.00,430.00,450.00,4.34,819.00,357116.40,1
2022-03-31,441.00,441.00,441.00,441.00,-2.00,10.00,4410.00,-1
2022-04-01,441.00,441.00,441.00,441.00,-2.00,10.00,4410.00,-1
2022-04-07,433.00,433.00,433.00,433.00,-1.81,10.00,4330.00,-1
2022-04-08,433.00,433.00,433.00,433.00,-1.81,10.00,4330.00,-1
2022-04-11,441.60,441.60,425.00,425.00,-1.85,397.00,170218.80,-1
2022-04-12,424.00,424.00,400.00,400.00,-5.88,780.00,321127.00,-1
2022-04-13,400.00,408.00,400.00,408.00,2.00,521.00,208560.00,1
2022-04-14,400.00,408.00,400.00,408.00,2.00,521.00,208560.00,1
2022-04-15,400.00,408.00,400.00,408.00,2.00,521.00,208560.00,1
2022-04-18,397.00,397.00,389.10,389.10,-1.99,320.00,124596.00,-1
2022-04-19,381.40,396.80,373.90,396.80,1.98,780.00,293493.00,1
2022-04-20,388.90,404.00,366.40,404.00,1.81,550.00,215647.00,1
2022-04-25,404.70,404.70,381.10,381.10,-7.70,730.00,278752.00,-1
2022-04-26,388.30,388.60,381.00,381.00,-0.03,611.00,237163.00,-1
