published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,999.00,999.00,971.00,980.00,0.01,11887.00,11633490.80,1
2021-11-05,999.00,999.00,971.00,980.00,0.01,11887.00,11633490.80,1
2021-11-08,999.60,1059.00,978.10,979.00,-0.10,9678.00,9807570.80,-1
2021-11-09,970.00,970.00,910.00,935.00,-4.49,34112.00,31962322.80,-1
2021-11-10,970.00,970.00,910.00,935.00,-4.49,34112.00,31962322.80,-1
2021-11-11,935.00,935.00,890.10,891.00,-4.71,20242.00,18306898.60,-1
2021-11-12,935.00,935.00,890.10,891.00,-4.71,20242.00,18306898.60,-1
2021-11-15,920.00,938.00,900.00,914.00,1.33,9942.00,9052016.30,1
2021-11-16,901.00,932.10,901.00,927.10,1.43,13291.00,12269927.50,1
2021-11-17,935.00,999.60,935.00,952.20,2.71,83116.00,78776223.70,1
2021-11-18,955.00,1014.00,941.10,1014.00,6.49,108385.00,103984373.70,1
2021-11-19,955.00,1014.00,941.10,1014.00,6.49,108385.00,103984373.70,1
2021-11-22,885.50,902.00,884.40,890.00,-1.33,10126.00,9029711.80,-1
2021-11-23,898.50,898.50,860.00,867.00,-2.58,9824.00,8558989.90,-1
2021-11-24,884.00,884.00,851.00,860.00,-0.81,8231.00,7057371.80,-1
2021-11-25,863.90,874.00,845.00,852.00,-0.93,6345.00,5419473.60,-1
2021-11-26,863.90,874.00,845.00,852.00,-0.93,6345.00,5419473.60,-1
2021-11-29,784.00,824.50,784.00,796.00,-0.50,10015.00,8043478.40,-1
2021-11-30,811.80,811.80,780.50,800.50,0.57,6269.00,4989897.20,1
2021-12-01,816.00,816.00,789.00,799.00,-0.19,5856.00,4678395.50,-1
2021-12-02,799.00,799.00,765.00,777.00,-2.75,7822.00,6089055.70,-1
2021-12-03,799.00,799.00,765.00,777.00,-2.75,7822.00,6089055.70,-1
2021-12-06,725.00,765.00,721.00,755.00,2.72,14859.00,11078090.00,1
2021-12-07,769.90,812.50,740.00,750.00,-0.66,22484.00,17251237.30,-1
2021-12-08,765.00,765.00,735.00,736.00,-1.87,8356.00,6228872.00,-1
2021-12-09,750.00,750.00,725.00,735.00,-0.14,12115.00,8860863.60,-1
2021-12-10,750.00,750.00,725.00,735.00,-0.14,12115.00,8860863.60,-1
2021-12-13,700.00,712.00,667.50,675.00,-4.39,13365.00,9126942.40,-1
2021-12-14,688.00,715.00,687.70,714.00,5.78,8474.00,5940482.00,1
2021-12-15,726.00,756.00,689.00,710.00,-0.56,12860.00,9294509.50,-1
2021-12-16,710.00,710.00,677.00,685.00,-3.52,12462.00,8552632.50,-1
2021-12-17,710.00,710.00,677.00,685.00,-3.52,12462.00,8552632.50,-1
2021-12-20,675.00,685.00,667.00,669.00,-2.34,9283.00,6232051.00,-1
2021-12-21,682.30,695.90,670.00,685.00,2.39,5459.00,3704585.50,1
2021-12-22,698.70,723.00,698.70,715.00,4.38,12685.00,9014923.80,1
2021-12-23,720.00,735.60,705.00,717.00,0.28,13884.00,9941630.40,1
2021-12-24,720.00,735.60,705.00,717.00,0.28,13884.00,9941630.40,1
2021-12-27,785.00,802.00,730.00,746.00,-3.24,24644.00,18623682.90,-1
2021-12-28,732.00,745.00,725.00,735.00,-1.47,6970.00,5132253.20,-1
2021-12-29,735.00,744.00,726.00,730.00,-0.68,3799.00,2799351.00,-1
2021-12-30,735.00,744.00,726.00,730.00,-0.68,3799.00,2799351.00,-1
2021-12-31,735.00,744.00,726.00,730.00,-0.68,3799.00,2799351.00,-1
2022-01-03,785.00,842.50,781.00,830.00,7.83,60906.00,50009583.60,1
2022-01-04,846.00,913.00,846.00,898.80,8.29,62824.00,55908422.90,1
2022-01-05,898.80,915.00,856.00,860.00,-4.32,41588.00,36333700.40,-1
2022-01-06,843.00,900.00,827.00,900.00,4.65,33975.00,29625355.00,1
2022-01-07,843.00,900.00,827.00,900.00,4.65,33975.00,29625355.00,1
2022-01-10,912.00,925.00,893.00,905.00,0.78,33444.00,30385490.70,1
2022-01-11,900.00,940.00,893.00,937.00,3.54,52014.00,47909503.20,1
2022-01-12,930.00,1007.70,905.00,918.00,-2.03,40285.00,37835141.40,-1
2022-01-13,917.00,944.90,911.00,940.00,2.40,23598.00,21979152.50,1
2022-01-14,917.00,944.90,911.00,940.00,2.40,23598.00,21979152.50,1
2022-01-17,970.00,1020.00,930.00,990.00,3.92,74978.00,72608996.20,1
2022-01-18,989.00,989.00,941.00,952.10,-3.83,38728.00,37434802.40,-1
2022-01-19,971.00,989.00,925.00,925.00,-2.85,32219.00,30401816.20,-1
2022-01-20,940.00,950.00,925.00,943.00,1.95,31052.00,29247802.00,1
2022-01-21,940.00,950.00,925.00,943.00,1.95,31052.00,29247802.00,1
2022-01-24,908.00,911.00,867.30,877.00,-4.98,41541.00,36899465.10,-1
2022-01-25,876.00,896.00,852.60,860.10,-1.93,24035.00,21033189.10,-1
2022-01-26,850.00,870.00,843.00,854.00,-0.71,16236.00,13835120.10,-1
2022-01-27,864.00,870.00,850.00,852.00,-0.23,9349.00,8020238.50,-1
2022-01-28,864.00,870.00,850.00,852.00,-0.23,9349.00,8020238.50,-1
2022-01-31,915.40,918.00,884.10,899.00,0.17,10327.00,9285530.40,1
2022-02-01,911.00,911.00,878.00,899.00,0.00,22913.00,20331241.90,0
2022-02-02,911.00,911.00,878.00,899.00,0.00,22913.00,20331241.90,0
2022-02-03,900.00,907.80,880.00,882.00,-1.89,18702.00,16734227.50,-1
2022-02-04,900.00,907.80,880.00,882.00,-1.89,18702.00,16734227.50,-1
2022-02-07,883.90,883.90,850.00,870.00,0.35,16039.00,13947934.40,1
2022-02-08,887.40,910.00,859.00,859.00,-1.26,14136.00,12426905.00,-1
2022-02-09,861.00,870.90,845.00,853.00,-0.70,14765.00,12561983.50,-1
2022-02-10,845.00,860.00,845.00,851.50,-0.18,7897.00,6732897.90,-1
2022-02-11,845.00,860.00,845.00,851.50,-0.18,7897.00,6732897.90,-1
2022-02-14,818.00,833.00,810.00,826.00,0.98,12531.00,10295893.50,1
2022-02-15,826.00,852.00,826.00,850.00,2.91,11927.00,9989646.60,1
2022-02-16,846.00,872.10,833.00,838.00,-1.41,11472.00,9785170.00,-1
2022-02-17,838.00,846.00,827.00,835.00,-0.36,19519.00,16244226.90,-1
2022-02-18,838.00,846.00,827.00,835.00,-0.36,19519.00,16244226.90,-1
2022-02-21,830.00,864.20,821.00,827.50,1.60,9403.00,7807009.00,1
2022-02-22,843.00,843.00,822.00,825.00,-0.30,16213.00,13457658.00,-1
2022-02-23,835.00,850.00,820.00,820.00,-0.61,8690.00,7184674.00,-1
2022-02-24,810.00,820.00,794.00,801.00,-2.32,34534.00,27780394.80,-1
2022-02-25,810.00,820.00,794.00,801.00,-2.32,34534.00,27780394.80,-1
2022-02-28,815.00,817.00,782.20,785.00,-2.01,10998.00,8772082.70,-1
2022-03-01,815.00,817.00,782.20,785.00,-2.01,10998.00,8772082.70,-1
2022-03-02,771.00,780.00,757.00,764.00,-2.68,18388.00,14144269.00,-1
2022-03-03,771.00,780.00,757.00,764.00,-2.68,18388.00,14144269.00,-1
2022-03-04,771.00,780.00,757.00,764.00,-2.68,18388.00,14144269.00,-1
2022-03-07,770.00,786.00,758.00,758.00,-1.56,7207.00,5531828.40,-1
2022-03-08,770.00,786.00,758.00,758.00,-1.56,7207.00,5531828.40,-1
2022-03-09,760.10,770.00,738.00,740.00,-2.37,20448.00,15265245.00,-1
2022-03-10,740.00,775.00,735.50,773.00,4.46,14338.00,10851045.00,1
2022-03-11,740.00,775.00,735.50,773.00,4.46,14338.00,10851045.00,1
2022-03-14,812.00,820.00,784.00,818.00,2.63,10524.00,8466299.10,1
2022-03-15,818.00,827.00,800.00,814.00,-0.49,18858.00,15248033.70,-1
