published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,2950.00,2998.00,2900.00,2933.00,-0.41,7286.00,21351829.80,-1
2021-11-05,2950.00,2998.00,2900.00,2933.00,-0.41,7286.00,21351829.80,-1
2021-11-08,2987.00,2991.00,2913.00,2965.00,1.09,6190.00,18231384.90,1
2021-11-09,2964.00,2990.00,2865.10,2879.00,-2.90,11349.00,33101381.40,-1
2021-11-10,2964.00,2990.00,2865.10,2879.00,-2.90,11349.00,33101381.40,-1
2021-11-11,2826.00,2874.90,2800.00,2802.00,-2.67,4423.00,12510428.70,-1
2021-11-12,2826.00,2874.90,2800.00,2802.00,-2.67,4423.00,12510428.70,-1
2021-11-15,2830.00,2830.00,2718.00,2789.00,-1.06,6275.00,17441619.60,-1
2021-11-16,2800.00,2800.00,2740.00,2778.00,-0.39,4036.00,11169408.60,-1
2021-11-17,2832.90,2885.00,2786.00,2849.00,2.56,6476.00,18498110.40,1
2021-11-18,2852.00,2932.00,2845.00,2932.00,2.91,10706.00,30873915.40,1
2021-11-19,2852.00,2932.00,2845.00,2932.00,2.91,10706.00,30873915.40,1
2021-11-22,2970.10,2999.00,2935.00,2935.00,-1.18,11584.00,34312071.20,-1
2021-11-23,2979.00,2980.00,2870.00,2980.00,1.53,8175.00,23710534.80,1
2021-11-24,2920.40,2963.00,2870.00,2945.00,-1.17,4781.00,14016991.20,-1
2021-11-25,2980.00,2980.00,2890.00,2892.00,-1.80,3593.00,10449703.40,-1
2021-11-26,2980.00,2980.00,2890.00,2892.00,-1.80,3593.00,10449703.40,-1
2021-11-29,2746.00,2855.00,2746.00,2769.00,-1.11,2393.00,6649036.70,-1
2021-11-30,2790.00,2790.00,2710.00,2749.00,-0.72,7698.00,21007931.90,-1
2021-12-01,2802.00,2850.00,2746.00,2780.00,1.13,7580.00,21204171.60,1
2021-12-02,2834.90,2835.00,2673.00,2729.00,-1.83,7625.00,20641987.60,-1
2021-12-03,2834.90,2835.00,2673.00,2729.00,-1.83,7625.00,20641987.60,-1
