published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-07-22,1000.00,1000.00,1000.00,1000.00,0.00,25.00,25000.00,0
2022-09-22,980.00,980.00,901.00,901.00,-9.90,278.00,256841.50,-1
2022-09-27,883.00,883.00,810.90,810.90,-10.00,95.00,78913.50,-1
2022-10-10,794.70,794.70,729.90,745.00,-8.13,566.00,430666.60,-1
2022-10-11,730.10,735.10,722.50,735.10,-1.33,320.00,233720.00,-1
2022-10-12,729.10,745.00,729.10,745.00,1.35,249.00,183332.00,1
2022-10-13,740.00,754.80,740.00,750.10,0.68,255.00,189708.00,1
2022-10-16,737.80,762.00,737.70,762.00,1.59,265.00,196462.50,1
2022-10-19,746.80,748.10,740.10,748.10,-1.82,125.00,93235.50,-1
2022-10-20,748.00,762.90,748.00,760.00,1.59,150.00,113772.50,1
2022-10-31,774.50,775.00,774.50,775.00,1.97,100.00,77487.50,1
2022-11-01,759.50,759.50,755.00,755.00,-2.58,80.00,60560.00,-1
2022-11-02,755.00,755.00,750.00,750.00,-0.66,150.00,113010.00,-1
2022-11-03,750.00,750.00,750.00,750.00,0.00,25.00,18750.00,0
2022-11-06,745.00,745.10,745.00,745.10,-0.65,125.00,93127.50,-1
2022-11-07,745.10,745.10,743.10,743.10,-0.27,75.00,55830.00,-1
2022-11-08,750.00,765.00,742.40,765.00,2.95,135.00,101470.00,1
2022-11-10,749.70,750.40,749.70,750.40,-1.91,75.00,56255.00,-1
2022-11-13,750.10,750.10,750.00,750.00,-0.05,40.00,30002.50,-1
2022-11-14,747.00,750.00,746.40,750.00,0.00,40.00,29919.00,0
2022-11-15,751.00,751.00,747.00,747.00,-0.40,50.00,37440.00,-1
2022-11-16,755.00,755.00,755.00,755.00,1.07,50.00,37750.00,1
2022-11-17,750.00,750.10,750.00,750.10,-0.65,50.00,37502.50,-1
2022-11-20,750.00,750.10,750.00,750.10,-0.65,50.00,37502.50,-1
2022-11-21,750.00,750.10,750.00,750.10,-0.65,50.00,37502.50,-1
2022-11-22,752.00,752.00,752.00,752.00,0.25,25.00,18800.00,1
2022-11-23,755.20,755.20,752.10,752.10,0.01,135.00,101843.50,1
2022-11-27,754.00,760.00,754.00,755.00,0.39,90.00,67975.00,1
2022-11-28,770.00,801.10,770.00,801.10,6.11,470.00,374547.00,1
2022-11-29,801.10,817.00,801.10,817.00,1.98,225.00,181090.00,1
2022-11-30,800.70,816.70,800.70,816.70,-0.04,105.00,84473.50,-1
2022-12-04,814.70,820.00,813.00,820.00,0.40,375.00,306222.50,1
2022-12-05,834.00,834.00,834.00,834.00,1.71,25.00,20850.00,1
2022-12-20,817.40,817.40,801.10,801.10,-3.94,75.00,60490.00,-1
2022-12-21,817.00,822.00,800.80,822.00,2.61,625.00,510400.00,1
2022-12-22,806.00,838.00,790.00,838.00,1.95,60.00,49000.00,1
2022-12-25,806.00,838.00,790.00,838.00,1.95,60.00,49000.00,1
2022-12-26,825.00,845.00,808.60,845.00,0.84,125.00,103475.00,1
2022-12-27,830.00,830.00,830.00,830.00,-1.78,25.00,20750.00,-1
2022-12-28,830.00,830.00,830.00,830.00,0.00,70.00,58100.00,0
2022-12-29,830.00,830.00,830.00,830.00,0.00,50.00,41500.00,0
2023-01-01,815.00,830.00,798.70,830.00,0.00,300.00,244252.50,0
2023-01-02,830.00,847.00,830.00,847.00,2.05,175.00,147690.00,1
2023-01-03,844.00,847.00,835.00,835.00,-1.42,150.00,126575.00,-1
2023-01-04,820.00,840.00,820.00,840.00,0.60,150.00,124110.00,1
2023-01-05,825.00,825.00,825.00,825.00,-1.79,75.00,61875.00,-1
2023-01-08,815.00,815.00,795.10,800.00,-3.03,195.00,156244.00,-1
2023-01-09,795.00,827.00,795.00,827.00,3.38,100.00,81739.00,1
2023-01-10,843.50,860.30,843.50,860.30,4.03,35.00,29942.50,1
2023-01-11,843.50,860.30,843.50,860.30,4.03,35.00,29942.50,1
2023-01-12,877.50,892.00,877.50,892.00,3.68,185.00,162670.00,1
2023-01-15,877.50,892.00,877.50,892.00,3.68,185.00,162670.00,1
2023-01-16,877.50,892.00,877.50,892.00,3.68,185.00,162670.00,1
2023-01-31,874.20,874.20,874.20,874.20,-2.00,10.00,8742.00,-1
2023-02-15,856.80,856.80,787.00,787.00,-9.97,215.00,172175.50,-1
2023-02-16,785.00,785.00,778.00,785.00,-0.25,120.00,93805.50,-1
2023-02-19,785.00,785.00,778.00,785.00,-0.25,120.00,93805.50,-1
2023-02-20,770.00,775.10,770.00,775.10,-1.26,90.00,69657.00,-1
2023-02-21,770.00,775.10,770.00,775.10,-1.26,90.00,69657.00,-1
2023-02-22,760.00,760.00,745.10,750.50,-3.17,120.00,90286.50,-1
2023-02-23,750.00,750.00,750.00,750.00,-0.07,40.00,30000.00,-1
2023-02-26,747.00,747.00,746.00,746.00,-0.53,25.00,18660.00,-1
2023-02-27,746.10,746.50,746.10,746.50,0.07,50.00,37315.00,1
2023-02-28,761.40,761.40,761.40,761.40,2.00,40.00,30456.00,1
2023-03-01,750.00,755.00,746.10,755.00,-0.84,110.00,82702.50,-1
2023-03-02,744.10,744.10,744.10,744.10,-1.44,25.00,18602.50,-1
2023-03-05,745.10,745.10,745.10,745.10,0.13,25.00,18627.50,1
2023-03-06,745.10,745.10,745.10,745.10,0.13,25.00,18627.50,1
2023-03-09,751.00,781.80,751.00,781.80,4.93,75.00,56954.50,1
2023-03-12,790.00,800.00,790.00,800.00,2.33,235.00,187835.00,1
2023-03-13,800.00,800.00,800.00,800.00,0.00,125.00,100000.00,0
2023-03-14,800.00,800.00,800.00,800.00,0.00,125.00,100000.00,0
2023-03-16,795.00,800.00,795.00,800.00,0.00,40.00,31925.00,0
2023-03-19,800.00,800.00,800.00,800.00,0.00,25.00,20000.00,0
2023-03-20,790.00,790.00,790.00,790.00,-1.25,25.00,19750.00,-1
2023-03-21,790.00,790.00,790.00,790.00,-1.25,25.00,19750.00,-1
2023-03-22,775.20,800.00,775.20,800.00,1.27,100.00,79130.00,1
2023-03-23,784.00,784.00,784.00,784.00,-2.00,25.00,19600.00,-1
2023-03-26,780.00,805.00,780.00,805.00,2.68,85.00,67050.00,1
2023-03-27,799.00,804.00,788.90,804.00,-0.12,85.00,67827.50,-1
2023-03-28,789.00,804.50,789.00,804.50,0.06,60.00,47882.50,1
2023-03-29,805.00,805.00,800.00,800.00,-0.56,40.00,32075.00,-1
2023-03-30,784.00,784.00,784.00,784.00,-2.00,25.00,19600.00,-1
2023-04-02,784.00,799.00,784.00,799.00,1.91,150.00,118350.00,1
2023-04-03,783.40,790.90,772.00,790.90,-1.01,105.00,81931.50,-1
2023-04-17,810.00,812.00,810.00,812.00,0.74,50.00,40550.00,1
2023-04-19,811.00,811.00,797.10,797.10,-3.62,50.00,40202.50,-1
2023-04-20,800.10,800.10,800.10,800.10,0.38,25.00,20002.50,1
2023-04-23,800.00,800.10,800.00,800.10,0.00,75.00,60005.00,0
2023-04-24,800.10,800.10,800.10,800.10,0.00,25.00,20002.50,0
