published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-01-04,277.00,277.00,277.00,277.00,0.00,35000.00,9695000.00,0
2022-01-17,277.00,277.00,277.00,277.00,0.00,16676.00,4619252.00,0
2022-01-18,277.00,277.00,277.00,277.00,0.00,137607.00,38117139.00,0
2022-01-20,277.00,277.00,277.00,277.00,0.00,4000.00,1108000.00,0
2022-01-21,277.00,277.00,277.00,277.00,0.00,4000.00,1108000.00,0
2022-03-10,277.00,277.00,277.00,277.00,0.00,6500.00,1800500.00,0
2022-03-11,277.00,277.00,277.00,277.00,0.00,6500.00,1800500.00,0
2022-11-03,207.00,207.00,207.00,207.00,0.00,174000.00,36018000.00,0
2022-11-15,207.00,207.00,207.00,207.00,0.00,105582.00,21855474.00,0
2022-11-28,207.00,207.00,207.00,207.00,0.00,62682.00,12975174.00,0
2022-11-29,207.00,207.00,207.00,207.00,0.00,72219.00,14949333.00,0
2022-11-30,207.00,207.00,207.00,207.00,0.00,89400.00,18505800.00,0
2022-12-01,207.00,207.00,207.00,207.00,0.00,43400.00,8983800.00,0
2023-02-09,198.00,198.00,198.00,198.00,0.00,64662.00,12803076.00,0
2023-02-14,198.00,198.00,198.00,198.00,0.00,82038.00,16243524.00,0
2023-02-15,198.00,198.00,198.00,198.00,0.00,96500.00,19107000.00,0
2023-09-25,206.00,206.00,206.00,206.00,4.04,44504.00,9167824.00,1
2023-10-01,206.00,206.00,206.00,206.00,0.00,246.00,50676.00,0
2023-10-18,206.00,206.00,206.00,206.00,0.00,2260.00,465560.00,0
2023-11-06,206.00,206.00,206.00,206.00,0.00,24030.00,4950180.00,0
2023-11-08,206.00,206.00,206.00,206.00,0.00,19160.00,3946960.00,0
2023-11-28,206.00,206.00,206.00,206.00,0.00,1000.00,206000.00,0
2024-01-01,206.00,206.00,206.00,206.00,0.00,55000.00,11330000.00,0
2024-04-03,205.00,205.00,205.00,205.00,-0.49,53501.00,10967705.00,-1
2024-07-11,205.00,205.00,205.00,205.00,0.00,119275.00,24451375.00,0
2024-08-01,205.00,205.00,205.00,205.00,0.00,61867.00,12682735.00,0
2024-08-04,205.00,205.00,205.00,205.00,0.00,61867.00,12682735.00,0
2024-08-11,205.00,205.00,205.00,205.00,0.00,52679.00,10799195.00,0
2024-08-14,205.00,205.00,205.00,205.00,0.00,43060.00,8827300.00,0
2024-10-17,205.00,205.00,205.00,205.00,0.00,6128.00,1256240.00,0
2024-10-23,205.00,205.00,205.00,205.00,0.00,3588.00,735540.00,0
2024-10-24,205.00,205.00,205.00,205.00,0.00,54750.00,11223750.00,0
2024-11-11,205.00,205.00,205.00,205.00,0.00,200000.00,41000000.00,0
2024-11-12,205.00,205.00,205.00,205.00,0.00,87067.00,17848735.00,0
2024-11-13,205.00,205.00,205.00,205.00,0.00,12917.00,2647985.00,0
2024-11-14,205.00,205.00,205.00,205.00,0.00,14353.00,2942365.00,0
2024-11-17,205.00,205.00,205.00,205.00,0.00,16510.00,3384550.00,0
2024-11-18,205.00,205.00,205.00,205.00,0.00,16510.00,3384550.00,0
2024-11-26,205.00,205.00,205.00,205.00,0.00,16425.00,3367125.00,0
2025-01-05,205.00,205.00,205.00,205.00,0.00,43000.00,8815000.00,0
2025-01-22,205.00,205.00,205.00,205.00,0.00,34251.00,7021455.00,0
2025-01-26,205.00,205.00,205.00,205.00,0.00,54750.00,11223750.00,0
2025-02-16,205.00,205.00,205.00,205.00,0.00,10950.00,2244750.00,0
2025-04-01,205.00,205.00,205.00,205.00,0.00,10000.00,2050000.00,0
2025-04-16,218.00,218.00,218.00,218.00,0.00,40000.00,8720000.00,0
2025-06-16,213.70,213.70,213.70,213.70,-1.97,10950.00,2340015.00,-1
2025-06-19,209.50,209.50,209.50,209.50,-1.97,5000.00,1047500.00,-1
2025-06-24,205.40,205.40,205.40,205.40,-1.96,14000.00,2875600.00,-1
2025-06-25,201.30,201.30,201.30,201.30,-2.00,20000.00,4026000.00,-1
2025-07-13,197.30,197.30,197.30,197.30,-1.99,65000.00,12824500.00,-1
2025-07-14,193.40,193.40,193.40,193.40,-1.98,27375.00,5294325.00,-1
2025-07-16,197.20,201.10,197.20,198.31,2.54,15330.00,3040158.00,1
2025-07-17,202.20,202.20,202.20,202.20,1.96,5475.00,1107045.00,1
2025-09-21,200.00,200.00,200.00,200.00,-1.09,19710.00,3942000.00,-1
2025-09-22,200.00,200.00,200.00,200.00,-1.09,19710.00,3942000.00,-1
2025-11-03,200.00,200.00,200.00,200.00,0.00,29000.00,5800000.00,0
2025-12-21,204.00,204.00,204.00,204.00,2.00,52199.00,10648596.00,1
2026-03-26,242.00,242.00,242.00,242.00,0.00,30369.00,7349298.00,0
2026-03-31,242.00,242.00,242.00,242.00,0.00,30370.00,7349540.00,0
2026-06-09,238.00,238.00,238.00,238.00,0.00,60000.00,14280000.00,0
