published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,1015.00,1015.00,1015.00,1015.00,0.78,25.00,25375.00,1
2021-11-05,1015.00,1015.00,1015.00,1015.00,0.78,25.00,25375.00,1
2021-11-08,1005.10,1005.10,1005.10,1005.10,-0.98,25.00,25127.50,-1
2021-11-22,1002.40,1002.40,1002.40,1002.40,0.00,200.00,200480.00,0
2021-11-30,1005.00,1005.00,1002.40,1002.40,0.00,1000.00,1002660.00,0
2021-12-02,1005.10,1005.10,1005.10,1005.10,0.27,30.00,30153.00,1
2021-12-03,1005.10,1005.10,1005.10,1005.10,0.27,30.00,30153.00,1
2021-12-06,1003.00,1003.00,1003.00,1003.00,-0.21,25.00,25075.00,-1
2021-12-23,1003.00,1003.00,1003.00,1003.00,0.00,45.00,45135.00,0
2021-12-24,1003.00,1003.00,1003.00,1003.00,0.00,45.00,45135.00,0
2022-01-04,1020.00,1020.00,1020.00,1020.00,-0.29,50.00,51000.00,-1
2022-01-06,1020.00,1025.00,1020.00,1025.00,0.49,250.00,256125.00,1
2022-01-07,1020.00,1025.00,1020.00,1025.00,0.49,250.00,256125.00,1
2022-01-10,1025.00,1025.00,1025.00,1025.00,0.00,25.00,25625.00,0
2022-01-11,1025.00,1027.00,1025.00,1027.00,0.20,75.00,76975.00,1
2022-01-13,1030.00,1030.00,1030.00,1030.00,0.29,25.00,25750.00,1
2022-01-14,1030.00,1030.00,1030.00,1030.00,0.29,25.00,25750.00,1
2022-01-24,1001.00,1001.00,996.00,996.00,-0.40,75.00,74950.00,-1
2022-01-27,977.00,990.00,977.00,990.00,-0.60,55.00,54125.00,-1
2022-01-28,977.00,990.00,977.00,990.00,-0.60,55.00,54125.00,-1
2022-02-14,970.20,970.20,970.20,970.20,-2.00,100.00,97020.00,-1
2022-03-07,951.00,951.00,951.00,951.00,-1.98,10.00,9510.00,-1
2022-03-08,951.00,951.00,951.00,951.00,-1.98,10.00,9510.00,-1
2022-03-09,946.00,946.00,932.00,932.00,-2.00,170.00,159340.00,-1
2022-03-15,950.00,950.00,950.00,950.00,1.00,425.00,403750.00,1
2022-03-24,969.00,988.30,969.00,988.30,4.03,50.00,48932.50,1
2022-03-25,969.00,988.30,969.00,988.30,4.03,50.00,48932.50,1
