published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-04-26,980.00,980.00,980.00,980.00,-2.00,10.00,9800.00,-1
2022-06-22,960.40,960.40,960.40,960.40,-2.00,10.00,9604.00,-1
2022-07-05,817.00,817.10,801.10,815.00,-2.16,515.00,415868.70,-1
2022-07-06,815.00,815.00,804.10,804.10,-1.34,50.00,40477.50,-1
2022-07-07,802.10,810.00,802.10,810.00,0.73,100.00,80632.00,1
2022-07-08,802.50,802.50,799.30,799.30,-1.32,200.00,160207.50,-1
2022-07-10,802.50,802.50,799.30,799.30,-1.32,200.00,160207.50,-1
2022-07-12,794.50,800.00,794.50,798.00,-0.16,60.00,47822.50,-1
2022-07-13,797.10,801.00,797.10,798.00,0.00,125.00,99862.50,0
2022-07-18,783.00,783.00,782.00,782.00,-2.01,80.00,62576.50,-1
2022-07-19,775.00,775.00,763.10,769.00,-1.66,105.00,80574.50,-1
2022-07-20,755.20,783.00,755.10,770.00,0.13,155.00,118932.50,1
2022-07-21,785.00,785.00,775.00,775.00,0.65,100.00,78250.00,1
2022-07-24,770.60,770.60,770.50,770.60,-0.57,135.00,104025.00,-1
2022-07-25,771.00,771.50,770.60,770.60,0.00,200.00,154159.00,0
2022-07-26,770.00,770.00,770.00,770.00,-0.08,25.00,19250.00,-1
2022-07-27,785.40,785.40,780.00,780.00,1.30,130.00,101778.00,1
2022-07-28,795.60,795.60,795.60,795.60,2.00,245.00,194922.00,1
2022-08-01,790.00,790.00,790.00,790.00,-0.70,125.00,98750.00,-1
2022-08-02,775.00,780.00,775.00,776.00,-1.77,100.00,77710.00,-1
2022-08-03,775.00,775.00,770.00,770.00,-0.77,50.00,38625.00,-1
2022-08-09,759.30,759.30,759.30,759.30,-1.39,25.00,18982.50,-1
2022-08-10,765.00,765.00,760.50,760.50,0.16,60.00,45720.00,1
2022-08-11,760.00,760.00,759.20,759.20,-0.17,25.00,18988.00,-1
2022-08-12,760.00,760.00,759.20,759.20,-0.17,25.00,18988.00,-1
2022-08-14,774.30,774.30,774.30,774.30,1.99,50.00,38715.00,1
2022-08-16,770.00,770.00,770.00,770.00,-0.56,25.00,19250.00,-1
2022-08-17,770.00,770.10,770.00,770.10,0.01,25.00,19251.50,1
2022-08-18,775.00,775.00,775.00,775.00,0.64,35.00,27125.00,1
2022-08-19,775.00,775.00,775.00,775.00,0.64,35.00,27125.00,1
2022-08-22,772.00,775.00,772.00,772.00,-0.39,130.00,100390.00,-1
2022-08-24,775.00,775.00,775.00,775.00,0.39,25.00,19375.00,1
2022-08-25,790.50,790.50,790.50,790.50,2.00,25.00,19762.50,1
2022-08-28,774.80,774.80,774.80,774.80,-1.99,161.00,124742.80,-1
2022-08-29,759.40,760.10,759.40,760.10,-1.90,75.00,56972.50,-1
2022-08-30,770.00,770.00,770.00,770.00,1.30,25.00,19250.00,1
2022-08-31,770.10,770.10,770.10,770.10,0.01,50.00,38505.00,1
2022-09-01,777.00,777.00,777.00,777.00,0.90,10.00,7770.00,1
2022-09-04,777.00,777.00,777.00,777.00,0.00,15.00,11655.00,0
2022-09-05,770.10,770.10,770.10,770.10,-0.89,85.00,65458.50,-1
2022-09-06,770.10,770.10,770.10,770.10,0.00,25.00,19252.50,0
