published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-08-28,10.00,10.00,10.00,10.00,0.00,100.00,1000.00,0
2025-08-31,9.81,9.81,9.00,9.00,-10.00,3040.00,27683.00,-1
2025-09-01,8.85,9.20,8.70,9.02,0.22,3600.00,32300.00,1
2025-09-02,8.95,9.01,8.69,8.84,-2.00,8500.00,75254.90,-1
2025-09-03,8.68,9.28,8.68,9.10,2.94,5350.00,48275.00,1
2025-09-04,8.92,8.92,8.80,8.82,-3.08,2200.00,19484.00,-1
2025-09-07,8.75,9.15,8.75,9.00,2.04,2400.00,21504.00,1
2025-09-08,9.00,9.30,9.00,9.12,1.33,3850.00,35178.00,1
2025-09-09,9.00,9.30,9.00,9.12,1.33,3850.00,35178.00,1
2025-09-10,9.00,9.30,9.00,9.12,1.33,3850.00,35178.00,1
2025-09-11,9.00,9.30,9.00,9.12,1.33,3850.00,35178.00,1
2025-09-14,9.00,9.30,9.00,9.12,1.33,3850.00,35178.00,1
2025-09-15,9.00,9.30,9.00,9.12,1.33,3850.00,35178.00,1
2025-09-16,9.00,9.30,9.00,9.12,1.33,3850.00,35178.00,1
2025-09-17,9.00,9.30,9.00,9.12,1.33,3850.00,35178.00,1
2025-09-21,8.94,9.00,8.80,8.96,-1.75,2300.00,20394.00,-1
2025-09-22,8.94,9.00,8.80,8.96,-1.75,2300.00,20394.00,-1
2025-09-23,8.80,8.96,8.80,8.96,0.00,4390.00,38926.90,0
2025-09-24,8.80,8.91,8.79,8.85,-1.23,1100.00,9713.00,-1
2025-09-25,8.81,8.97,8.81,8.90,0.56,700.00,6212.00,1
2025-09-28,9.02,9.79,8.80,9.79,10.00,10100.00,90509.00,1
2025-09-29,9.02,9.79,8.80,9.79,10.00,10100.00,90509.00,1
2025-09-30,9.02,9.79,8.80,9.79,10.00,10100.00,90509.00,1
2025-10-01,9.02,9.79,8.80,9.79,10.00,10100.00,90509.00,1
2025-10-02,9.02,9.79,8.80,9.79,10.00,10100.00,90509.00,1
2025-10-05,9.02,9.79,8.80,9.79,10.00,10100.00,90509.00,1
2025-10-06,9.02,9.79,8.80,9.79,10.00,10100.00,90509.00,1
2025-10-07,9.60,9.60,9.07,9.07,-7.35,4050.00,37308.50,-1
2025-10-08,9.25,9.25,8.89,9.25,1.98,800.00,7241.00,1
2025-10-09,9.08,9.40,9.08,9.40,1.62,2100.00,19395.00,1
2025-10-12,9.22,9.22,9.00,9.00,-4.26,900.00,8226.00,-1
2025-10-13,8.82,8.90,8.65,8.90,-1.11,1200.00,10520.00,-1
2025-10-14,9.05,9.05,8.87,8.90,0.00,900.00,8032.00,0
2025-10-15,8.76,9.07,8.76,9.06,1.80,1700.00,15302.00,1
2025-10-16,8.89,9.10,8.85,9.10,0.44,2200.00,19813.00,1
2025-10-19,8.92,8.94,8.77,8.94,-1.76,2500.00,22199.00,-1
2025-10-20,8.92,8.94,8.77,8.94,-1.76,2500.00,22199.00,-1
2025-10-21,8.92,8.94,8.77,8.94,-1.76,2500.00,22199.00,-1
2025-10-22,8.92,8.94,8.77,8.94,-1.76,2500.00,22199.00,-1
2025-10-23,8.92,8.94,8.77,8.94,-1.76,2500.00,22199.00,-1
2025-10-26,9.00,9.11,8.95,9.11,1.90,6600.00,59223.00,1
2025-10-27,9.00,9.11,8.95,9.11,1.90,6600.00,59223.00,1
2025-10-28,9.00,9.00,8.81,8.83,-3.07,1200.00,10732.00,-1
2025-10-29,8.80,8.86,8.80,8.86,0.34,700.00,6178.00,1
2025-10-30,8.86,9.18,8.86,9.18,3.61,3350.00,30276.50,1
2025-11-02,9.00,9.00,9.00,9.00,-1.96,1500.00,13500.00,-1
2025-11-03,9.00,9.00,8.83,8.90,-1.11,2650.00,23548.00,-1
2025-11-04,8.77,8.83,8.77,8.83,-0.79,1100.00,9682.00,-1
2025-11-05,8.75,8.82,8.75,8.82,-0.11,700.00,6152.00,-1
2025-11-06,8.80,9.07,8.80,9.02,2.27,1900.00,16927.00,1
2025-11-09,8.84,9.02,8.84,8.85,-1.88,2800.00,24976.00,-1
2025-11-10,8.75,8.99,8.75,8.99,1.58,1500.00,13274.00,1
2025-11-11,9.05,9.06,8.88,8.89,-1.11,700.00,6282.00,-1
2025-11-12,8.89,9.07,8.76,8.91,0.22,2200.00,19602.00,1
2025-11-13,8.91,9.08,8.74,8.86,-0.56,2300.00,20416.00,-1
2025-11-16,8.69,9.03,8.69,9.02,1.81,2800.00,24710.50,1
2025-11-17,8.85,8.92,8.85,8.87,-1.66,1100.00,9771.00,-1
2025-11-18,8.70,8.87,8.70,8.80,-0.79,11400.00,100976.00,-1
2025-11-19,8.70,8.81,8.53,8.81,0.11,10950.00,93554.00,1
2025-11-20,8.68,8.98,8.68,8.73,-0.91,5500.00,48731.00,-1
2025-11-23,8.61,8.80,8.61,8.79,0.69,1880.00,16431.60,1
2025-11-24,8.65,8.96,8.65,8.96,1.93,9500.00,84345.00,1
2025-11-25,8.79,8.96,8.63,8.96,0.00,1000.00,8775.00,0
2025-11-26,8.80,8.94,8.70,8.79,-1.90,2600.00,22901.00,-1
2025-11-27,8.70,9.25,8.70,9.25,5.23,3080.00,27746.00,1
2025-11-30,9.07,9.20,8.83,9.20,-0.54,6400.00,57801.00,-1
2025-12-01,9.02,9.20,9.02,9.03,-1.85,4000.00,36465.00,-1
2025-12-02,9.02,9.10,8.82,8.82,-2.33,14330.00,127953.60,-1
2025-12-03,8.65,9.18,8.65,8.68,-1.59,7520.00,65492.90,-1
2025-12-04,8.65,9.18,8.65,8.68,-1.59,7520.00,65492.90,-1
2025-12-07,8.52,8.85,8.52,8.70,0.23,2230.00,19342.00,1
2025-12-08,8.54,8.72,8.50,8.72,0.23,12550.00,107527.00,1
2025-12-09,8.55,9.04,8.55,9.04,3.67,3950.00,34529.00,1
2025-12-10,9.00,9.00,8.88,8.88,-1.77,900.00,8016.00,-1
2025-12-11,8.73,8.95,8.73,8.77,-1.24,1600.00,14047.00,-1
2025-12-14,8.71,8.89,8.71,8.88,1.25,2100.00,18568.00,1
2025-12-15,8.73,8.81,8.73,8.81,-0.79,1000.00,8763.00,-1
2025-12-16,8.81,8.90,8.73,8.90,1.02,1100.00,9678.00,1
2025-12-17,9.00,9.04,8.82,9.04,1.57,1800.00,16030.00,1
2025-12-18,8.86,9.09,8.86,9.09,0.55,2500.00,22431.00,1
2025-12-21,8.93,9.14,8.93,9.14,0.55,5250.00,47641.00,1
2025-12-22,8.99,8.99,8.98,8.98,-1.75,1500.00,13475.00,-1
2025-12-23,8.83,8.98,8.81,8.81,-1.89,2200.00,19426.00,-1
2025-12-24,8.82,9.05,8.82,9.05,2.72,2000.00,17886.00,1
2025-12-25,8.82,9.05,8.82,9.05,2.72,2000.00,17886.00,1
2025-12-28,8.87,9.26,8.87,9.26,2.32,6530.00,58979.00,1
2025-12-29,9.08,10.18,9.00,10.18,9.94,4750.00,44149.00,1
2025-12-30,9.08,10.18,9.00,10.18,9.94,4750.00,44149.00,1
2025-12-31,10.18,10.18,9.98,9.98,-1.96,200.00,2016.00,-1
2026-01-01,9.79,9.79,8.98,8.98,-10.02,16700.00,151040.11,-1
2026-01-04,8.81,9.15,8.81,8.97,-0.11,2890.00,25744.10,-1
2026-01-06,8.75,8.92,8.75,8.92,0.22,1800.00,15900.00,1
2026-01-07,8.79,9.09,8.79,8.91,-0.11,1700.00,15199.00,-1
2026-01-08,9.00,9.15,8.97,9.10,2.13,2210.00,19993.00,1
2026-01-11,9.00,9.15,8.97,9.10,2.13,2210.00,19993.00,1
2026-01-12,9.10,9.10,8.93,8.93,-1.87,1900.00,17137.00,-1
2026-01-13,8.96,9.18,8.96,9.18,2.80,6050.00,54845.00,1
2026-01-14,9.00,9.10,8.84,9.10,-0.87,1500.00,13426.00,-1
2026-01-15,9.00,9.10,8.84,9.10,-0.87,1500.00,13426.00,-1
2026-01-18,8.92,9.10,8.92,9.10,0.00,2500.00,22545.00,0
2026-01-19,8.92,9.10,8.92,9.10,0.00,2500.00,22545.00,0
2026-01-20,8.93,9.10,8.93,9.05,-0.55,5300.00,47967.00,-1
2026-01-21,8.89,9.06,8.89,9.03,-0.22,2150.00,19407.00,-1
2026-01-22,8.92,9.15,8.92,9.03,0.00,3780.00,34245.40,0
2026-01-25,8.90,9.20,8.90,9.20,1.88,4400.00,39952.00,1
2026-01-26,9.02,9.38,9.02,9.22,0.22,13780.00,127911.40,1
2026-01-27,9.40,9.41,9.22,9.24,0.22,3100.00,28840.00,1
2026-01-28,9.07,9.33,9.07,9.15,-0.97,1600.00,14658.00,-1
2026-01-29,9.00,9.24,9.00,9.06,-0.98,2745.00,24916.00,-1
2026-02-01,8.92,9.41,8.92,9.23,1.88,6850.00,63208.50,1
2026-02-02,9.09,9.15,9.09,9.15,-0.87,2100.00,19129.00,-1
2026-02-03,9.10,9.17,9.03,9.04,-1.20,2800.00,25557.00,-1
2026-02-04,9.05,9.41,9.05,9.41,4.09,1899.00,17563.77,1
2026-02-05,9.58,9.74,9.50,9.60,2.02,55112.00,530443.38,1
2026-02-08,9.50,9.50,9.12,9.19,-4.27,1400.00,12872.00,-1
2026-02-09,9.13,9.38,9.03,9.08,-1.20,2450.00,22410.00,-1
