published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-08-13,565.50,581.40,509.00,509.00,-9.99,446687.00,231568383.40,-1
2023-08-14,500.00,540.00,491.00,524.00,2.95,174521.00,89804095.50,1
2023-08-15,530.00,530.00,512.00,514.00,-1.91,65896.00,34071909.80,-1
2023-08-16,509.00,510.00,499.90,501.20,-2.49,97602.00,49044946.60,-1
2023-08-17,501.20,512.00,494.00,507.00,1.16,102087.00,51661241.00,1
2023-08-20,500.00,510.00,491.00,492.00,-2.96,74722.00,37213924.00,-1
2023-08-21,485.20,493.90,477.00,477.10,-3.03,104411.00,50612461.20,-1
2023-08-22,470.00,505.00,470.00,499.00,4.59,75667.00,36891104.60,1
2023-08-23,489.10,512.00,489.10,510.00,2.20,149499.00,75765894.40,1
2023-08-24,520.20,520.20,500.00,508.00,-0.39,137002.00,69458731.80,-1
2023-08-27,497.90,500.00,486.00,486.40,-4.25,99951.00,49061447.60,-1
2023-08-28,482.00,495.00,480.00,485.10,-0.27,51776.00,25198784.80,-1
2023-08-29,490.00,490.00,480.00,481.00,-0.85,46631.00,22633490.00,-1
2023-08-30,490.50,490.50,478.00,479.00,-0.42,42325.00,20336919.60,-1
2023-08-31,490.50,490.50,478.00,479.00,-0.42,42325.00,20336919.60,-1
2023-09-03,479.00,479.00,468.00,469.90,-1.90,61451.00,28980472.30,-1
2023-09-04,469.00,485.00,468.50,477.90,1.70,41103.00,19428238.90,1
2023-09-05,475.00,488.90,470.00,487.00,1.90,58867.00,28045570.40,1
2023-09-06,475.00,488.90,470.00,487.00,1.90,58867.00,28045570.40,1
2023-09-07,480.00,481.00,470.00,473.00,-2.87,46343.00,21959417.50,-1
2023-09-10,473.00,480.00,468.20,469.40,-0.76,56148.00,26564739.90,-1
2023-09-11,465.00,488.00,465.00,481.40,2.56,57134.00,27426292.40,1
2023-09-12,481.40,487.00,470.00,470.00,-2.37,40128.00,19155817.10,-1
2023-09-13,470.00,486.00,470.00,483.00,2.77,57478.00,27613783.50,1
2023-09-14,470.00,486.00,470.00,483.00,2.77,57478.00,27613783.50,1
2023-09-17,492.60,492.60,465.80,466.00,-3.52,45100.00,21225441.60,-1
