published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-09-28,10.00,10.00,9.00,9.00,-10.00,900.00,8619.00,-1
2022-09-29,8.82,8.82,8.65,8.70,-3.33,8800.00,76185.00,-1
2022-10-02,8.82,8.82,8.65,8.70,-3.33,8800.00,76185.00,-1
2022-10-03,8.82,8.82,8.65,8.70,-3.33,8800.00,76185.00,-1
2022-10-04,8.82,8.82,8.65,8.70,-3.33,8800.00,76185.00,-1
2022-10-05,8.82,8.82,8.65,8.70,-3.33,8800.00,76185.00,-1
2022-10-06,8.82,8.82,8.65,8.70,-3.33,8800.00,76185.00,-1
2022-10-09,8.53,8.53,8.10,8.31,-4.48,3200.00,26221.00,-1
2022-10-10,8.31,8.60,8.31,8.60,3.49,1800.00,15158.00,1
2022-10-11,8.44,8.47,8.30,8.47,-1.51,4854.00,40813.38,-1
2022-10-12,8.31,8.31,8.15,8.15,-3.78,1000.00,8263.00,-1
2022-10-13,8.15,8.21,8.01,8.08,-0.86,1200.00,9718.00,-1
2022-10-16,7.93,8.10,7.92,8.10,0.25,7300.00,58500.00,1
2022-10-17,8.00,8.27,8.00,8.27,2.10,1516.00,12395.00,1
2022-10-18,8.00,8.27,8.00,8.27,2.10,1516.00,12395.00,1
2022-10-19,8.11,8.11,7.81,8.00,-3.26,1850.00,14699.50,-1
2022-10-20,7.90,8.00,7.90,8.00,0.00,3340.00,26511.00,0
2022-10-23,7.85,7.95,7.70,7.95,-0.62,1812.00,14214.60,-1
2022-10-24,7.85,7.95,7.70,7.95,-0.62,1812.00,14214.60,-1
2022-10-25,7.85,7.95,7.70,7.95,-0.62,1812.00,14214.60,-1
2022-10-26,7.85,7.95,7.70,7.95,-0.62,1812.00,14214.60,-1
2022-10-27,7.85,7.95,7.70,7.95,-0.62,1812.00,14214.60,-1
2022-10-30,7.85,7.95,7.70,7.95,-0.62,1812.00,14214.60,-1
2022-10-31,7.80,7.95,7.69,7.75,-2.52,2100.00,16346.00,-1
2022-11-01,7.90,8.20,7.90,8.20,5.81,1000.00,8150.00,1
2022-11-02,8.20,8.36,8.04,8.36,1.95,3100.00,25247.00,1
2022-11-03,8.20,8.20,7.85,8.00,-4.31,2100.00,16792.00,-1
2022-11-06,8.00,8.16,8.00,8.05,0.63,2100.00,17011.00,1
2022-11-07,8.00,8.20,7.84,8.20,1.86,2610.00,20948.40,1
2022-11-08,8.05,8.05,7.89,7.95,-3.05,900.00,7201.00,-1
2022-11-09,7.80,7.80,7.70,7.80,-1.89,2700.00,21000.00,-1
2022-11-10,7.80,7.80,7.66,7.73,-0.90,1900.00,14738.00,-1
2022-11-13,7.58,7.78,7.58,7.78,0.65,800.00,6183.00,1
2022-11-14,7.93,7.93,7.78,7.80,0.26,300.00,2351.00,1
2022-11-15,7.80,8.00,7.80,8.00,2.56,900.00,7080.00,1
