published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,1468.00,1490.00,1451.00,1490.00,-0.53,616.00,903614.10,-1
2021-11-05,1468.00,1490.00,1451.00,1490.00,-0.53,616.00,903614.10,-1
2021-11-08,1492.00,1509.90,1471.20,1471.20,-1.26,335.00,500084.00,-1
2021-11-09,1470.00,1470.00,1435.00,1435.00,-2.46,1760.00,2536947.00,-1
2021-11-10,1470.00,1470.00,1435.00,1435.00,-2.46,1760.00,2536947.00,-1
2021-11-11,1406.30,1425.00,1382.00,1395.00,-2.79,593.00,830346.00,-1
2021-11-12,1406.30,1425.00,1382.00,1395.00,-2.79,593.00,830346.00,-1
2021-11-15,1369.00,1392.00,1369.00,1391.00,-0.36,391.00,538666.00,-1
2021-11-16,1366.10,1417.80,1366.10,1390.00,-0.07,140.00,197093.00,-1
2021-11-17,1390.00,1440.00,1390.00,1421.00,2.23,495.00,702298.00,1
2021-11-18,1421.00,1421.00,1386.00,1386.00,-2.46,390.00,544307.00,-1
2021-11-19,1421.00,1421.00,1386.00,1386.00,-2.46,390.00,544307.00,-1
2021-11-22,1386.00,1405.00,1359.00,1361.00,-1.73,759.00,1045766.00,-1
2021-11-23,1334.00,1407.00,1334.00,1365.10,0.30,240.00,330449.00,1
2021-11-24,1350.00,1415.00,1350.00,1361.00,-0.30,300.00,413330.00,-1
2021-11-25,1336.00,1380.00,1336.00,1365.00,0.29,260.00,356030.00,1
2021-11-26,1336.00,1380.00,1336.00,1365.00,0.29,260.00,356030.00,1
2021-11-29,1285.80,1336.00,1285.00,1315.00,0.23,470.00,608737.00,1
2021-11-30,1295.00,1300.00,1290.20,1290.20,-1.89,165.00,213390.00,-1
2021-12-01,1290.00,1326.00,1290.00,1299.50,0.72,308.00,405177.10,1
2021-12-02,1280.00,1280.00,1254.40,1254.40,-3.47,1090.00,1370163.00,-1
2021-12-03,1280.00,1280.00,1254.40,1254.40,-3.47,1090.00,1370163.00,-1
2021-12-06,1182.00,1250.00,1161.00,1230.00,1.99,503.00,611255.00,1
2021-12-07,1244.00,1245.00,1233.00,1233.00,0.24,200.00,248270.00,1
2021-12-08,1212.60,1212.60,1155.00,1155.00,-6.33,150.00,178156.00,-1
2021-12-09,1150.00,1173.00,1141.00,1173.00,1.56,125.00,144140.00,1
2021-12-10,1150.00,1173.00,1141.00,1173.00,1.56,125.00,144140.00,1
2021-12-13,1109.00,1109.00,1017.00,1040.00,-7.96,615.00,641232.00,-1
2021-12-14,1060.00,1081.00,1039.00,1070.00,2.88,106.00,112100.00,1
2021-12-15,1091.40,1154.00,1074.00,1098.00,2.62,871.00,963095.00,1
2021-12-16,1100.00,1100.00,1077.00,1077.00,-1.91,487.00,533929.00,-1
2021-12-17,1100.00,1100.00,1077.00,1077.00,-1.91,487.00,533929.00,-1
2021-12-20,1055.50,1098.00,1054.60,1098.00,1.95,140.00,150582.00,1
2021-12-21,1076.20,1119.00,1076.10,1117.00,1.73,746.00,819923.00,1
2021-12-22,1096.00,1186.00,1096.00,1180.00,5.64,479.00,550467.00,1
2021-12-23,1180.00,1227.00,1180.00,1181.00,0.08,565.00,679760.00,1
2021-12-24,1180.00,1227.00,1180.00,1181.00,0.08,565.00,679760.00,1
2021-12-27,1216.00,1244.40,1181.00,1181.00,-4.76,685.00,830578.00,-1
2021-12-28,1158.00,1168.90,1141.10,1168.90,-1.02,210.00,243650.00,-1
2021-12-29,1172.00,1200.00,1172.00,1200.00,2.66,140.00,167070.00,1
2021-12-30,1172.00,1200.00,1172.00,1200.00,2.66,140.00,167070.00,1
2021-12-31,1172.00,1200.00,1172.00,1200.00,2.66,140.00,167070.00,1
2022-01-03,1222.00,1336.70,1222.00,1330.00,9.45,2152.00,2814935.90,1
2022-01-04,1305.00,1400.00,1305.00,1362.20,2.42,621.00,841698.00,1
2022-01-05,1362.00,1362.00,1320.00,1325.00,-2.73,1090.00,1468848.50,-1
2022-01-06,1299.00,1345.00,1299.00,1345.00,1.51,225.00,298195.00,1
2022-01-07,1299.00,1345.00,1299.00,1345.00,1.51,225.00,298195.00,1
2022-01-10,1395.00,1400.00,1370.10,1400.00,-1.06,800.00,1117366.00,-1
2022-01-11,1409.00,1470.00,1409.00,1421.00,1.50,746.00,1067773.50,1
2022-01-12,1435.00,1460.00,1380.00,1401.30,-1.39,680.00,973214.00,-1
2022-01-13,1410.00,1450.00,1375.00,1418.00,1.19,690.00,990446.00,1
2022-01-14,1410.00,1450.00,1375.00,1418.00,1.19,690.00,990446.00,1
2022-01-17,1480.00,1499.00,1456.00,1470.00,0.00,698.00,1024357.40,0
2022-01-18,1441.00,1499.00,1412.20,1498.00,1.90,1281.00,1895349.80,1
2022-01-19,1469.00,1469.00,1401.40,1464.00,-2.27,2819.00,3994651.20,-1
2022-01-20,1435.00,1491.00,1435.00,1491.00,1.84,130.00,187897.00,1
2022-01-21,1435.00,1491.00,1435.00,1491.00,1.84,130.00,187897.00,1
2022-01-24,1426.10,1430.00,1375.00,1399.00,-3.85,1801.00,2515245.10,-1
2022-01-25,1400.00,1415.00,1373.00,1380.00,-1.36,697.00,963710.00,-1
2022-01-26,1357.10,1385.00,1357.10,1381.00,0.07,866.00,1193516.10,1
2022-01-27,1395.00,1395.00,1372.00,1374.00,-0.51,200.00,275133.50,-1
2022-01-28,1395.00,1395.00,1372.00,1374.00,-0.51,200.00,275133.50,-1
2022-01-31,1400.00,1400.00,1370.00,1370.00,-2.70,833.00,1148214.30,-1
2022-02-01,1371.00,1410.00,1370.00,1400.00,2.19,679.00,942079.80,1
2022-02-02,1371.00,1410.00,1370.00,1400.00,2.19,679.00,942079.80,1
2022-02-03,1400.00,1400.00,1374.00,1375.00,-1.79,1215.00,1678999.30,-1
2022-02-04,1400.00,1400.00,1374.00,1375.00,-1.79,1215.00,1678999.30,-1
2022-02-07,1305.00,1356.60,1305.00,1320.00,-0.38,786.00,1045409.00,-1
2022-02-08,1346.40,1346.40,1322.00,1324.00,0.30,298.00,394954.00,1
2022-02-09,1307.00,1350.00,1290.00,1290.00,-2.57,586.00,777938.00,-1
2022-02-10,1315.80,1315.80,1280.00,1300.10,0.78,959.00,1247406.40,1
2022-02-11,1315.80,1315.80,1280.00,1300.10,0.78,959.00,1247406.40,1
2022-02-14,1300.00,1300.00,1275.00,1279.00,-0.16,294.00,377789.00,-1
2022-02-15,1303.90,1315.00,1286.00,1310.00,2.42,484.00,628984.00,1
2022-02-16,1335.00,1375.00,1323.00,1355.00,3.44,1642.00,2207164.20,1
2022-02-17,1350.00,1350.00,1335.50,1345.00,-0.74,608.00,819813.70,-1
2022-02-18,1350.00,1350.00,1335.50,1345.00,-0.74,608.00,819813.70,-1
2022-02-21,1330.00,1430.00,1320.00,1430.00,9.65,3342.00,4652848.00,1
2022-02-22,1458.00,1488.00,1420.00,1420.00,-0.70,5142.00,7440226.90,-1
2022-02-23,1448.40,1448.40,1368.00,1373.00,-3.31,1214.00,1686336.50,-1
2022-02-24,1361.00,1361.00,1311.20,1311.20,-4.50,354.00,471059.20,-1
2022-02-25,1361.00,1361.00,1311.20,1311.20,-4.50,354.00,471059.20,-1
2022-02-28,1335.00,1350.00,1302.00,1320.00,-0.98,464.00,615909.20,-1
2022-03-01,1335.00,1350.00,1302.00,1320.00,-0.98,464.00,615909.20,-1
2022-03-02,1295.00,1343.00,1255.00,1280.00,-3.03,840.00,1082912.80,-1
2022-03-03,1295.00,1343.00,1255.00,1280.00,-3.03,840.00,1082912.80,-1
2022-03-04,1295.00,1343.00,1255.00,1280.00,-3.03,840.00,1082912.80,-1
2022-03-07,1280.00,1356.60,1265.00,1270.00,-0.78,512.00,677652.20,-1
2022-03-08,1280.00,1356.60,1265.00,1270.00,-0.78,512.00,677652.20,-1
2022-03-09,1267.10,1284.00,1245.20,1284.00,1.10,526.00,660273.60,1
2022-03-10,1284.00,1349.90,1284.00,1326.00,3.27,845.00,1112542.60,1
2022-03-11,1284.00,1349.90,1284.00,1326.00,3.27,845.00,1112542.60,1
2022-03-14,1379.00,1379.00,1299.00,1305.00,-3.48,102.00,135575.00,-1
2022-03-15,1330.00,1331.00,1283.00,1285.00,-1.53,1509.00,1972674.00,-1
2022-03-16,1274.10,1310.00,1274.10,1305.00,1.56,349.00,450491.20,1
2022-03-17,1274.10,1310.00,1274.10,1305.00,1.56,349.00,450491.20,1
2022-03-18,1274.10,1310.00,1274.10,1305.00,1.56,349.00,450491.20,1
2022-03-21,1330.00,1340.00,1303.00,1340.00,0.75,323.00,425751.00,1
2022-03-22,1341.00,1359.00,1315.00,1359.00,1.42,502.00,675115.40,1
2022-03-23,1360.00,1360.00,1320.00,1320.00,-2.87,248.00,331810.00,-1
2022-03-24,1301.00,1302.00,1272.30,1300.00,-1.52,1366.00,1764405.90,-1
2022-03-25,1301.00,1302.00,1272.30,1300.00,-1.52,1366.00,1764405.90,-1
2022-03-28,1267.00,1268.00,1266.20,1267.10,-1.33,270.00,342180.00,-1
2022-03-30,1292.40,1292.40,1266.60,1291.70,1.94,30.00,38507.00,1
2022-03-31,1275.00,1278.00,1274.00,1278.00,-1.06,253.00,322827.00,-1
2022-04-01,1275.00,1278.00,1274.00,1278.00,-1.06,253.00,322827.00,-1
2022-04-04,1250.10,1300.00,1246.00,1270.90,0.55,305.00,387374.00,1
2022-04-05,1250.00,1255.00,1220.00,1254.00,-1.33,660.00,817755.00,-1
2022-04-06,1254.00,1254.00,1235.00,1254.00,0.00,589.00,731962.00,0
2022-04-07,1250.00,1260.00,1250.00,1254.00,0.00,147.00,184126.00,0
2022-04-08,1250.00,1260.00,1250.00,1254.00,0.00,147.00,184126.00,0
2022-04-11,1229.10,1229.10,1229.00,1229.00,-1.99,70.00,86035.00,-1
2022-04-12,1205.00,1205.00,1200.00,1200.00,-2.36,74.00,89095.00,-1
2022-04-13,1199.00,1209.00,1183.00,1198.40,-0.13,594.00,711824.00,-1
2022-04-14,1199.00,1209.00,1183.00,1198.40,-0.13,594.00,711824.00,-1
2022-04-15,1199.00,1209.00,1183.00,1198.40,-0.13,594.00,711824.00,-1
2022-04-18,1160.00,1175.00,1160.00,1160.10,-1.60,266.00,309769.70,-1
2022-04-19,1138.10,1170.00,1138.10,1165.00,0.42,180.00,208977.20,1
2022-04-20,1150.00,1150.00,1120.00,1130.50,-2.96,236.00,268433.00,-1
2022-04-21,1112.00,1130.00,1066.30,1109.00,-1.90,162.00,178494.80,-1
2022-04-22,1112.00,1130.00,1066.30,1109.00,-1.90,162.00,178494.80,-1
2022-04-25,1218.00,1242.30,1145.10,1213.60,-0.36,396.00,474116.00,-1
2022-04-26,1190.00,1223.00,1190.00,1214.00,0.03,97.00,116939.40,1
2022-04-27,1214.00,1260.00,1209.90,1210.00,-0.33,344.00,418494.80,-1
2022-04-28,1190.10,1190.10,1163.00,1175.00,-2.89,106.00,125238.00,-1
2022-04-29,1190.10,1190.10,1163.00,1175.00,-2.89,106.00,125238.00,-1
2022-05-02,1151.60,1178.10,1151.60,1155.00,-1.70,241.00,280603.90,-1
2022-05-03,1151.60,1178.10,1151.60,1155.00,-1.70,241.00,280603.90,-1
2022-05-04,1136.00,1179.90,1131.00,1131.90,-2.00,495.00,572743.50,-1
2022-05-05,1109.30,1111.80,1066.10,1090.20,-3.68,152.00,167149.80,-1
2022-05-06,1109.30,1111.80,1066.10,1090.20,-3.68,152.00,167149.80,-1
2022-05-09,1149.90,1224.00,1118.00,1118.10,-1.99,652.00,770111.00,-1
2022-05-10,1095.80,1162.30,1074.00,1100.10,-1.61,92.00,102742.20,-1
2022-05-11,1122.10,1190.60,1100.00,1190.50,8.22,172.00,198658.80,1
2022-05-12,1190.00,1190.00,1156.00,1179.10,-0.96,638.00,742537.00,-1
2022-05-13,1190.00,1190.00,1156.00,1179.10,-0.96,638.00,742537.00,-1
2022-05-16,1190.00,1190.00,1156.00,1179.10,-0.96,638.00,742537.00,-1
2022-05-17,1155.60,1155.60,1110.00,1117.20,-5.25,160.00,181406.00,-1
2022-05-18,1117.00,1144.40,1100.00,1124.00,0.61,680.00,763286.10,1
2022-05-19,1140.00,1140.00,1102.20,1102.20,-1.94,72.00,80297.40,-1
2022-05-20,1124.20,1146.60,1041.00,1071.10,-2.82,464.00,502528.00,-1
2022-05-23,1071.00,1137.50,1051.00,1137.50,6.20,992.00,1055767.80,1
2022-05-24,1114.80,1180.00,1095.00,1111.00,-2.33,270.00,308950.00,-1
2022-05-25,1133.20,1200.50,1133.20,1169.00,5.22,510.00,589849.00,1
2022-05-26,1175.00,1175.00,1100.80,1105.00,-5.47,507.00,580485.80,-1
2022-05-27,1092.10,1092.10,1092.10,1092.10,-1.17,10.00,10921.00,-1
2022-05-30,1071.00,1080.00,1071.00,1075.00,-1.57,80.00,86007.00,-1
2022-05-31,1096.40,1096.40,1075.00,1075.00,0.00,248.00,270269.00,0
2022-06-01,1095.00,1095.00,999.60,999.60,-7.01,696.00,740843.00,-1
2022-06-02,1019.50,1055.00,1019.50,1033.20,3.36,320.00,334016.00,1
2022-06-03,1035.00,1055.00,1033.90,1035.00,0.17,456.00,477908.00,1
2022-06-06,1020.00,1054.00,976.00,995.00,-3.86,435.00,441134.00,-1
2022-06-07,995.00,999.60,979.00,981.10,-1.40,397.00,389440.40,-1
2022-06-08,961.50,1060.00,961.50,1060.00,8.04,474.00,489802.60,1
2022-06-09,1080.00,1080.20,1041.00,1071.00,1.04,561.00,590263.60,1
2022-06-10,1049.60,1049.60,1028.70,1030.00,-3.83,202.00,208476.40,-1
2022-06-13,1010.30,1010.30,1010.30,1010.30,-1.91,10.00,10103.00,-1
2022-06-14,991.20,1000.00,983.00,983.00,-2.70,204.00,203203.00,-1
2022-06-15,964.00,1002.70,945.00,992.00,0.92,343.00,328829.00,1
2022-06-16,973.00,1049.00,935.00,1030.00,3.83,2800.00,2848123.80,1
2022-06-17,1012.00,1049.00,1012.00,1049.00,1.84,30.00,30730.00,1
2022-06-19,1028.10,1067.00,1008.00,1067.00,1.72,165.00,170121.20,1
2022-06-20,1045.70,1045.70,995.00,1005.00,-5.81,329.00,330153.00,-1
2022-06-21,1025.00,1044.00,1020.00,1039.00,3.38,90.00,92670.00,1
2022-06-22,1059.00,1059.00,961.00,1005.00,-3.27,471.00,468642.60,-1
2022-06-23,984.90,1017.90,966.00,1017.90,1.28,81.00,79768.60,1
2022-07-05,1035.00,1035.00,980.30,999.00,-1.67,480.00,478123.00,-1
2022-07-06,979.10,1015.00,979.10,1015.00,1.60,689.00,687611.90,1
2022-07-07,995.00,995.00,975.00,976.00,-3.84,230.00,227945.00,-1
2022-07-08,960.60,995.00,960.60,995.00,1.95,311.00,300688.60,1
