published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-04-25,379.0,379.0,364.0,372.0,-3.63,20901.0,7720371.0,-1
2021-04-26,365.0,365.0,345.0,356.0,-4.3,26868.0,9467544.0,-1
2021-04-27,350.0,369.0,349.0,368.0,3.37,13009.0,4680746.0,1
2021-04-28,386.0,386.0,353.0,360.0,-2.17,7244.0,2636917.0,-1
2021-04-29,350.0,374.0,350.0,367.0,1.94,13195.0,4827880.0,1
2021-05-02,365.0,378.0,365.0,375.0,2.18,13085.0,4879330.0,1
2021-05-03,368.0,382.0,368.0,371.0,-1.07,19169.0,7139555.0,-1
2021-05-04,373.0,383.0,364.0,383.0,3.23,21924.0,8164538.0,1
2021-05-05,383.0,405.0,369.0,400.0,4.44,56811.0,22328554.0,1
2021-05-06,405.0,405.0,382.0,388.0,-3.0,19453.0,7536912.0,-1
2021-05-09,407.0,407.0,375.0,384.0,-1.03,32899.0,12587489.0,-1
2021-05-10,403.0,422.0,369.0,386.0,0.52,16664.0,6302749.0,1
2021-05-11,379.0,394.0,372.0,393.0,1.81,22186.0,8618911.0,1
2021-05-12,400.0,400.0,385.0,393.0,0.0,47981.0,18806097.0,0
2021-05-13,395.0,400.0,390.0,399.0,1.53,39488.0,15664321.0,1
2021-05-16,399.0,399.0,383.0,388.0,-2.76,46265.0,17924917.0,-1
2021-05-17,369.0,390.0,369.0,389.0,0.26,36107.0,13935580.0,1
2021-05-18,383.0,417.0,383.0,406.0,4.37,87505.0,35638950.0,1
2021-05-19,410.0,410.0,392.0,393.0,-3.2,18488.0,7340143.0,-1
2021-05-20,395.0,402.0,386.0,388.0,-1.27,17114.0,6670731.0,-1
2021-05-23,380.0,395.0,380.0,391.0,0.77,20910.0,8136005.0,1
2021-05-24,398.0,398.0,386.0,387.0,-1.02,31570.0,12292787.0,-1
2021-05-25,382.0,408.0,382.0,401.0,3.62,52861.0,21137832.0,1
2021-05-27,401.0,434.0,400.0,420.0,4.74,116366.0,48827506.0,1
2021-05-30,425.0,443.0,399.0,402.0,-4.29,72953.0,30097825.0,-1
2021-05-31,382.0,407.0,382.0,388.0,-3.48,33760.0,13291032.0,-1
2021-06-01,385.0,390.0,378.0,381.0,-1.8,20792.0,7957424.0,-1
2021-06-02,376.0,393.0,376.0,392.0,2.89,22681.0,8769623.0,1
2021-06-03,392.0,394.0,381.0,383.0,-2.3,29683.0,11407086.0,-1
2021-06-06,383.0,385.0,370.0,374.0,-2.35,35202.0,13239931.0,-1
2021-06-07,380.0,386.0,373.0,383.0,2.41,31129.0,11892925.0,1
2021-06-08,378.0,393.0,378.0,382.0,-0.26,37584.0,14505409.0,-1
2021-06-09,382.0,388.0,378.0,378.0,-1.05,22164.0,8471591.0,-1
2021-06-10,361.0,415.0,361.0,415.0,9.79,89320.0,36091807.0,1
2021-06-13,435.0,444.0,403.0,441.0,6.27,159930.0,69660187.0,1
2021-06-14,463.0,463.0,423.0,424.0,-3.85,68732.0,29698389.0,-1
2021-06-15,415.0,428.0,406.0,410.0,-3.3,55734.0,23103988.0,-1
2021-06-16,402.0,415.0,383.0,392.0,-4.39,39748.0,15768325.0,-1
2021-06-17,393.0,409.0,384.0,397.0,1.28,21852.0,8546222.0,1
2021-06-20,390.0,392.0,380.0,382.0,-3.78,29029.0,11154248.0,-1
2021-06-21,376.0,389.0,373.0,379.0,-0.79,15216.0,5739918.0,-1
2021-06-22,390.0,395.0,370.0,395.0,4.22,16943.0,6472941.0,1
2021-06-23,414.0,414.0,378.0,378.0,-4.3,10287.0,3938060.0,-1
2021-06-24,380.0,385.0,375.0,378.0,0.0,13588.0,5146275.0,0
2021-06-27,378.0,390.0,375.0,378.0,0.0,14232.0,5384814.0,0
2021-06-28,396.0,396.0,371.0,373.0,-1.32,20718.0,7769171.0,-1
2021-06-29,371.0,375.0,364.0,365.0,-2.14,13517.0,4981029.0,-1
2021-06-30,365.0,366.0,355.0,360.0,-1.37,8884.0,3181493.0,-1
2021-07-01,356.0,377.0,356.0,367.0,1.94,11414.0,4171405.0,1
2021-07-04,360.0,370.0,359.0,359.0,-2.18,10541.0,3828549.0,-1
2021-07-05,355.0,364.0,352.0,353.0,-1.67,9856.0,3507490.0,-1
2021-07-06,345.0,365.0,345.0,351.0,-0.57,6545.0,2308450.0,-1
2021-07-07,355.0,355.0,342.0,342.0,-2.56,8155.0,2825115.0,-1
2021-07-08,339.0,355.0,339.0,349.0,2.05,10036.0,3447740.0,1
2021-07-11,350.0,372.0,349.0,370.0,6.02,9414.0,3394381.0,1
2021-07-12,365.0,373.0,353.0,358.0,-3.24,17708.0,6388428.0,-1
2021-07-13,356.0,362.0,351.0,358.0,0.0,9544.0,3423157.0,0
2021-07-14,353.0,369.0,353.0,368.0,2.79,6055.0,2200585.0,1
2021-07-15,368.0,380.0,361.0,373.0,1.36,12493.0,4680991.0,1
2021-07-18,373.0,384.0,373.0,380.0,1.88,15598.0,5905388.0,1
2021-07-19,385.0,387.6,373.0,380.0,0.0,17563.0,6683892.0,0
2021-07-20,373.0,386.0,373.0,382.0,0.53,22393.0,8556624.2,1
2021-07-22,385.0,415.0,380.0,407.0,6.54,121804.0,49445018.5,1
2021-07-25,415.0,431.0,408.0,421.0,3.44,111176.0,46653941.6,1
2021-07-26,415.1,463.1,415.1,463.1,10.0,227054.0,102196724.9,1
2021-07-27,472.0,509.4,463.0,502.0,8.4,206927.0,103367047.7,1
2021-07-28,512.0,540.0,478.0,481.0,-4.18,76583.0,37291022.9,-1
2021-07-29,472.0,494.0,465.5,490.0,1.87,90922.0,43782048.3,1
2021-08-01,490.0,539.0,481.5,539.0,10.0,188288.0,99419488.5,1
2021-08-02,549.0,555.9,520.0,531.0,-1.48,109108.0,58638238.1,-1
2021-08-03,525.0,582.9,520.0,577.2,8.7,120819.0,67822633.6,1
2021-08-04,575.0,605.0,561.0,576.0,-0.21,162806.0,95515416.2,-1
2021-08-05,565.0,580.0,545.9,548.0,-4.86,86828.0,48848784.8,-1
2021-08-08,548.0,602.8,538.5,590.0,7.66,110745.0,64234918.6,1
2021-08-09,590.0,622.0,580.0,583.0,-1.19,91197.0,54295570.8,-1
2021-08-10,594.0,605.8,560.0,567.0,-2.74,94612.0,53803588.0,-1
2021-08-11,570.0,622.0,561.0,584.0,3.0,72970.0,42109702.2,1
2021-08-12,595.6,637.0,574.0,620.0,6.16,234936.0,139903859.5,1
2021-08-15,607.6,610.1,570.0,585.0,-5.65,85119.0,50143280.4,-1
2021-08-16,575.0,605.0,570.0,591.0,1.03,36809.0,21845590.5,1
2021-08-17,591.0,650.1,591.0,633.0,7.11,192480.0,122261693.7,1
2021-08-18,633.0,657.0,618.0,629.0,-0.63,233257.0,146651355.9,-1
2021-08-19,620.0,641.5,588.0,598.1,-4.91,46881.0,28533415.9,-1
2021-08-24,586.2,586.2,543.0,556.0,-7.04,64416.0,36143764.5,-1
2021-08-25,544.9,568.1,524.3,535.0,-3.78,24046.0,13111474.5,-1
2021-08-26,525.0,587.0,525.0,569.0,6.36,32350.0,18198640.8,1
2021-08-29,558.0,568.0,537.0,550.0,-3.34,36403.0,19932399.9,-1
2021-08-31,539.0,561.0,514.0,519.0,-5.64,30438.0,15891530.5,-1
2021-09-01,513.0,555.0,512.0,525.0,1.16,19194.0,10132605.5,1
2021-09-02,535.0,535.0,495.0,511.9,-2.5,31835.0,16159083.5,-1
2021-09-05,501.7,501.7,460.8,460.8,-9.98,23416.0,10970492.1,-1
2021-09-06,460.0,506.8,430.0,506.8,9.98,33898.0,16304144.5,1
2021-09-07,516.9,536.0,478.1,490.0,-3.31,33467.0,16854690.8,-1
2021-09-08,499.8,509.0,475.0,500.0,2.04,11025.0,5366032.3,1
2021-09-09,500.0,550.0,490.2,540.0,8.0,40506.0,21317071.3,1
2021-09-12,540.0,591.6,540.0,580.1,7.43,53759.0,30454474.1,1
2021-09-13,590.0,591.0,530.0,549.0,-5.36,43457.0,24067948.5,-1
2021-09-14,549.0,559.0,529.0,540.0,-1.64,17375.0,9315343.4,-1
2021-09-15,530.0,550.8,517.0,528.0,-2.22,15074.0,7885858.9,-1
2021-09-16,525.0,538.5,490.0,499.0,-5.49,21293.0,10613781.1,-1
2021-09-20,490.0,490.0,450.0,450.0,-9.82,18913.0,8794020.0,-1
2021-09-21,445.1,469.0,414.0,455.0,1.11,19151.0,8596215.5,1
2021-09-22,464.0,498.0,457.0,498.0,9.45,10880.0,5259144.0,1
2021-09-23,507.9,507.9,470.7,478.0,-4.02,18653.0,9069707.0,-1
2021-09-26,478.0,478.0,433.0,449.0,-6.07,16566.0,7497891.0,-1
2021-09-27,441.0,458.7,423.0,438.0,-2.45,18875.0,8196394.0,-1
2021-09-28,429.3,443.0,396.0,422.0,-3.65,17691.0,7265513.8,-1
2021-09-29,414.0,451.9,398.2,435.0,3.08,22389.0,9303704.4,1
2021-09-30,443.7,465.0,417.0,432.9,-0.48,17467.0,7708821.1,-1
2021-10-03,425.1,442.2,402.9,402.9,-6.93,6915.0,2854310.0,-1
2021-10-04,401.0,430.0,380.0,399.0,-0.97,17454.0,6905319.5,-1
2021-10-05,391.1,410.0,391.1,408.0,2.26,5575.0,2255296.0,1
2021-10-06,415.0,431.7,399.9,418.0,2.45,9148.0,3721456.0,1
2021-10-10,418.0,418.0,392.0,400.0,-4.31,7184.0,2890197.5,-1
2021-10-11,392.1,402.0,374.0,400.0,0.0,8761.0,3397168.2,0
2021-10-17,395.5,427.9,392.0,414.0,3.5,990.0,405459.0,1
2021-10-18,405.8,422.0,388.0,391.0,-5.56,16402.0,6589389.4,-1
2021-10-19,383.3,414.1,370.6,379.0,-3.07,6878.0,2607264.8,-1
2021-10-20,386.5,399.9,386.4,397.5,4.88,4090.0,1608599.0,1
2021-10-21,405.4,405.4,376.0,385.0,-3.14,3837.0,1499523.2,-1
2021-10-24,385.0,407.9,383.0,399.0,3.64,8461.0,3307759.6,1
2021-10-25,406.9,438.9,401.8,438.9,10.0,40883.0,17367356.3,1
2021-10-26,447.6,482.0,445.0,482.0,9.82,59683.0,27551264.0,1
2021-10-27,491.6,511.4,456.2,495.1,2.72,30510.0,14574576.3,1
2021-10-28,485.2,505.0,456.7,505.0,2.0,31290.0,15253072.5,1
2021-10-31,500.0,552.4,495.0,549.0,8.71,40952.0,21970928.3,1
2021-11-01,549.0,582.0,518.0,519.0,-5.46,27022.0,14503080.1,-1
2021-11-02,515.0,548.7,505.0,540.0,4.05,21151.0,11187092.2,1
2021-11-03,540.00,550.00,518.70,520.00,-3.70,6672.00,3522501.50,-1
2021-11-05,540.00,550.00,518.70,520.00,-3.70,6672.00,3522501.50,-1
2021-11-08,530.40,540.00,506.00,506.00,-2.69,17352.00,8978169.00,-1
2021-11-09,506.00,508.00,470.50,481.00,-4.94,14060.00,6818645.10,-1
2021-11-10,506.00,508.00,470.50,481.00,-4.94,14060.00,6818645.10,-1
2021-11-11,471.40,475.40,454.00,460.00,-4.37,8230.00,3798628.50,-1
2021-11-12,471.40,475.40,454.00,460.00,-4.37,8230.00,3798628.50,-1
2021-11-15,458.70,496.50,451.00,480.00,2.56,7296.00,3497920.10,1
2021-11-16,484.00,513.00,479.30,495.00,3.13,7163.00,3503745.00,1
2021-11-17,485.20,524.00,485.20,495.00,0.00,8704.00,4370714.00,0
2021-11-18,485.10,494.00,476.00,481.00,-2.83,5480.00,2644706.00,-1
2021-11-19,485.10,494.00,476.00,481.00,-2.83,5480.00,2644706.00,-1
2021-11-22,470.00,491.00,470.00,470.20,-0.80,6065.00,2873714.00,-1
