published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-01-06,177.00,177.00,177.00,177.00,0.00,7500.00,1327500.00,0
2022-01-07,177.00,177.00,177.00,177.00,0.00,7500.00,1327500.00,0
2022-06-08,135.00,135.00,135.00,135.00,0.00,5000.00,675000.00,0
2022-07-22,135.00,135.00,135.00,135.00,0.00,1000.00,135000.00,0
2022-09-02,135.00,135.00,135.00,135.00,0.00,1000.00,135000.00,0
2023-01-12,153.00,153.00,153.00,153.00,0.00,5000.00,765000.00,0
2023-01-15,153.00,153.00,153.00,153.00,0.00,5000.00,765000.00,0
2023-01-16,153.00,153.00,153.00,153.00,0.00,5000.00,765000.00,0
2024-01-08,178.00,178.00,178.00,178.00,0.00,5190.00,923820.00,0
2024-07-08,277.00,277.00,277.00,277.00,0.00,10340.00,2864180.00,0
