published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2017-04-19,282.0,290.0,280.0,287.0,nan,22541.0,6400585.0,0
2017-04-20,287.0,295.0,270.0,285.0,-0.70,21632.0,6071720.0,0
2017-04-23,285.0,295.0,285.0,287.0,0.70,14500.0,4200053.0,0
2017-04-24,287.0,306.0,290.0,297.0,3.48,26021.0,7708373.0,0
2017-04-25,297.0,305.0,294.0,299.0,0.67,34867.0,10421372.0,0
2017-04-26,299.0,305.0,292.0,292.0,-2.34,5229.0,1565953.0,0
2017-04-27,292.0,292.0,280.0,289.0,-1.03,48910.0,13879915.0,0
2017-04-30,289.0,288.0,275.0,288.0,-0.35,40381.0,11409889.0,0
2017-05-02,288.0,290.0,270.0,290.0,0.69,75539.0,21365136.0,0
2017-05-03,227.0,245.0,223.0,227.0,-21.72,13244.0,3042924.0,0
2017-05-04,227.0,235.0,225.0,225.0,-0.88,7375.0,1677710.0,0
2017-05-07,225.0,221.0,216.0,220.0,-2.22,9907.0,2167182.0,0
2017-05-08,220.0,221.0,215.0,217.0,-1.36,5013.0,1086636.0,0
2017-05-09,217.0,221.0,215.0,218.0,0.46,14052.0,3046525.0,0
2017-05-11,218.0,236.0,220.0,220.0,0.92,39200.0,9236640.0,0
2017-05-15,220.0,224.0,218.0,218.0,-0.91,7076.0,1555674.0,0
2017-05-16,218.0,216.0,215.0,215.0,-1.38,1840.0,396840.0,0
2017-05-17,215.0,215.0,208.0,213.0,-0.93,2804.0,595756.0,0
2017-05-18,213.0,215.0,210.0,212.0,-0.47,6660.0,1410860.0,0
2017-05-21,212.0,214.0,204.0,214.0,0.94,3320.0,694181.0,0
2017-05-22,214.0,210.0,210.0,210.0,-1.87,300.0,63000.0,0
2017-05-23,210.0,211.0,208.0,208.0,-0.95,690.0,144420.0,0
2017-05-24,208.0,210.0,210.0,210.0,0.96,100.0,21000.0,0
2017-05-28,210.0,210.0,204.0,205.0,-2.38,1200.0,246700.0,0
2017-05-30,205.0,202.0,200.0,200.0,-2.44,865.0,173249.0,0
2017-05-31,200.0,205.0,195.0,205.0,2.50,3711.0,737133.0,0
2017-06-01,205.0,205.0,200.0,200.0,-2.44,2166.0,435338.0,0
2017-06-04,200.0,198.0,198.0,198.0,-1.00,24.0,4752.0,0
2017-06-05,198.0,201.0,199.0,199.0,0.51,2901.0,579551.0,0
2017-06-06,199.0,206.0,201.0,202.0,1.51,3214.0,648908.0,0
2017-06-07,202.0,206.0,200.0,200.0,-0.99,3365.0,676035.0,0
2017-06-08,200.0,200.0,197.0,200.0,0.0,2369.0,467200.0,0
2017-06-11,200.0,198.0,193.0,193.0,-3.50,1700.0,331600.0,0
2017-06-12,193.0,196.0,195.0,195.0,1.04,970.0,190000.0,0
2017-06-13,195.0,194.0,190.0,190.0,-2.56,1228.0,235276.0,0
2017-06-14,190.0,193.0,188.0,190.0,0.0,2685.0,511480.0,0
2017-06-15,190.0,195.0,190.0,195.0,2.63,622.0,118854.0,0
2017-06-18,195.0,195.0,195.0,195.0,0.0,13.0,2535.0,0
2017-06-19,195.0,195.0,193.0,195.0,0.0,896.0,173576.0,0
2017-06-20,195.0,194.0,187.0,190.0,-2.56,1238.0,238082.0,0
2017-06-21,190.0,192.0,190.0,190.0,0.0,133.0,25458.0,0
2017-06-22,190.0,192.0,187.0,192.0,1.05,4160.0,786372.0,0
