published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-04-25,258.00,258.00,258.00,258.00,0.00,39668.00,10234344.00,0
2022-05-31,255.00,255.00,255.00,255.00,-1.16,3094.00,788970.00,-1
2022-07-14,255.00,255.00,255.00,255.00,0.00,77931.00,19872405.00,0
2022-08-10,255.00,255.00,255.00,255.00,0.00,7000.00,1785000.00,0
2022-12-15,284.00,284.00,284.00,284.00,0.00,42632.00,12107488.00,0
2023-05-07,289.00,289.00,289.00,289.00,1.76,12563.00,3630707.00,1
2024-03-27,432.00,432.00,432.00,432.00,0.00,1587.00,685584.00,0
2024-06-19,355.00,355.00,355.00,355.00,0.00,55000.00,19525000.00,0
2024-09-09,474.00,474.00,474.00,474.00,0.00,5938.00,2814612.00,0
2024-09-16,474.00,474.00,474.00,474.00,0.00,30.00,14220.00,0
2024-09-17,474.00,474.00,474.00,474.00,0.00,30.00,14220.00,0
2024-12-19,385.00,385.00,385.00,385.00,0.00,5000.00,1925000.00,0
2025-04-21,331.00,331.00,331.00,331.00,0.00,5820.00,1926420.00,0
