published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-09,1127.00,1127.00,1127.00,1127.00,-2.00,25.00,28175.00,-1
2021-11-10,1127.00,1127.00,1127.00,1127.00,-2.00,25.00,28175.00,-1
2021-11-11,1125.00,1150.00,1125.00,1150.00,2.04,375.00,430575.00,1
2021-11-12,1125.00,1150.00,1125.00,1150.00,2.04,375.00,430575.00,1
2021-11-15,1150.00,1155.00,1150.00,1155.00,0.48,225.00,259250.00,1
2021-11-16,1155.00,1155.00,1155.00,1155.00,0.00,95.00,109725.00,0
2021-11-17,1140.00,1140.00,1140.00,1140.00,-1.30,50.00,57000.00,-1
2021-11-22,1140.00,1140.00,1140.00,1140.00,0.00,25.00,28500.00,0
2021-11-24,1159.90,1161.00,1159.90,1161.00,1.84,75.00,87020.00,1
2021-12-06,1127.00,1127.00,1127.00,1127.00,0.00,50.00,56350.00,0
2021-12-08,1127.00,1127.00,1127.00,1127.00,0.00,50.00,56350.00,0
2021-12-09,1112.00,1115.00,1111.00,1115.00,-1.06,550.00,612350.00,-1
2021-12-10,1112.00,1115.00,1111.00,1115.00,-1.06,550.00,612350.00,-1
2021-12-13,1130.00,1140.00,1130.00,1140.00,0.88,255.00,288875.00,1
2021-12-16,1120.00,1120.00,1120.00,1120.00,-1.75,200.00,224000.00,-1
2021-12-17,1120.00,1120.00,1120.00,1120.00,-1.75,200.00,224000.00,-1
2021-12-20,1130.00,1130.00,1130.00,1130.00,0.89,100.00,113000.00,1
2021-12-21,1152.60,1152.60,1129.60,1129.60,-0.04,65.00,74689.00,-1
2021-12-22,1152.10,1152.10,1152.10,1152.10,1.99,50.00,57605.00,1
2021-12-27,1159.90,1159.90,1159.90,1159.90,0.68,100.00,115990.00,1
2022-01-03,1160.00,1160.00,1160.00,1160.00,0.01,90.00,104400.00,1
2022-01-04,1160.00,1160.00,1160.00,1160.00,0.00,200.00,232000.00,0
2022-01-05,1155.00,1155.00,1150.00,1150.00,-0.86,50.00,57625.00,-1
2022-01-10,1172.00,1173.00,1172.00,1173.00,2.00,35.00,41030.00,1
2022-01-18,1149.60,1149.60,1120.00,1120.00,-4.52,250.00,280431.50,-1
2022-01-19,1120.00,1120.00,1097.60,1097.60,-2.00,95.00,104840.00,-1
2022-01-20,1082.10,1090.00,1080.20,1090.00,-0.69,495.00,537020.00,-1
2022-01-21,1082.10,1090.00,1080.20,1090.00,-0.69,495.00,537020.00,-1
2022-01-25,1091.00,1091.00,1091.00,1091.00,-0.82,496.00,541136.00,-1
2022-01-26,1100.00,1100.00,1091.00,1091.00,0.00,150.00,164565.00,0
2022-01-27,1100.00,1100.00,1100.00,1100.00,0.82,50.00,55000.00,1
2022-01-28,1100.00,1100.00,1100.00,1100.00,0.82,50.00,55000.00,1
2022-01-31,1101.00,1110.00,1101.00,1110.00,0.91,60.00,66150.00,1
2022-02-03,1110.00,1110.00,1105.00,1105.00,-0.45,165.00,183025.00,-1
2022-02-04,1110.00,1110.00,1105.00,1105.00,-0.45,165.00,183025.00,-1
2022-02-07,1100.00,1100.00,1100.00,1100.00,-0.09,100.00,110000.00,-1
2022-02-08,1100.00,1100.00,1091.00,1091.00,-0.82,515.00,565520.00,-1
2022-02-10,1100.00,1100.00,1100.00,1100.00,0.82,115.00,126500.00,1
2022-02-11,1100.00,1100.00,1100.00,1100.00,0.82,115.00,126500.00,1
2022-02-14,1100.00,1100.00,1095.00,1095.00,-0.45,600.00,658500.00,-1
2022-02-15,1095.00,1095.00,1090.00,1090.00,-0.46,625.00,682475.00,-1
2022-02-16,1091.00,1091.00,1091.00,1091.00,0.09,221.00,241111.00,1
2022-02-17,1095.00,1095.00,1095.00,1095.00,0.37,300.00,328500.00,1
2022-02-18,1095.00,1095.00,1095.00,1095.00,0.37,300.00,328500.00,1
2022-02-21,1091.00,1091.00,1091.00,1091.00,0.00,170.00,185470.00,0
2022-02-22,1100.00,1100.00,1100.00,1100.00,0.82,181.00,199100.00,1
2022-02-23,1100.00,1100.00,1100.00,1100.00,0.00,300.00,330000.00,0
2022-02-28,1105.00,1105.00,1100.00,1100.00,0.00,620.00,682690.00,0
2022-03-01,1105.00,1105.00,1100.00,1100.00,0.00,620.00,682690.00,0
2022-03-02,1100.00,1101.00,1100.00,1101.00,0.09,311.00,342300.00,1
2022-03-03,1100.00,1101.00,1100.00,1101.00,0.09,311.00,342300.00,1
2022-03-04,1100.00,1101.00,1100.00,1101.00,0.09,311.00,342300.00,1
2022-03-07,1100.00,1100.00,1100.00,1100.00,1.38,365.00,401500.00,1
2022-03-08,1100.00,1100.00,1100.00,1100.00,1.38,365.00,401500.00,1
2022-03-09,1100.00,1100.00,1100.00,1100.00,0.00,175.00,192500.00,0
2022-03-10,1085.00,1085.00,1085.00,1085.00,-1.36,100.00,108500.00,-1
2022-03-11,1085.00,1085.00,1085.00,1085.00,-1.36,100.00,108500.00,-1
2022-03-14,1090.00,1090.00,1090.00,1090.00,0.46,200.00,218000.00,1
2022-03-15,1085.00,1085.00,1085.00,1085.00,-0.46,150.00,162750.00,-1
2022-03-21,1080.00,1095.00,1075.00,1095.00,0.92,410.00,441950.00,1
2022-04-05,1070.00,1070.00,1070.00,1070.00,-0.93,100.00,107000.00,-1
2022-04-06,1070.00,1070.00,1070.00,1070.00,0.00,450.00,481500.00,0
2022-04-12,1070.00,1070.00,1070.00,1070.00,0.00,100.00,107000.00,0
2022-04-27,1070.00,1070.00,1070.00,1070.00,0.00,300.00,321000.00,0
2022-05-05,1070.00,1070.00,1070.00,1070.00,0.00,235.00,251450.00,0
2022-05-06,1070.00,1070.00,1070.00,1070.00,0.00,235.00,251450.00,0
2022-05-26,1072.00,1072.00,1071.10,1071.10,0.10,20.00,21431.00,1
2022-06-03,1070.00,1070.10,1070.00,1070.10,-0.09,35.00,37451.00,-1
2022-06-09,1060.00,1065.00,1060.00,1061.00,-0.85,65.00,68965.00,-1
2022-06-15,1053.00,1053.00,1050.00,1050.00,-1.04,200.00,210305.00,-1
2022-06-20,1050.00,1050.00,1050.00,1050.00,0.00,400.00,420000.00,0
2022-06-21,1070.00,1070.00,1070.00,1070.00,1.90,10.00,10700.00,1
2022-06-23,1051.00,1051.00,1050.00,1050.00,-1.87,100.00,105056.50,-1
2022-07-06,1105.00,1105.00,1105.00,1105.00,-1.78,20.00,22100.00,-1
2022-07-07,1102.50,1102.50,1102.50,1102.50,-0.23,20.00,22050.00,-1
2022-07-11,1124.00,1124.00,1124.00,1124.00,1.95,25.00,28100.00,1
2022-07-12,1140.00,1140.00,1140.00,1140.00,1.42,25.00,28500.00,1
2022-07-13,1159.00,1159.00,1140.00,1158.00,1.58,90.00,103168.00,1
2022-07-14,1171.00,1171.00,1171.00,1171.00,1.12,100.00,117100.00,1
2022-07-15,1165.00,1165.00,1164.00,1164.00,-0.60,200.00,232875.00,-1
2022-07-21,1140.80,1140.80,1140.80,1140.80,-1.99,10.00,11408.00,-1
2022-07-26,1118.00,1118.00,1118.00,1118.00,-2.00,10.00,11180.00,-1
2022-07-31,1095.68,1095.68,1074.00,1074.00,-3.94,20.00,21696.80,-1
2022-08-02,1052.60,1052.60,1031.60,1031.60,-3.95,20.00,20842.00,-1
2022-08-03,1015.00,1016.00,1011.00,1015.00,-1.61,800.00,810900.00,-1
2022-08-04,1015.00,1015.00,1015.00,1015.00,0.00,10.00,10150.00,0
2022-08-05,1015.00,1015.00,1015.00,1015.00,0.00,10.00,10150.00,0
2022-08-07,1015.00,1015.00,1015.00,1015.00,0.00,125.00,126875.00,0
2022-08-09,1016.00,1016.00,1016.00,1016.00,0.10,512.00,520192.00,1
2022-08-10,1015.00,1015.00,1015.00,1015.00,-0.10,100.00,101500.00,-1
2022-08-11,1010.00,1010.00,1010.00,1010.00,-0.49,200.00,202000.00,-1
2022-08-12,1010.00,1010.00,1010.00,1010.00,-0.49,200.00,202000.00,-1
2022-08-14,1015.00,1015.00,1015.00,1015.00,0.50,33.00,33495.00,1
2022-08-16,1025.00,1025.00,1025.00,1025.00,0.99,25.00,25625.00,1
2022-08-17,1025.00,1025.00,1025.00,1025.00,0.00,405.00,415125.00,0
2022-08-18,1015.20,1015.20,1015.00,1015.00,-0.98,200.00,203024.00,-1
2022-08-19,1015.20,1015.20,1015.00,1015.00,-0.98,200.00,203024.00,-1
2022-08-30,1027.00,1027.00,1027.00,1027.00,1.18,25.00,25675.00,1
2022-09-04,1027.00,1027.00,1026.00,1026.00,-0.10,300.00,308000.00,-1
2022-09-07,1025.00,1025.00,1025.00,1025.00,-0.10,400.00,410000.00,-1
2022-09-08,1020.00,1020.00,1020.00,1020.00,-0.49,200.00,204000.00,-1
2022-09-09,1020.00,1020.00,1020.00,1020.00,-0.49,200.00,204000.00,-1
2022-09-12,1015.00,1015.00,1015.00,1015.00,-0.49,400.00,406000.00,-1
2022-09-13,1015.00,1020.00,1015.00,1020.00,0.49,140.00,142200.00,1
2022-09-15,1015.00,1015.00,1015.00,1015.00,-0.49,400.00,406000.00,-1
2022-09-16,1015.00,1015.00,1015.00,1015.00,0.00,395.00,400925.00,0
2022-09-18,1010.00,1010.00,1010.00,1010.00,-0.49,266.00,268660.00,-1
2022-09-19,1010.00,1010.00,1010.00,1010.00,-0.49,266.00,268660.00,-1
2022-09-20,1010.00,1010.00,1010.00,1010.00,0.00,30.00,30300.00,0
2022-10-10,989.80,989.80,989.80,989.80,-2.00,50.00,49490.00,-1
2022-10-11,1005.00,1005.00,1005.00,1005.00,1.54,50.00,50250.00,1
2022-11-08,1020.00,1025.00,1020.00,1025.00,1.99,45.00,46025.00,1
2022-12-05,1025.00,1025.00,1015.00,1015.00,-0.98,400.00,406500.00,-1
2022-12-06,1005.00,1005.00,1005.00,1005.00,-0.99,25.00,25125.00,-1
2022-12-07,1006.00,1006.00,1006.00,1006.00,0.10,25.00,25150.00,1
2022-12-08,1006.00,1006.00,1006.00,1006.00,0.10,25.00,25150.00,1
2022-12-11,990.00,1009.80,990.00,1009.80,0.38,200.00,199980.00,1
2022-12-19,1000.10,1000.10,1000.00,1000.00,-0.97,60.00,60002.00,-1
2022-12-22,1020.00,1030.00,1020.00,1030.00,3.00,190.00,195250.00,1
2022-12-25,1020.00,1030.00,1020.00,1030.00,3.00,190.00,195250.00,1
2022-12-26,1050.00,1050.00,1050.00,1050.00,1.94,10.00,10500.00,1
2022-12-27,1071.00,1071.00,1071.00,1071.00,2.00,10.00,10710.00,1
