published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-01-14,10.00,10.00,9.00,10.00,0.00,11380.00,106564.20,0
2024-01-15,10.00,10.00,9.00,10.00,0.00,11380.00,106564.20,0
2024-01-16,9.90,10.10,9.00,9.03,-9.70,12850.00,119027.00,-1
2024-01-17,8.90,9.20,8.90,9.10,0.78,9250.00,82910.50,1
2024-01-18,9.00,9.10,8.60,8.90,-2.20,6460.00,56957.70,-1
2024-01-21,8.73,8.90,8.56,8.80,-1.12,11010.00,96540.50,-1
2024-01-22,8.97,8.97,8.63,8.71,-1.02,3500.00,30459.00,-1
2024-01-23,8.60,8.80,8.60,8.70,-0.11,8700.00,75527.80,-1
2024-01-24,8.60,9.04,8.60,8.90,2.30,6500.00,57495.00,1
2024-01-25,8.74,8.97,8.61,8.83,-0.79,4100.00,36160.00,-1
2024-01-28,8.66,9.00,8.60,8.76,-0.79,5600.00,49657.00,-1
2024-01-29,8.61,8.89,8.61,8.76,0.00,3900.00,34133.00,0
2024-01-30,8.76,8.82,8.63,8.70,-0.68,12830.00,111816.60,-1
2024-01-31,8.60,8.87,8.60,8.87,1.95,4050.00,35388.50,1
2024-02-01,8.71,8.80,8.71,8.80,-0.79,600.00,5249.00,-1
2024-02-04,8.65,8.97,8.65,8.80,0.00,3800.00,33414.00,0
2024-02-05,8.63,8.87,8.63,8.80,0.00,3200.00,27750.00,0
2024-02-06,8.66,8.88,8.66,8.71,-1.02,1400.00,12284.00,-1
2024-02-07,8.60,8.90,8.58,8.76,0.57,2750.00,24266.00,1
2024-02-08,8.76,8.93,8.66,8.70,-0.68,2500.00,21895.00,-1
2024-02-11,8.70,9.09,8.58,8.74,0.46,2550.00,22443.50,1
2024-02-12,8.74,8.74,8.62,8.70,-0.46,3500.00,30404.00,-1
2024-02-13,8.70,8.87,8.68,8.87,1.95,1400.00,12233.00,1
2024-02-14,8.80,9.00,8.80,9.00,1.47,6510.00,58304.00,1
2024-02-15,8.82,8.90,8.72,8.76,-2.67,207700.00,1813673.00,-1
2024-02-18,8.76,9.63,8.76,8.94,2.05,42720.00,390746.20,1
2024-02-19,8.76,9.63,8.76,8.94,2.05,42720.00,390746.20,1
2024-02-20,9.00,9.15,8.85,9.00,0.67,7750.00,69852.50,1
2024-02-21,8.82,8.82,8.63,8.63,-4.11,2300.00,20249.00,-1
2024-02-22,8.46,9.01,8.46,8.83,2.32,108900.00,979663.00,1
2024-02-25,8.67,8.83,8.67,8.71,-1.36,1000.00,8703.00,-1
2024-02-26,8.70,8.70,8.60,8.60,-1.26,1900.00,16361.00,-1
2024-02-27,8.60,9.45,8.43,9.02,4.88,4710.00,40672.40,1
2024-02-28,8.84,8.84,8.68,8.80,-2.44,10900.00,96229.00,-1
2024-02-29,8.63,8.63,8.46,8.54,-2.95,2200.00,18738.00,-1
2024-03-03,8.54,9.04,8.40,8.55,0.12,4500.00,38483.00,1
2024-03-05,8.38,8.94,8.30,8.94,4.56,53000.00,457120.00,1
2024-03-06,8.80,9.35,8.80,9.35,4.59,650.00,5867.00,1
2024-03-07,9.17,9.17,8.99,8.99,-3.85,300.00,2715.00,-1
2024-03-10,8.95,9.88,8.65,9.34,3.89,17300.00,168879.00,1
2024-03-11,8.95,9.88,8.65,9.34,3.89,17300.00,168879.00,1
2024-03-12,9.34,9.65,9.10,9.10,-2.57,1460.00,13597.80,-1
2024-03-13,8.92,9.83,8.86,8.86,-2.64,6060.00,56295.20,-1
2024-03-14,8.80,9.21,8.80,9.03,1.92,2000.00,17889.00,1
2024-03-17,9.21,9.48,8.50,8.77,-2.88,2200.00,19809.00,-1
2024-03-18,8.61,9.18,8.56,8.82,0.57,32200.00,277732.00,1
2024-03-19,8.70,8.93,8.55,8.93,1.25,2000.00,17472.00,1
2024-03-20,8.93,8.97,8.80,8.81,-1.34,1500.00,13276.00,-1
2024-03-21,8.70,8.87,8.64,8.75,-0.68,11800.00,102176.00,-1
2024-03-24,8.70,8.87,8.64,8.75,-0.68,11800.00,102176.00,-1
2024-03-25,8.92,9.09,8.74,8.74,-0.11,500.00,4440.00,-1
2024-03-26,8.70,8.96,8.60,8.96,2.52,2300.00,20083.00,1
2024-03-27,8.79,9.85,8.79,9.85,9.93,2000.00,18001.00,1
2024-03-28,9.66,9.66,8.87,9.18,-6.80,21600.00,201681.00,-1
2024-03-31,9.01,9.36,8.85,8.85,-3.59,9150.00,82799.00,-1
2024-04-01,8.68,9.00,8.52,9.00,1.69,2450.00,21386.50,1
2024-04-02,8.85,9.00,8.82,8.86,-1.56,650.00,5764.00,-1
2024-04-03,8.80,8.81,8.56,8.81,-0.56,3150.00,27350.00,-1
2024-04-04,8.80,8.84,8.66,8.69,-1.36,1800.00,15664.00,-1
2024-04-07,8.52,8.68,8.52,8.68,-0.12,2100.00,18163.00,-1
2024-04-08,8.52,8.68,8.52,8.68,-0.12,2100.00,18163.00,-1
2024-04-09,8.54,9.09,8.54,9.09,4.72,1800.00,15634.00,1
2024-04-10,8.92,9.08,8.67,9.08,-0.11,18500.00,166017.00,-1
2024-04-11,8.92,9.08,8.67,9.08,-0.11,18500.00,166017.00,-1
2024-04-14,9.07,9.07,8.51,8.68,-4.41,3720.00,32683.60,-1
