published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-12-18,1000.00,1000.00,1000.00,1000.00,0.00,10.00,10000.00,0
2023-12-20,983.00,983.00,977.00,977.00,-2.30,50.00,49000.00,-1
2023-12-21,972.00,975.50,972.00,975.50,-0.15,81.00,78896.80,-1
2023-12-24,995.00,995.00,981.20,981.20,0.58,100.00,98810.00,1
2023-12-25,995.00,995.00,981.20,981.20,0.58,100.00,98810.00,1
2023-12-26,995.00,995.00,981.20,981.20,0.58,100.00,98810.00,1
2023-12-27,981.00,981.00,972.50,980.10,-0.11,55.00,53733.50,-1
2023-12-28,980.10,980.10,980.00,980.00,-0.01,50.00,49002.50,-1
2023-12-31,980.10,980.10,980.00,980.00,-0.01,50.00,49002.50,-1
2024-01-02,971.30,971.30,971.30,971.30,-0.89,25.00,24282.50,-1
2024-01-03,964.00,964.00,964.00,964.00,-0.75,25.00,24100.00,-1
2024-01-07,957.50,976.00,957.50,960.30,-0.38,50.00,48102.00,-1
2024-01-08,956.00,956.00,956.00,956.00,-0.45,25.00,23900.00,-1
2024-01-09,947.00,947.00,938.00,938.00,-1.88,100.00,94248.50,-1
2024-01-14,950.00,950.00,950.00,950.00,1.28,25.00,23750.00,1
2024-01-15,950.00,950.00,950.00,950.00,1.28,25.00,23750.00,1
2024-01-25,953.00,953.00,953.00,953.00,0.32,25.00,23820.50,1
2024-01-29,938.00,938.00,938.00,938.00,-1.57,25.00,23450.00,-1
2024-01-30,955.00,955.00,955.00,955.00,1.81,25.00,23875.00,1
2024-02-01,974.00,980.00,974.00,980.00,2.62,50.00,48850.00,1
2024-02-06,990.00,990.00,990.00,990.00,1.02,10.00,9900.00,1
2024-02-07,972.00,972.00,972.00,972.00,-1.82,25.00,24300.00,-1
2024-02-14,977.30,977.30,977.10,977.10,0.52,50.00,48860.20,1
2024-02-25,976.00,976.00,976.00,976.00,-0.11,10.00,9760.00,-1
2024-03-03,970.30,995.50,970.30,995.50,2.00,110.00,108804.50,1
2024-03-07,983.20,983.20,983.20,983.20,-1.24,25.00,24580.00,-1
2024-03-10,998.00,998.00,998.00,998.00,1.51,50.00,49900.00,1
2024-03-11,998.00,998.00,998.00,998.00,1.51,50.00,49900.00,1
2024-03-13,998.00,998.00,998.00,998.00,0.00,25.00,24950.00,0
2024-03-14,1017.90,1017.90,1017.90,1017.90,1.99,25.00,25447.50,1
2024-03-17,1010.00,1010.00,1010.00,1010.00,-0.78,25.00,25250.00,-1
2024-03-21,1011.00,1012.00,1011.00,1011.00,0.10,450.00,455350.00,1
2024-03-24,1011.00,1012.00,1011.00,1011.00,0.10,450.00,455350.00,1
2024-03-26,1005.00,1005.00,1005.00,1005.00,-0.59,25.00,25125.00,-1
2024-03-27,1000.00,1000.00,1000.00,1000.00,-0.50,25.00,25000.00,-1
2024-03-28,1008.00,1020.00,1008.00,1020.00,2.00,175.00,178200.00,1
2024-03-31,1002.00,1002.00,1002.00,1002.00,-1.76,15.00,15030.00,-1
2024-04-01,1022.00,1038.00,1022.00,1038.00,3.59,5020.00,5210440.00,1
2024-04-02,1021.00,1021.00,1021.00,1021.00,-1.64,20.00,20420.00,-1
2024-04-09,1040.00,1041.40,1040.00,1041.40,2.00,44.00,45786.60,1
2024-04-10,1023.00,1023.00,1023.00,1023.00,-1.77,25.00,25575.00,-1
2024-04-11,1023.00,1023.00,1023.00,1023.00,-1.77,25.00,25575.00,-1
2024-04-14,1038.00,1038.00,1038.00,1038.00,1.47,20.00,20760.00,1
2024-04-15,1042.00,1042.00,1042.00,1042.00,0.39,300.00,312600.00,1
2024-04-18,1038.20,1038.20,1038.20,1038.20,-0.36,100.00,103820.00,-1
2024-04-22,1032.00,1050.10,1032.00,1050.10,1.15,95.00,99307.00,1
2024-04-23,1032.00,1050.10,1032.00,1050.10,1.15,95.00,99307.00,1
2024-04-24,1050.00,1050.00,1050.00,1050.00,-0.01,200.00,210000.00,-1
2024-04-30,1032.00,1032.00,1031.50,1031.50,-1.76,100.00,103175.00,-1
2024-05-01,1032.00,1032.00,1031.50,1031.50,-1.76,100.00,103175.00,-1
2024-05-06,1051.00,1052.00,1050.00,1050.00,1.79,75.00,78825.00,1
2024-05-09,1039.30,1039.30,1039.30,1039.30,-1.02,10.00,10393.00,-1
2024-05-14,1060.00,1060.00,1060.00,1060.00,1.99,25.00,26500.00,1
2024-05-15,1052.00,1052.00,1051.00,1051.00,-0.85,100.00,105127.50,-1
2024-05-19,1040.00,1090.00,1040.00,1090.00,3.71,100.00,107300.00,1
2024-06-02,1068.20,1068.20,1068.20,1068.20,-2.00,50.00,53410.00,-1
2024-06-03,1050.00,1050.00,1050.00,1050.00,-1.70,25.00,26250.00,-1
2024-06-05,1053.10,1053.10,1053.10,1053.10,0.30,25.00,26327.50,1
2024-06-12,1050.00,1050.00,1050.00,1050.00,-0.29,25.00,26250.00,-1
2024-06-13,1070.00,1070.00,1070.00,1070.00,1.90,10.00,10700.00,1
2024-06-18,1065.00,1065.00,1065.00,1065.00,-0.47,25.00,26625.00,-1
2024-06-20,1065.00,1065.00,1062.00,1062.00,-0.28,100.00,106350.00,-1
2024-06-23,1079.00,1079.00,1079.00,1079.00,1.60,30.00,32370.00,1
2024-06-24,1058.00,1058.00,1058.00,1058.00,-1.95,100.00,105800.00,-1
2024-06-27,1075.00,1075.00,1075.00,1075.00,1.61,30.00,32225.00,1
