published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-11-06,125.00,125.00,125.00,125.00,0.00,286790.00,35848750.00,0
2023-11-07,125.00,125.00,118.00,118.00,-5.60,745460.00,91644228.00,-1
2023-11-08,124.50,124.50,124.50,124.50,5.51,420304.00,52327848.00,1
2023-12-27,300.00,300.00,300.00,300.00,0.00,25000.00,7500000.00,0
2024-01-01,300.00,300.00,300.00,300.00,0.00,1000.00,300000.00,0
2024-01-02,294.00,294.00,271.40,271.40,-9.53,50.00,14130.00,-1
2024-01-03,266.00,266.00,245.40,245.40,-9.58,50.00,12780.00,-1
2024-01-04,240.50,240.50,221.90,221.90,-9.58,50.00,11555.00,-1
2024-01-07,217.50,217.50,200.90,200.90,-9.46,50.00,10455.00,-1
2024-01-08,196.90,196.90,181.80,181.80,-9.51,50.00,9464.00,-1
2024-01-09,178.20,178.20,164.60,164.60,-9.46,50.00,8567.00,-1
2024-01-10,161.40,161.40,149.00,149.00,-9.48,50.00,7757.00,-1
2024-01-11,146.10,150.00,134.90,150.00,0.67,1590050.00,238507022.00,1
2024-01-14,132.30,132.30,123.20,123.20,-8.67,192626.00,24801054.80,-1
2024-01-15,132.30,132.30,123.20,123.20,-8.67,192626.00,24801054.80,-1
2024-02-05,120.80,120.80,120.80,120.80,-1.95,35980.00,4346384.00,-1
2024-05-16,150.00,150.00,150.00,150.00,0.00,5291.00,793650.00,0
2024-06-13,125.00,125.00,125.00,125.00,1.46,750394.00,93799250.00,1
2024-06-23,125.00,125.00,125.00,125.00,0.00,59259.00,7407375.00,0
2024-06-27,125.00,125.00,125.00,125.00,0.00,105804.00,13225500.00,0
2024-07-10,125.00,125.00,125.00,125.00,0.00,171120.00,21390000.00,0
2024-08-06,125.00,125.00,125.00,125.00,0.00,31615.00,3951875.00,0
2024-08-11,135.00,135.00,135.00,135.00,8.00,601184.00,81159840.00,1
2024-08-12,135.00,135.00,125.00,125.00,-7.41,866813.00,116851625.00,-1
2025-01-02,131.00,131.00,131.00,131.00,4.80,19978.00,2617118.00,1
2025-03-11,133.00,133.00,133.00,133.00,1.53,50000.00,6650000.00,1
2025-04-22,133.00,133.00,133.00,133.00,0.00,117250.00,15594250.00,0
2025-07-01,133.00,133.00,133.00,133.00,0.00,366316.00,43072002.00,0
2025-07-02,133.00,133.00,133.00,133.00,0.00,407.00,46805.00,0
2025-08-18,131.00,131.00,131.00,131.00,-1.50,31237.00,4092047.00,-1
2025-10-30,131.00,131.00,131.00,131.00,0.00,14006230.00,1665060622.00,0
2025-11-02,131.00,131.00,131.00,131.00,0.00,14006217.00,1665059077.00,0
2025-11-09,131.00,131.00,131.00,131.00,0.00,81248.00,9343520.00,0
2025-11-12,131.00,131.00,131.00,131.00,0.00,4000.00,460000.00,0
2025-12-16,131.00,131.00,131.00,131.00,0.00,150766.00,17505230.00,0
2025-12-17,131.00,131.00,131.00,131.00,0.00,8357.00,1128195.00,0
2025-12-31,131.00,131.00,131.00,131.00,0.00,39493.00,5173583.00,0
2026-04-30,128.00,128.00,128.00,128.00,-2.29,105823.00,13545344.00,-1
2026-05-01,128.00,128.00,128.00,128.00,-2.29,105823.00,13545344.00,-1
2026-05-05,127.00,127.00,127.00,127.00,-0.78,5288.00,671576.00,-1
2026-05-07,123.20,123.20,115.00,115.00,-9.45,155559.00,17889473.50,-1
2026-05-19,115.00,115.00,115.00,115.00,0.00,217473.00,25009395.00,0
2026-06-03,111.60,111.60,111.60,111.60,-2.96,29625.00,3306150.00,-1
