published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2020-03-12,96.0,96.0,88.0,88.0,-9.28,1390.0,131710.0,-1
2020-03-15,87.0,87.0,87.0,87.0,-1.14,50.0,4350.0,-1
2020-03-16,86.0,86.0,86.0,86.0,-1.15,80.0,6880.0,-1
2020-03-18,85.0,85.0,85.0,85.0,-1.16,40.0,3400.0,-1
2020-03-22,84.0,84.0,82.0,82.0,-3.53,220.0,18240.0,-1
2020-06-29,86.0,87.0,85.0,86.0,4.88,2190.0,186780.0,1
2020-06-30,85.0,88.0,85.0,88.0,2.33,1800.0,154510.0,1
2020-07-01,92.0,93.0,92.0,93.0,5.68,70.0,6460.0,1
2020-07-02,92.0,92.0,92.0,92.0,-1.08,10.0,920.0,-1
2020-07-05,91.0,91.0,89.0,91.0,-1.09,350.0,31520.0,-1
2020-07-06,90.0,90.0,90.0,90.0,-1.1,70.0,6300.0,-1
2020-07-07,89.0,89.0,89.0,89.0,-1.11,100.0,8900.0,-1
2020-07-08,93.0,93.0,90.0,90.0,1.12,190.0,17490.0,1
2020-07-09,94.0,96.0,89.0,95.0,5.56,6340.0,580350.0,1
2020-07-12,99.0,99.0,94.0,98.0,3.16,3520.0,337870.0,1
2020-07-13,102.0,102.0,98.0,98.0,0.0,180.0,17960.0,0
2020-07-14,102.0,107.0,98.0,102.0,4.08,3800.0,384980.0,1
2020-07-15,107.0,112.0,102.0,106.0,3.92,3680.0,385840.0,1
2020-07-16,104.0,104.0,104.0,104.0,-1.89,30.0,3120.0,-1
2020-07-20,102.0,102.0,102.0,102.0,-1.92,100.0,10200.0,-1
2020-07-21,100.0,100.0,92.0,92.0,-9.8,206160.0,20579650.0,-1
2020-07-22,92.0,98.0,86.0,97.0,5.43,1910.0,168280.0,1
2020-07-23,96.0,96.0,96.0,96.0,-1.03,20.0,1920.0,-1
2020-07-26,95.0,102.0,94.0,95.0,-1.04,11360.0,1122190.0,-1
2020-07-27,94.0,94.0,93.0,93.0,-2.11,60.0,5630.0,-1
2020-07-28,92.0,92.0,88.0,91.0,-2.15,540.0,48520.0,-1
2020-07-29,95.0,96.0,91.0,91.0,0.0,900.0,84600.0,0
2020-07-30,91.0,94.0,90.0,91.0,0.0,800.0,73250.0,0
2020-08-02,90.0,98.0,88.0,97.0,6.59,7960.0,739280.0,1
2020-08-03,101.0,101.0,95.0,95.0,-2.06,13940.0,1406280.0,-1
2020-08-06,94.0,94.0,86.0,90.0,-5.26,1770.0,153820.0,-1
2020-08-09,89.0,92.0,89.0,89.0,-1.11,500.0,45210.0,-1
