published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,7160.00,7269.00,7133.00,7174.00,1.03,18314.00,131798833.80,1
2021-11-05,7160.00,7269.00,7133.00,7174.00,1.03,18314.00,131798833.80,1
2021-11-08,7269.00,7269.00,7110.00,7130.00,-0.61,9120.00,65509592.50,-1
2021-11-09,7062.00,7125.60,6895.00,6900.00,-3.23,16449.00,114986207.40,-1
2021-11-10,7062.00,7125.60,6895.00,6900.00,-3.23,16449.00,114986207.40,-1
2021-11-11,7000.00,7000.00,6763.00,6910.00,0.14,15307.00,105191642.00,1
2021-11-12,7000.00,7000.00,6763.00,6910.00,0.14,15307.00,105191642.00,1
2021-11-15,6950.00,7000.00,6825.00,6839.00,0.28,13023.00,89831187.00,1
2021-11-16,6875.00,6994.00,6800.00,6994.00,2.27,9340.00,64567010.40,1
2021-11-17,6854.20,7085.00,6854.20,6901.00,-1.33,10450.00,72800996.70,-1
2021-11-18,6880.00,6966.00,6800.20,6810.00,-1.32,9820.00,67303367.60,-1
2021-11-19,6880.00,6966.00,6800.20,6810.00,-1.32,9820.00,67303367.60,-1
2021-11-22,6945.00,6945.00,6828.00,6869.00,0.59,5496.00,37666124.00,1
2021-11-23,6800.10,6889.00,6750.00,6800.00,-1.00,8917.00,60638951.80,-1
2021-11-24,6765.00,6850.00,6680.00,6819.00,0.28,6292.00,42463069.20,1
2021-11-25,6883.00,6883.00,6660.00,6813.00,-0.09,3995.00,27142530.00,-1
2021-11-26,6883.00,6883.00,6660.00,6813.00,-0.09,3995.00,27142530.00,-1
2021-11-29,6695.00,6785.00,6551.00,6580.00,-1.28,11363.00,75332736.00,-1
2021-11-30,6680.00,6700.00,6444.00,6497.00,-1.26,15804.00,102364922.00,-1
2021-12-01,6525.00,6598.00,6465.00,6475.00,-0.34,16168.00,105133064.10,-1
2021-12-02,6597.00,6597.00,6250.00,6295.00,-2.78,18586.00,117919022.50,-1
2021-12-03,6597.00,6597.00,6250.00,6295.00,-2.78,18586.00,117919022.50,-1
2021-12-06,5940.00,6083.00,5701.00,5990.00,0.50,25700.00,149712433.50,1
2021-12-07,6100.00,6100.00,5860.00,5897.00,-1.55,12636.00,75504320.00,-1
