published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-09-02,274.00,282.00,268.60,276.40,0.00,510.00,138050.00,0
2022-09-04,276.00,298.00,276.00,291.40,5.43,11192.00,3181207.00,1
2022-09-05,285.60,288.00,281.10,281.10,-3.53,1162.00,327597.00,-1
2022-09-06,286.70,292.40,280.00,291.20,3.59,1898.00,539908.60,1
2022-09-07,285.40,285.40,285.40,285.40,-1.99,10.00,2854.00,-1
2022-09-08,285.40,285.40,285.40,285.40,0.00,17.00,4851.80,0
2022-09-09,285.40,285.40,285.40,285.40,0.00,17.00,4851.80,0
2022-09-11,291.00,291.00,268.80,268.80,-5.82,2040.00,571005.00,-1
2022-09-12,273.00,273.00,269.00,269.00,0.07,280.00,76099.00,1
2022-09-13,274.00,274.00,274.00,274.00,1.86,500.00,137000.00,1
2022-09-14,279.40,291.80,276.40,281.80,2.85,1435.00,408921.00,1
2022-09-15,276.20,276.20,265.60,265.70,-5.71,2524.00,681975.80,-1
2022-09-16,261.00,281.00,260.50,281.00,5.76,1051.00,278135.50,1
2022-09-18,275.40,275.40,265.00,265.00,-5.69,366.00,100325.00,-1
2022-09-19,275.40,275.40,265.00,265.00,-5.69,366.00,100325.00,-1
2022-09-20,259.70,259.70,259.70,259.70,-2.00,10.00,2597.00,-1
2022-09-21,264.00,269.00,255.00,269.00,3.58,1471.00,378121.40,1
2022-09-22,263.70,263.70,254.30,254.30,-5.46,350.00,90635.00,-1
2022-09-25,250.10,279.70,249.30,279.70,9.99,1630.00,408893.00,1
2022-09-26,250.10,279.70,249.30,279.70,9.99,1630.00,408893.00,1
2022-09-27,279.00,285.10,279.00,285.10,1.93,55.00,15406.00,1
2022-09-28,290.50,290.50,290.50,290.50,1.89,10.00,2905.00,1
2022-10-09,284.70,284.70,275.00,279.00,-3.96,816282.00,226981744.00,-1
2022-10-10,283.90,283.90,251.10,251.10,-10.00,593932.00,165877414.90,-1
2022-10-11,247.30,256.00,247.00,256.00,1.95,5315.00,1316650.00,1
2022-10-12,251.00,251.00,246.00,251.00,-1.95,1740.00,428592.00,-1
