published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-03-12,101.70,111.80,101.70,111.80,9.93,150.00,16468.00,1
2026-03-15,110.70,122.90,110.70,122.90,9.93,140.00,16688.00,1
2026-03-16,121.70,135.10,121.70,135.10,9.93,150.00,19828.00,1
2026-03-17,137.80,148.60,137.80,148.60,9.99,90.00,13107.00,1
2026-03-18,137.80,148.60,137.80,148.60,9.99,90.00,13107.00,1
2026-03-19,147.00,163.40,147.00,163.40,9.96,190.00,30506.00,1
2026-03-22,166.50,179.70,166.50,179.70,9.98,300.00,53185.00,1
2026-03-23,176.40,197.60,176.40,197.60,9.96,250.00,48663.00,1
2026-03-24,195.70,217.30,195.70,217.30,9.97,200.00,42759.00,1
2026-03-25,215.00,239.00,215.00,239.00,9.99,270.00,63505.00,1
2026-03-26,237.30,262.90,237.30,262.90,10.00,208.00,53562.20,1
2026-03-29,264.60,289.10,264.60,289.10,9.97,410.00,117349.00,1
2026-03-30,289.10,318.00,289.10,318.00,10.00,470.00,147731.00,1
2026-03-31,316.00,349.80,316.00,349.80,10.00,370.00,128366.00,1
2026-04-01,356.00,384.70,356.00,384.70,9.98,450.00,172111.00,1
2026-04-02,381.70,423.10,381.70,423.10,9.98,590.00,247484.00,1
2026-04-05,423.10,465.40,423.10,465.40,10.00,960.00,444682.00,1
2026-04-06,474.70,511.90,474.70,511.90,9.99,1310.00,668929.00,1
2026-04-07,513.70,563.00,513.70,563.00,9.98,1090.00,611752.00,1
2026-04-08,574.20,619.30,574.20,619.30,10.00,1220.00,754437.00,1
2026-04-09,610.70,681.20,610.70,681.20,10.00,2390.00,1625715.00,1
2026-04-10,694.80,749.30,694.80,749.30,10.00,2140.00,1602162.00,1
2026-04-13,764.20,824.20,764.20,824.20,10.00,4160.00,3424796.00,1
2026-04-14,764.20,824.20,764.20,824.20,10.00,4160.00,3424796.00,1
2026-04-15,840.60,906.60,840.60,906.60,10.00,3760.00,3405876.00,1
2026-04-16,924.70,997.20,924.70,997.20,9.99,5250.00,5233520.00,1
2026-04-17,1017.10,1096.90,1017.10,1096.90,10.00,11840.00,12982146.00,1
2026-04-20,1151.70,1261.40,1151.70,1261.40,15.00,292797.00,360159585.90,1
2026-04-21,1323.00,1450.60,1286.00,1386.00,9.88,159134.00,222342401.20,1
2026-04-22,1400.00,1404.00,1208.10,1237.00,-10.75,228942.00,285967762.70,-1
2026-04-23,1237.00,1237.00,1142.00,1180.00,-4.61,188547.00,221559006.30,-1
2026-04-24,1180.00,1225.00,1111.00,1195.00,1.27,111477.00,128612529.40,1
2026-04-27,1195.00,1225.00,1148.00,1148.00,-3.93,105359.00,124011852.60,-1
2026-04-28,1191.00,1191.00,1038.00,1060.00,-7.67,189770.00,206007502.00,-1
2026-04-29,1060.00,1065.20,995.10,1005.00,-5.19,119051.00,120424348.70,-1
2026-04-30,975.10,1045.00,956.60,1024.00,1.89,94735.00,94168284.90,1
2026-05-01,975.10,1045.00,956.60,1024.00,1.89,94735.00,94168284.90,1
2026-05-04,994.00,1020.00,980.00,1000.00,-2.34,51713.00,51137885.80,-1
2026-05-05,1000.00,1019.00,972.00,994.00,-0.60,58778.00,58737483.40,-1
2026-05-06,1000.00,1020.00,982.00,988.00,-0.60,51679.00,51786312.10,-1
2026-05-07,988.00,1004.00,986.00,994.40,0.65,37729.00,37431526.60,1
2026-05-08,1000.00,1076.00,995.30,1073.00,7.90,132782.00,138694649.20,1
2026-05-11,1020.00,1107.00,1020.00,1065.00,-0.75,90355.00,96501737.10,-1
2026-05-12,1065.00,1077.00,999.00,1000.00,-6.10,104518.00,107422786.10,-1
2026-05-13,981.10,999.00,981.10,989.00,-1.10,44049.00,43535734.60,-1
2026-05-14,988.00,988.00,951.00,968.90,-2.03,73005.00,70720224.70,-1
2026-05-15,970.00,1005.00,963.50,985.10,1.67,51961.00,51150050.70,1
2026-05-18,966.00,997.00,966.00,975.00,-1.03,25347.00,24868242.60,-1
2026-05-19,980.00,980.00,956.00,958.00,-1.74,34277.00,33022141.80,-1
2026-05-20,957.00,986.70,950.00,976.00,1.88,42355.00,41083802.60,1
2026-05-21,970.00,989.00,955.00,960.00,-1.64,49850.00,48256106.50,-1
2026-05-22,970.00,1002.00,957.10,1000.00,4.17,86018.00,84643211.30,1
2026-05-25,985.00,1042.00,985.00,1022.10,2.21,81719.00,83519163.10,1
2026-05-27,1010.00,1010.00,986.00,988.10,-2.04,41839.00,41662787.20,-1
2026-05-28,1010.00,1010.00,986.00,988.10,-2.04,41839.00,41662787.20,-1
2026-05-29,1010.00,1010.00,986.00,988.10,-2.04,41839.00,41662787.20,-1
2026-06-01,988.10,988.10,953.10,955.00,-3.35,51409.00,49629970.20,-1
2026-06-02,955.00,965.00,950.00,958.00,0.31,30739.00,29473896.60,1
2026-06-03,958.00,975.90,955.00,960.10,0.22,23972.00,23129979.20,1
2026-06-04,960.10,965.00,920.00,925.00,-3.66,64479.00,60696576.60,-1
2026-06-05,925.00,925.00,875.30,886.00,-4.22,97790.00,87534480.10,-1
2026-06-08,875.00,885.00,856.30,859.00,-3.05,54037.00,46912792.00,-1
2026-06-09,850.00,882.90,835.20,865.90,0.80,47734.00,40554858.50,1
2026-06-10,829.00,884.00,829.00,880.00,1.63,28533.00,24856444.80,1
2026-06-11,882.00,882.00,857.00,857.00,-2.61,26041.00,22470312.50,-1
2026-06-12,899.80,899.80,839.00,842.00,-1.75,35600.00,30119644.10,-1
