published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-08-08,228.00,250.80,228.00,250.80,10.00,780.00,193340.80,1
2022-08-09,255.80,275.80,255.80,275.80,9.97,1308.00,360256.40,1
2022-08-10,281.30,303.30,281.30,303.30,9.97,6250.00,1895085.00,1
2022-08-11,309.30,333.60,309.30,333.60,9.99,74264.00,24693767.40,1
2022-08-12,309.30,333.60,309.30,333.60,9.99,74264.00,24693767.40,1
2022-08-14,340.20,361.00,315.00,316.00,-5.28,56104.00,18276158.60,-1
2022-08-15,316.00,331.00,305.00,327.00,3.48,24430.00,7761388.80,1
2022-08-16,333.00,335.00,314.00,317.10,-3.03,28602.00,9232691.00,-1
2022-08-17,315.00,327.00,310.70,325.90,2.78,19939.00,6416941.90,1
2022-08-18,332.40,355.00,322.50,355.00,8.93,62134.00,21359600.20,1
2022-08-19,332.40,355.00,322.50,355.00,8.93,62134.00,21359600.20,1
2022-08-21,362.00,362.10,336.00,337.00,-5.07,25805.00,8870087.20,-1
2022-08-22,334.70,343.70,328.30,335.00,-0.59,17151.00,5687991.50,-1
2022-08-23,335.00,335.00,326.00,332.00,-0.90,13919.00,4585691.20,-1
2022-08-24,332.00,339.00,321.00,335.00,0.90,23852.00,7891223.10,1
2022-08-25,328.40,341.00,323.60,329.90,-1.52,15796.00,5233903.50,-1
2022-08-26,323.40,325.00,318.00,322.00,-2.39,8989.00,2875745.40,-1
2022-08-28,315.60,318.20,301.00,303.00,-5.90,24587.00,7625635.90,-1
2022-08-29,297.00,311.10,290.00,300.00,-0.99,14061.00,4176257.50,-1
2022-08-30,302.00,309.50,296.20,296.20,-1.27,9010.00,2704967.30,-1
2022-08-31,292.00,297.00,283.00,284.20,-4.05,11590.00,3334470.40,-1
2022-09-01,280.00,298.00,273.10,288.40,1.48,14792.00,4106820.30,1
2022-09-02,287.00,305.00,280.10,286.00,-0.83,3700.00,1054768.00,-1
2022-09-04,286.00,293.80,283.00,290.00,1.40,4220.00,1214059.00,1
2022-09-05,285.00,294.00,281.00,288.00,-0.69,9467.00,2725676.40,-1
2022-09-06,292.70,292.70,274.10,276.10,-4.13,13184.00,3701018.00,-1
2022-09-07,271.20,279.20,271.20,279.00,1.05,7840.00,2149645.00,1
2022-09-08,284.00,286.00,270.00,285.90,2.47,7793.00,2179379.00,1
2022-09-09,284.00,286.00,270.00,285.90,2.47,7793.00,2179379.00,1
2022-09-11,280.20,285.00,276.70,276.70,-3.22,5596.00,1569417.50,-1
2022-09-12,272.00,275.00,268.10,268.10,-3.11,5763.00,1564912.70,-1
2022-09-13,273.10,281.00,265.00,270.70,0.97,4920.00,1352302.50,1
2022-09-14,272.00,287.60,272.00,287.60,6.24,11922.00,3346158.60,1
2022-09-15,287.60,290.00,267.20,268.10,-6.78,14793.00,4053898.90,-1
2022-09-16,262.80,273.00,255.20,261.80,-2.35,7165.00,1873977.00,-1
2022-09-18,267.00,267.00,248.00,250.10,-4.47,12680.00,3188310.00,-1
2022-09-19,267.00,267.00,248.00,250.10,-4.47,12680.00,3188310.00,-1
2022-09-20,246.00,246.00,233.10,240.00,-4.04,9508.00,2240112.20,-1
2022-09-21,242.00,251.70,237.30,239.00,-0.42,5111.00,1227817.00,-1
2022-09-22,235.00,247.00,225.40,232.50,-2.72,9066.00,2109361.00,-1
2022-09-25,227.90,231.10,216.70,222.00,-4.52,5242.00,1168162.50,-1
2022-09-26,227.90,231.10,216.70,222.00,-4.52,5242.00,1168162.50,-1
2022-09-27,218.10,230.90,214.10,218.00,-1.80,5900.00,1295412.00,-1
2022-09-28,220.00,224.00,217.00,218.00,0.00,1892.00,413840.00,0
2022-09-29,214.00,226.70,214.00,219.00,0.46,1367.00,301988.00,1
2022-10-02,214.00,226.70,214.00,219.00,0.46,1367.00,301988.00,1
2022-10-03,214.00,226.70,214.00,219.00,0.46,1367.00,301988.00,1
2022-10-04,214.00,226.70,214.00,219.00,0.46,1367.00,301988.00,1
2022-10-05,214.00,226.70,214.00,219.00,0.46,1367.00,301988.00,1
2022-10-06,214.00,226.70,214.00,219.00,0.46,1367.00,301988.00,1
2022-10-09,219.10,224.50,219.00,223.50,2.05,2792.00,617623.90,1
2022-10-10,220.00,226.00,216.10,223.90,0.18,6755.00,1487623.00,1
2022-10-11,219.50,223.00,213.80,217.60,-2.81,3890.00,839136.00,-1
2022-10-12,215.10,223.00,213.30,222.30,2.16,3625.00,789963.00,1
2022-10-13,220.00,223.50,216.00,222.00,-0.13,2440.00,533991.50,-1
2022-10-16,218.00,222.00,214.00,218.00,-1.80,4523.00,982788.10,-1
2022-10-17,215.00,220.00,214.20,220.00,0.92,2270.00,491054.00,1
2022-10-18,215.00,220.00,214.20,220.00,0.92,2270.00,491054.00,1
2022-10-19,216.00,216.00,211.10,212.90,-3.23,3581.00,761919.50,-1
2022-10-20,208.70,211.10,204.90,206.00,-3.24,3669.00,757489.00,-1
2022-10-23,202.10,208.90,202.10,208.80,1.36,2580.00,534826.50,1
2022-10-24,202.10,208.90,202.10,208.80,1.36,2580.00,534826.50,1
2022-10-25,202.10,208.90,202.10,208.80,1.36,2580.00,534826.50,1
2022-10-26,202.10,208.90,202.10,208.80,1.36,2580.00,534826.50,1
2022-10-27,202.10,208.90,202.10,208.80,1.36,2580.00,534826.50,1
2022-10-30,202.10,208.90,202.10,208.80,1.36,2580.00,534826.50,1
2022-10-31,212.90,212.90,206.40,210.00,0.57,3400.00,709031.00,1
2022-11-01,210.00,220.00,206.00,219.00,4.29,11383.00,2438339.50,1
2022-11-02,223.00,225.90,216.00,224.40,2.47,5912.00,1313750.30,1
2022-11-03,220.00,227.00,215.70,217.00,-3.30,1590.00,348227.00,-1
2022-11-06,213.00,224.40,213.00,223.00,2.76,3946.00,866841.00,1
2022-11-07,220.00,233.30,220.00,226.50,1.57,11079.00,2514666.20,1
2022-11-08,222.00,225.00,219.00,221.00,-2.43,3997.00,885654.30,-1
2022-11-09,221.00,222.00,210.00,218.00,-1.36,9717.00,2095655.40,-1
2022-11-10,218.00,218.00,207.50,217.00,-0.46,6987.00,1467174.00,-1
2022-11-13,213.00,213.90,208.00,212.00,-2.30,2590.00,542957.00,-1
2022-11-14,207.80,220.00,205.00,220.00,3.77,1855.00,393998.00,1
2022-11-15,215.60,218.50,212.10,214.00,-2.73,2630.00,567098.00,-1
2022-11-16,210.10,219.30,210.10,217.80,1.78,2621.00,562439.10,1
2022-11-17,220.00,234.00,217.10,225.00,3.31,11989.00,2681378.10,1
2022-11-20,220.00,234.00,217.10,225.00,3.31,11989.00,2681378.10,1
2022-11-21,220.00,234.00,217.10,225.00,3.31,11989.00,2681378.10,1
