published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2016-08-24,325.0,339.0,325.0,335.0,nan,20017.0,6628564.0,0
2016-08-28,335.0,346.0,330.0,331.0,-1.19,16833.0,5611276.0,0
2016-08-29,331.0,334.0,321.0,326.0,-1.51,25024.0,8170046.0,0
2016-08-30,326.0,338.0,326.0,331.0,1.53,28564.0,9463540.0,0
2016-08-31,331.0,333.0,320.0,325.0,-1.81,18569.0,6084662.0,0
2016-09-01,325.0,328.0,320.0,325.0,0.0,19977.0,6480054.0,0
2016-09-03,325.0,325.0,317.0,320.0,-1.54,18682.0,5991951.0,0
2016-09-04,325.0,325.0,317.0,320.0,0.0,18682.0,5991951.0,0
2016-09-05,320.0,324.0,312.0,324.0,1.25,20849.0,6636791.0,0
2016-09-06,324.0,326.0,316.0,320.0,-1.23,23174.0,7419684.0,0
2016-09-07,320.0,325.0,314.0,321.0,0.31,13664.0,4376284.0,0
2016-09-08,321.0,329.0,317.0,324.0,0.93,22517.0,7248200.0,0
2016-09-11,324.0,330.0,315.0,316.0,-2.47,28696.0,9143186.0,0
2016-09-12,316.0,319.0,311.0,313.0,-0.95,31672.0,9942218.0,0
2016-09-14,313.0,314.0,303.0,305.0,-2.56,33290.0,10291784.0,0
2016-09-18,305.0,315.0,303.0,305.0,0.0,28671.0,8835184.0,0
2016-09-20,305.0,306.0,298.0,299.0,-1.97,22726.0,6850300.0,0
2016-09-21,299.0,303.0,295.0,301.0,0.67,29742.0,8911357.0,0
2016-09-22,301.0,307.0,296.0,300.0,-0.33,22034.0,6607614.0,0
2016-09-25,300.0,304.0,289.0,295.0,-1.67,12975.0,3830920.0,0
2016-09-26,295.0,300.0,295.0,298.0,1.02,20918.0,6220625.0,0
2016-09-27,298.0,303.0,295.0,300.0,0.67,45477.0,13588132.0,0
2016-09-28,300.0,301.0,295.0,301.0,0.33,19123.0,5728476.0,0
2016-09-29,301.0,302.0,297.0,297.0,-1.33,24587.0,7379651.0,0
2016-10-02,297.0,310.0,295.0,308.0,3.70,10053.0,3061508.0,0
2016-10-03,308.0,311.0,301.0,305.0,-0.97,7688.0,2362111.0,0
2016-10-04,305.0,309.0,297.0,300.0,-1.64,12183.0,3670161.0,0
2016-10-05,300.0,304.0,299.0,300.0,0.0,11360.0,3410249.0,0
2016-10-06,300.0,305.0,298.0,300.0,0.0,16601.0,4983462.0,0
2016-10-16,300.0,303.0,295.0,299.0,-0.33,16068.0,4823591.0,0
2016-10-17,299.0,300.0,292.0,299.0,0.0,8452.0,2507978.0,0
2016-10-18,299.0,300.0,291.0,300.0,0.33,12086.0,3593204.0,0
2016-10-19,300.0,303.0,294.0,297.0,-1.00,20664.0,6154179.0,0
2016-10-20,297.0,299.0,296.0,298.0,0.34,16334.0,4861313.0,0
