published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-07-23,803.00,805.00,775.00,800.00,0.00,1779.00,1408241.90,0
2023-07-24,790.00,800.00,775.00,776.00,-3.00,1777.00,1396455.70,-1
2023-07-25,778.00,780.00,751.00,763.00,-1.68,1911.00,1477767.00,-1
2023-07-26,760.00,773.90,750.00,770.00,0.92,614.00,464539.00,1
2023-07-27,775.00,775.00,740.00,740.00,-3.90,328.00,247770.90,-1
2023-07-30,730.00,732.50,702.00,702.00,-5.14,577.00,411274.80,-1
2023-07-31,716.00,730.00,703.00,718.00,2.28,440.00,313231.00,1
2023-08-01,703.70,703.70,678.00,678.00,-5.57,3290.00,2264301.60,-1
2023-08-02,678.00,680.00,666.40,666.40,-1.71,545.00,365517.20,-1
2023-08-03,660.00,678.90,655.00,678.90,1.88,165.00,108526.50,1
2023-08-06,670.10,670.10,640.00,640.00,-5.73,883.00,580665.10,-1
2023-08-07,628.00,639.00,600.00,611.90,-4.39,4615.00,2801063.90,-1
2023-08-09,595.00,660.00,595.00,659.00,9.83,309.00,190954.30,1
2023-08-10,672.10,672.10,607.00,616.00,-6.53,3275.00,2033799.40,-1
2023-08-13,616.00,628.00,607.90,615.00,-0.16,432.00,265507.50,-1
2023-08-14,619.00,665.00,600.00,638.00,3.74,1175.00,727149.50,1
2023-08-15,625.30,625.30,590.00,625.20,-2.01,2114.00,1278063.40,-1
2023-08-16,612.70,615.00,601.00,615.00,-1.63,599.00,364698.10,-1
2023-08-17,602.70,613.00,593.50,613.00,-0.33,947.00,570771.60,-1
2023-08-20,610.00,616.00,601.00,601.00,-1.96,267.00,161812.70,-1
2023-08-21,594.00,605.00,594.00,605.00,0.67,186.00,110700.00,1
2023-08-22,593.00,616.00,593.00,615.00,1.65,451.00,269484.30,1
2023-08-23,625.00,625.00,605.10,618.00,0.49,574.00,350657.30,1
2023-08-24,612.00,612.00,601.00,611.00,-1.13,363.00,220683.00,-1
2023-08-27,598.80,598.80,589.00,592.10,-3.09,212.00,125958.30,-1
2023-08-28,603.90,611.00,600.00,611.00,3.19,128.00,76965.40,1
2023-08-29,599.00,604.70,588.00,604.70,-1.03,444.00,262823.10,-1
2023-08-30,593.00,599.00,581.00,592.00,-2.10,156.00,92033.40,-1
2023-08-31,593.00,599.00,581.00,592.00,-2.10,156.00,92033.40,-1
