published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-06-22,350.00,381.10,350.00,381.10,0.00,1694.00,643813.70,0
2023-06-25,388.70,419.20,388.70,419.20,10.00,5728.00,2400285.70,1
2023-06-26,420.00,461.10,420.00,461.10,10.00,4364.00,2009685.70,1
2023-06-27,470.30,507.20,470.30,507.20,10.00,24091.00,12154377.30,1
2023-06-28,517.00,557.90,517.00,557.90,10.00,1523712.00,837036791.90,1
2023-06-29,517.00,557.90,517.00,557.90,10.00,1523712.00,837036791.90,1
2023-07-02,569.00,574.00,548.00,549.00,-1.60,762109.00,425654707.90,-1
2023-07-03,548.00,549.00,530.00,532.00,-3.10,443519.00,239445785.10,-1
2023-07-04,542.60,542.60,520.40,529.00,-0.56,214583.00,113384502.40,-1
2023-07-05,535.00,535.00,505.00,508.80,-3.82,270713.00,139088920.30,-1
2023-07-06,515.00,518.00,491.00,497.00,-2.32,308562.00,153683428.20,-1
2023-07-09,500.00,512.80,492.00,498.00,0.20,371250.00,186072060.00,1
2023-07-10,500.00,510.00,488.10,489.80,-1.65,504920.00,249186992.70,-1
2023-07-11,495.00,502.00,488.00,490.00,0.04,258735.00,127813719.40,1
2023-07-12,490.00,503.00,485.20,496.20,1.27,186206.00,92316248.40,1
2023-07-13,500.00,514.00,498.00,507.00,2.18,318517.00,161509096.80,1
2023-07-16,507.00,514.90,504.00,507.00,0.00,308820.00,156945064.50,0
2023-07-17,517.10,517.10,502.00,516.00,1.78,212261.00,108464899.60,1
2023-07-18,516.20,525.00,513.00,513.60,-0.47,301695.00,156390333.70,-1
2023-07-19,516.00,516.00,508.60,510.00,-0.70,164408.00,84204343.90,-1
2023-07-20,499.80,515.00,499.80,504.90,-1.00,173777.00,88259472.40,-1
2023-07-23,507.00,516.00,504.00,510.80,1.17,206880.00,105427189.40,1
2023-07-24,508.00,513.00,500.10,500.40,-2.04,193182.00,97571138.30,-1
2023-07-25,500.40,504.00,490.40,491.80,-1.72,123003.00,60902374.40,-1
2023-07-26,498.00,499.00,485.00,487.10,-0.96,142367.00,69779438.00,-1
2023-07-27,490.00,492.00,478.00,478.00,-1.87,173200.00,83660573.60,-1
2023-07-30,478.00,485.00,468.00,470.00,-1.67,115672.00,54666317.20,-1
2023-07-31,473.90,481.00,468.60,474.00,0.85,96879.00,46133118.50,1
2023-08-01,468.80,480.00,462.10,466.00,-1.69,110535.00,51864632.60,-1
2023-08-02,466.00,468.80,458.70,467.40,0.30,88138.00,40796851.40,1
2023-08-03,473.00,474.90,464.00,468.00,0.13,72155.00,33901451.20,1
2023-08-06,458.70,472.60,451.00,458.00,-2.14,99712.00,45733060.00,-1
2023-08-07,458.00,467.00,450.00,454.00,-0.87,68555.00,31388464.10,-1
2023-08-09,450.00,465.00,438.50,463.90,4.25,119634.00,53811034.20,1
2023-08-10,466.00,468.00,457.00,457.00,-1.49,79935.00,37055597.50,-1
2023-08-13,457.00,466.00,454.20,462.00,1.09,88083.00,40445006.10,1
2023-08-14,466.00,468.90,453.00,453.20,-1.90,58115.00,26659987.60,-1
2023-08-15,450.00,460.00,450.00,450.50,-0.60,107956.00,48800844.10,-1
2023-08-16,450.00,450.00,441.10,442.20,-1.84,41181.00,18335777.90,-1
2023-08-17,442.00,450.20,442.00,445.00,0.63,64326.00,28776153.80,1
2023-08-20,440.00,454.90,440.00,443.00,-0.45,63429.00,28255365.90,-1
2023-08-21,444.00,447.00,438.00,441.90,-0.25,47478.00,20999790.40,-1
2023-08-22,442.00,445.00,437.00,444.90,0.68,42882.00,18941508.90,1
2023-08-23,441.00,459.00,441.00,453.00,1.82,84462.00,38203107.90,1
2023-08-24,451.00,456.00,440.60,442.00,-2.43,74208.00,33272284.90,-1
2023-08-27,442.00,442.90,435.10,437.90,-0.93,64554.00,28335395.60,-1
2023-08-28,435.00,443.90,435.00,437.00,-0.21,36845.00,16158366.30,-1
2023-08-29,445.00,445.00,431.20,432.30,-1.08,35054.00,15251289.90,-1
2023-08-30,432.40,437.00,429.00,430.00,-0.53,39652.00,17115449.10,-1
2023-08-31,432.40,437.00,429.00,430.00,-0.53,39652.00,17115449.10,-1
2023-09-03,428.60,430.00,418.10,420.00,-2.33,51126.00,21600607.90,-1
2023-09-04,420.00,425.00,412.00,418.00,-0.48,42146.00,17612734.70,-1
2023-09-05,419.70,425.90,413.00,416.00,-0.48,35954.00,15141254.30,-1
2023-09-06,419.70,425.90,413.00,416.00,-0.48,35954.00,15141254.30,-1
2023-09-07,411.60,420.00,410.00,412.00,-0.96,45182.00,18659440.10,-1
2023-09-10,420.20,420.20,409.00,410.80,-0.29,27188.00,11235652.10,-1
2023-09-11,406.00,434.00,406.00,426.00,3.70,59113.00,24940013.80,1
2023-09-12,434.00,434.00,418.00,423.70,-0.54,58074.00,24652584.30,-1
2023-09-13,424.00,439.50,421.20,439.00,3.61,56905.00,24574329.60,1
2023-09-14,424.00,439.50,421.20,439.00,3.61,56905.00,24574329.60,1
2023-09-17,439.00,439.00,422.00,424.00,-3.42,57525.00,24621088.10,-1
2023-09-18,416.30,432.00,416.30,424.00,0.00,25018.00,10645207.70,0
2023-09-19,425.00,435.00,423.00,428.10,0.97,43906.00,18774350.30,1
2023-09-20,425.00,435.00,423.00,428.10,0.97,43906.00,18774350.30,1
2023-09-21,430.00,448.50,430.00,440.30,2.85,86935.00,38288295.10,1
2023-09-24,435.00,449.90,432.00,432.00,-1.89,71889.00,31499402.70,-1
2023-09-25,432.00,435.50,427.00,429.00,-0.69,54854.00,23512948.90,-1
2023-09-26,431.00,439.80,430.00,437.00,1.86,48431.00,21033577.70,1
2023-09-27,440.00,445.70,426.10,429.50,-1.72,36388.00,15645152.70,-1
2023-09-28,440.00,445.70,426.10,429.50,-1.72,36388.00,15645152.70,-1
2023-10-01,425.10,430.00,417.00,418.90,-2.47,78244.00,32859595.40,-1
2023-10-02,418.00,423.00,413.00,419.00,0.02,34787.00,14575642.70,1
2023-10-03,412.60,420.00,412.60,415.00,-0.95,24559.00,10241083.80,-1
2023-10-04,412.10,424.00,412.10,417.40,0.58,24365.00,10238747.20,1
2023-10-05,415.00,421.00,414.20,416.50,-0.22,21852.00,9100920.30,-1
2023-10-08,416.50,420.00,406.00,406.00,-2.52,88570.00,36313045.00,-1
2023-10-09,403.00,412.00,403.00,405.90,-0.02,43927.00,17825696.00,-1
2023-10-10,406.00,407.00,400.00,401.00,-1.21,42660.00,17132428.70,-1
2023-10-11,400.00,409.00,398.00,402.00,0.25,35531.00,14257269.00,1
2023-10-12,400.00,405.00,393.10,394.00,-1.99,35159.00,13964126.20,-1
2023-10-15,400.00,405.00,393.10,394.00,-1.99,35159.00,13964126.20,-1
2023-10-16,392.00,392.00,383.10,384.00,-2.54,37163.00,14367745.30,-1
2023-10-17,390.00,399.40,386.00,388.90,1.28,25921.00,10094710.20,1
