published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-11-05,10.00,10.00,9.28,9.70,-3.00,3020.00,28790.20,-1
2025-11-06,9.51,9.80,9.33,9.50,-2.06,7500.00,71349.00,-1
2025-11-09,9.31,9.32,9.13,9.17,-3.47,3290.00,30242.40,-1
2025-11-10,9.10,9.20,8.99,9.00,-1.85,8200.00,74164.00,-1
2025-11-11,9.00,9.45,9.00,9.45,5.00,7820.00,72302.00,1
2025-11-12,9.35,9.35,8.99,9.02,-4.55,3300.00,29948.00,-1
2025-11-13,9.00,9.10,9.00,9.10,0.89,600.00,5412.00,1
2025-11-16,8.92,9.28,8.89,8.89,-2.31,7870.00,71451.40,-1
2025-11-17,8.80,9.10,8.80,9.10,2.36,3000.00,26965.00,1
2025-11-18,8.93,9.10,8.93,9.10,0.00,1800.00,16159.00,0
2025-11-19,8.95,9.30,8.93,9.30,2.20,12800.00,114538.00,1
2025-11-20,9.14,9.25,9.01,9.25,-0.54,1810.00,16497.50,-1
2025-11-23,9.07,9.15,9.00,9.01,-2.59,7100.00,64322.50,-1
2025-11-24,8.95,9.30,8.92,9.30,3.22,3800.00,34323.00,1
2025-11-25,9.13,9.31,9.13,9.15,-1.61,1410.00,12933.50,-1
2025-11-26,9.00,9.15,9.00,9.11,-0.44,1500.00,13644.00,-1
2025-11-27,9.00,9.20,9.00,9.15,0.44,4100.00,37391.00,1
2025-11-30,9.02,9.20,9.02,9.07,-0.87,2400.00,21737.00,-1
2025-12-01,9.00,9.20,9.00,9.07,0.00,5800.00,52824.30,0
2025-12-02,9.00,9.40,9.00,9.09,0.22,3500.00,32107.00,1
2025-12-03,8.91,9.30,8.91,9.30,2.31,2400.00,21701.00,1
2025-12-04,8.91,9.30,8.91,9.30,2.31,2400.00,21701.00,1
2025-12-07,9.12,9.21,8.97,9.02,-3.01,2200.00,19850.00,-1
2025-12-08,8.94,9.02,8.85,8.91,-1.22,2700.00,24137.00,-1
2025-12-09,8.74,9.10,8.74,9.00,1.01,4800.00,43085.00,1
2025-12-10,9.00,9.18,8.92,9.18,2.00,3130.00,28507.50,1
2025-12-11,9.01,9.15,9.01,9.02,-1.74,2800.00,25255.00,-1
2025-12-14,8.85,9.02,8.85,8.97,-0.55,2550.00,22851.00,-1
2025-12-15,8.85,9.05,8.85,8.94,-0.33,2050.00,18269.50,-1
2025-12-16,9.07,9.15,9.00,9.00,0.67,4100.00,37022.50,1
2025-12-17,8.85,9.30,8.85,9.30,3.33,9000.00,82845.00,1
2025-12-18,9.12,9.20,9.00,9.10,-2.15,1200.00,10926.00,-1
2025-12-21,9.28,9.28,8.94,8.99,-1.21,2100.00,18943.00,-1
2025-12-22,8.83,9.18,8.83,8.96,-0.33,3650.00,32709.00,-1
2025-12-23,8.80,8.96,8.80,8.91,-0.56,5430.00,48098.20,-1
2025-12-24,8.76,9.25,8.76,9.25,3.82,6500.00,58981.00,1
2025-12-25,8.76,9.25,8.76,9.25,3.82,6500.00,58981.00,1
2025-12-28,9.10,9.40,9.05,9.38,1.41,15470.00,144190.10,1
2025-12-29,9.20,9.30,9.20,9.25,-1.39,2400.00,22105.00,-1
2025-12-30,9.20,9.30,9.20,9.25,-1.39,2400.00,22105.00,-1
2025-12-31,9.10,9.29,9.10,9.29,0.43,507620.00,4622098.90,1
2026-01-01,9.11,9.11,9.11,9.11,-1.94,2000.00,18220.00,-1
2026-01-04,9.00,9.20,9.00,9.05,-0.66,4200.00,38011.70,-1
2026-01-06,8.92,9.20,8.92,9.20,1.10,4700.00,42567.00,1
