published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2019-05-22,160.0,160.0,144.0,144.0,-10.0,8556.0,1232994.0,-1
2019-05-23,145.0,145.0,130.0,130.0,-9.72,3400.0,443740.0,-1
2019-05-26,124.0,134.0,117.0,134.0,3.08,54300.0,6782720.0,1
2019-05-27,132.0,132.0,123.0,131.0,-2.24,8888.0,1150560.0,-1
2019-05-28,131.0,133.0,128.0,133.0,1.53,11700.0,1528500.0,1
2019-05-29,131.0,146.0,131.0,146.0,9.77,18950.0,2662110.0,1
2019-05-30,148.0,160.0,148.0,160.0,9.59,16414.0,2592910.0,1
2019-06-02,163.0,168.0,147.0,152.0,-5.0,36836.0,5634956.0,-1
2019-06-03,152.0,155.0,144.0,155.0,1.97,14610.0,2149070.0,1
2019-06-04,156.0,157.0,149.0,149.0,-3.87,6100.0,921610.0,-1
2019-06-06,151.0,154.0,148.0,149.0,0.0,3810.0,571080.0,0
2019-06-10,150.0,154.0,146.0,147.0,-1.34,9085.0,1346700.0,-1
2019-06-11,149.0,155.0,147.0,148.0,0.68,5020.0,748140.0,1
2019-06-12,147.0,155.0,144.0,148.0,0.0,3430.0,503860.0,0
2019-06-13,146.0,150.0,145.0,146.0,-1.35,4250.0,624150.0,-1
2019-06-16,148.0,152.0,145.0,152.0,4.11,3470.0,506950.0,1
2019-06-17,149.0,152.0,143.0,148.0,-2.63,3990.0,588050.0,-1
2019-06-18,146.0,146.0,142.0,146.0,-1.35,1190.0,172800.0,-1
2019-06-19,144.0,153.0,144.0,144.0,-1.37,810.0,117650.0,-1
2019-06-20,146.0,148.0,142.0,146.0,1.39,1580.0,228130.0,1
2019-06-23,148.0,148.0,143.0,143.0,-2.05,800.0,116040.0,-1
2019-06-24,141.0,144.0,141.0,142.0,-0.7,1270.0,181380.0,-1
2019-06-25,140.0,144.0,140.0,142.0,0.0,866.0,122912.0,0
2019-06-26,140.0,146.0,140.0,146.0,2.82,1950.0,279930.0,1
2019-06-27,144.0,148.0,143.0,144.0,-1.37,2020.0,290930.0,-1
2019-06-30,142.0,145.0,142.0,142.0,-1.39,3730.0,532020.0,-1
2019-07-01,141.0,144.0,139.0,141.0,-0.7,6390.0,896660.0,-1
2019-07-02,139.0,143.0,139.0,141.0,0.0,721.0,101717.0,0
2019-07-03,139.0,142.0,139.0,140.0,-0.71,1100.0,154080.0,-1
2019-07-04,140.0,142.0,139.0,140.0,0.0,1410.0,197740.0,0
2019-07-07,142.0,142.0,139.0,140.0,0.0,1340.0,187260.0,0
2019-07-08,142.0,150.0,139.0,140.0,0.0,1830.0,258190.0,0
2019-07-09,140.0,142.0,139.0,141.0,0.71,2186.0,307570.0,1
2019-07-10,140.0,142.0,139.0,140.0,-0.71,1615.0,227690.0,-1
2019-07-11,140.0,140.0,139.0,139.0,-0.71,1720.0,239990.0,-1
2019-07-14,140.0,140.0,138.0,139.0,0.0,1200.0,166570.0,0
2019-07-15,139.0,141.0,138.0,139.0,0.0,3030.0,423440.0,0
2019-07-16,139.0,142.0,139.0,139.0,0.0,1340.0,188120.0,0
2019-07-17,138.0,141.0,138.0,140.0,0.72,2630.0,367940.0,1
2019-07-18,140.0,143.0,140.0,142.0,1.43,680.0,95860.0,1
2019-07-21,144.0,145.0,144.0,145.0,2.11,40.0,5780.0,1
2019-07-22,143.0,143.0,139.0,143.0,-1.38,1450.0,203110.0,-1
2019-07-23,141.0,141.0,138.0,139.0,-2.8,1230.0,170795.0,-1
2019-07-24,140.0,142.0,138.0,138.0,-0.72,2060.0,286530.0,-1
2019-07-25,138.0,140.0,138.0,138.0,0.0,1335.0,184570.0,0
2019-07-28,136.0,138.0,131.0,136.0,-1.45,11417.0,1510502.0,-1
2019-07-29,138.0,138.0,134.0,134.0,-1.47,3748.0,511848.0,-1
2019-07-30,132.0,138.0,132.0,135.0,0.75,1610.0,218230.0,1
2019-07-31,133.0,138.0,133.0,136.0,0.74,990.0,134260.0,1
2019-08-01,136.0,142.0,136.0,140.0,2.94,830.0,114910.0,1
2019-08-04,140.0,140.0,134.0,136.0,-2.86,730.0,99760.0,-1
