published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,1066.00,1106.00,1066.00,1085.00,0.00,11292.00,12318316.40,0
2021-11-05,1066.00,1106.00,1066.00,1085.00,0.00,11292.00,12318316.40,0
2021-11-08,1085.00,1085.00,1065.00,1074.00,-1.01,5360.00,5738584.60,-1
2021-11-09,1073.00,1075.00,1019.00,1026.00,-4.47,18552.00,19126645.20,-1
2021-11-10,1073.00,1075.00,1019.00,1026.00,-4.47,18552.00,19126645.20,-1
2021-11-11,1010.00,1020.00,985.10,990.00,-3.51,10498.00,10438984.30,-1
2021-11-12,1010.00,1020.00,985.10,990.00,-3.51,10498.00,10438984.30,-1
2021-11-15,1011.00,1011.80,996.00,1010.00,1.81,4630.00,4644737.20,1
2021-11-16,991.40,1034.00,990.00,1012.00,0.20,9042.00,9161102.50,1
2021-11-17,1032.00,1049.80,1015.00,1015.00,0.30,7754.00,8003942.10,1
2021-11-18,1018.00,1025.00,999.00,1000.00,-1.48,5034.00,5070703.00,-1
2021-11-19,1018.00,1025.00,999.00,1000.00,-1.48,5034.00,5070703.00,-1
2021-11-22,1020.00,1082.00,1010.00,1029.00,0.88,16041.00,16702942.00,1
2021-11-23,1021.00,1062.20,1001.00,1039.00,0.97,24776.00,25663904.00,1
2021-11-24,1020.00,1089.00,1000.00,1079.70,3.92,124356.00,128315990.00,1
2021-11-25,1100.00,1100.00,1050.00,1050.00,-2.75,19563.00,21009261.80,-1
2021-11-26,1100.00,1100.00,1050.00,1050.00,-2.75,19563.00,21009261.80,-1
2021-11-29,1010.00,1018.00,976.00,996.00,-0.40,23863.00,23657490.20,-1
2021-11-30,998.00,1000.00,969.00,969.00,-2.71,18828.00,18505896.40,-1
2021-12-01,988.00,1000.00,976.00,990.00,2.17,16510.00,16334321.60,1
2021-12-02,990.00,1009.80,980.00,985.00,-0.51,30352.00,29870406.00,-1
2021-12-03,990.00,1009.80,980.00,985.00,-0.51,30352.00,29870406.00,-1
2021-12-06,970.00,990.00,952.00,985.00,0.20,10625.00,10258340.70,1
2021-12-07,986.40,1019.90,965.00,965.00,-2.03,8432.00,8363869.30,-1
2021-12-08,952.50,989.00,935.90,953.00,-1.24,12251.00,11647949.60,-1
2021-12-09,940.20,963.50,928.00,944.00,-0.94,11051.00,10406517.80,-1
2021-12-10,940.20,963.50,928.00,944.00,-0.94,11051.00,10406517.80,-1
2021-12-13,908.10,930.00,865.00,899.00,-2.81,18138.00,16274078.50,-1
2021-12-14,916.90,938.30,900.00,938.30,4.37,3700.00,3422500.80,1
2021-12-15,957.00,980.00,915.00,934.50,-0.40,13739.00,13040094.30,-1
2021-12-16,920.00,930.00,898.00,910.00,-2.62,8355.00,7604196.80,-1
2021-12-17,920.00,930.00,898.00,910.00,-2.62,8355.00,7604196.80,-1
2021-12-20,892.00,927.00,892.00,895.00,-1.65,6118.00,5528821.80,-1
2021-12-21,905.00,927.90,900.00,914.00,2.12,4021.00,3641065.80,1
2021-12-22,932.00,998.00,930.00,968.00,5.91,14196.00,13553596.50,1
2021-12-23,950.00,1030.20,931.00,999.00,3.20,24749.00,24414821.80,1
2021-12-24,950.00,1030.20,931.00,999.00,3.20,24749.00,24414821.80,1
2021-12-27,1090.30,1090.30,1005.00,1010.00,-5.52,27978.00,29131195.70,-1
2021-12-28,1000.00,1019.90,980.00,1010.00,0.00,12523.00,12523638.70,0
2021-12-29,990.00,1050.00,985.00,1000.00,-0.99,25459.00,25754556.40,-1
2021-12-30,990.00,1050.00,985.00,1000.00,-0.99,25459.00,25754556.40,-1
2021-12-31,990.00,1050.00,985.00,1000.00,-0.99,25459.00,25754556.40,-1
2022-01-03,1060.00,1075.00,1040.00,1060.00,1.91,74878.00,79305523.80,1
2022-01-04,1050.10,1080.00,1046.10,1069.90,0.93,60752.00,64729901.90,1
2022-01-05,1070.00,1080.00,1045.00,1047.00,-2.14,43528.00,46201331.20,-1
2022-01-06,1030.50,1066.00,1030.50,1059.00,1.15,23311.00,24603175.90,1
2022-01-07,1030.50,1066.00,1030.50,1059.00,1.15,23311.00,24603175.90,1
2022-01-10,1097.00,1120.00,1080.00,1107.00,2.79,81088.00,89475338.20,1
2022-01-11,1120.00,1156.00,1105.00,1135.00,2.53,80261.00,91145498.90,1
2022-01-12,1148.00,1148.00,1085.00,1095.00,-3.52,66326.00,73995795.00,-1
2022-01-13,1108.50,1148.00,1088.00,1141.20,4.22,108370.00,120518514.10,1
2022-01-14,1108.50,1148.00,1088.00,1141.20,4.22,108370.00,120518514.10,1
2022-01-17,1150.00,1150.00,1125.00,1147.00,1.06,71048.00,80855388.40,1
2022-01-18,1147.00,1199.00,1144.00,1190.00,3.75,210771.00,245632158.60,1
2022-01-19,1194.00,1194.00,1165.10,1167.00,-1.93,65637.00,77411500.70,-1
2022-01-20,1161.00,1225.00,1161.00,1217.00,4.28,184301.00,222053416.30,1
2022-01-21,1161.00,1225.00,1161.00,1217.00,4.28,184301.00,222053416.30,1
2022-01-24,1209.00,1209.00,1153.00,1167.00,-3.47,82764.00,97265497.20,-1
2022-01-25,1167.00,1191.00,1160.00,1165.00,-0.17,42594.00,49999463.40,-1
2022-01-26,1165.00,1172.00,1133.00,1144.90,-1.73,39477.00,45233533.00,-1
2022-01-27,1144.90,1169.70,1144.90,1154.00,0.79,80477.00,92594735.30,1
2022-01-28,1144.90,1169.70,1144.90,1154.00,0.79,80477.00,92594735.30,1
2022-01-31,1211.70,1211.70,1160.00,1164.00,-2.02,26434.00,30956056.40,-1
2022-02-01,1187.20,1187.20,1147.00,1170.00,0.52,173634.00,200407642.70,1
2022-02-02,1187.20,1187.20,1147.00,1170.00,0.52,173634.00,200407642.70,1
2022-02-03,1179.90,1190.00,1158.00,1160.00,-0.85,55325.00,64849510.80,-1
2022-02-04,1179.90,1190.00,1158.00,1160.00,-0.85,55325.00,64849510.80,-1
2022-02-07,1167.00,1167.00,1143.00,1149.00,0.00,58694.00,67492202.10,0
2022-02-08,1171.00,1171.80,1126.20,1132.00,-1.48,90982.00,104064306.30,-1
2022-02-09,1132.10,1145.00,1100.00,1116.00,-1.41,78559.00,87475570.30,-1
2022-02-10,1119.90,1134.00,1095.00,1107.00,-0.81,179529.00,198187146.60,-1
2022-02-11,1119.90,1134.00,1095.00,1107.00,-0.81,179529.00,198187146.60,-1
2022-02-14,773.00,800.00,762.00,771.90,0.12,25311.00,19665034.90,1
2022-02-15,787.00,787.00,757.00,782.00,1.31,21568.00,16607740.30,1
2022-02-16,780.00,794.00,770.00,771.00,-1.41,15990.00,12428920.30,-1
2022-02-17,786.40,786.40,770.00,775.00,0.52,13674.00,10574899.20,1
2022-02-18,786.40,786.40,770.00,775.00,0.52,13674.00,10574899.20,1
2022-02-21,755.00,755.00,734.00,741.00,-0.55,20608.00,15294890.50,-1
