published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-09-14,524.00,524.00,524.00,524.00,0.00,5000.00,2620000.00,0
2022-09-27,524.00,524.00,524.00,524.00,0.00,3000.00,1572000.00,0
2022-11-14,524.00,524.00,524.00,524.00,0.00,7500.00,3930000.00,0
2022-11-15,524.00,524.00,524.00,524.00,0.00,18978.00,9944472.00,0
2022-11-28,524.00,524.00,524.00,524.00,0.00,22610.00,11847640.00,0
2022-11-30,524.00,524.00,524.00,524.00,0.00,27282.00,14295768.00,0
2022-12-15,524.00,524.00,524.00,524.00,0.00,10262.00,5377288.00,0
2022-12-29,524.00,524.00,524.00,524.00,0.00,8203.00,4298372.00,0
2023-07-10,380.00,380.00,380.00,380.00,0.00,10000.00,3800000.00,0
2023-07-12,380.00,380.00,380.00,380.00,0.00,5898.00,2241240.00,0
2023-09-11,380.00,380.00,380.00,380.00,0.00,14174.00,5386120.00,0
2023-09-25,380.00,380.00,380.00,380.00,0.00,20000.00,7600000.00,0
2024-01-03,368.00,368.00,368.00,368.00,0.00,21514.00,7917152.00,0
2024-01-14,368.00,368.00,368.00,368.00,0.00,628.00,231104.00,0
2024-01-15,368.00,368.00,368.00,368.00,0.00,628.00,231104.00,0
2024-01-30,361.00,361.00,361.00,361.00,-1.90,10000.00,3610000.00,-1
2024-03-26,361.00,361.00,361.00,361.00,0.00,6000.00,2166000.00,0
2024-03-28,361.00,361.00,361.00,361.00,0.00,13258.00,4786138.00,0
2024-04-10,365.00,365.00,365.00,365.00,1.11,15000.00,5475000.00,1
2024-04-11,365.00,365.00,365.00,365.00,1.11,15000.00,5475000.00,1
2024-04-30,365.00,365.00,365.00,365.00,0.00,2000.00,730000.00,0
2024-05-01,365.00,365.00,365.00,365.00,0.00,2000.00,730000.00,0
2024-05-12,372.30,372.30,372.30,372.30,2.00,20000.00,7446000.00,1
2024-05-22,372.30,372.30,372.30,372.30,0.00,15540.00,5785542.00,0
2024-05-23,372.30,372.30,372.30,372.30,0.00,15540.00,5785542.00,0
2024-06-26,365.00,365.00,365.00,365.00,-1.96,22510.00,8216150.00,-1
2024-07-17,358.00,358.00,358.00,358.00,-1.92,9629.00,3447182.00,-1
2024-09-25,536.00,536.00,536.00,536.00,0.00,20000.00,10720000.00,0
2024-12-03,565.00,565.00,565.00,565.00,5.41,10000.00,5650000.00,1
2024-12-10,553.70,553.70,553.70,553.70,-2.00,9000.00,4983300.00,-1
2025-01-01,542.70,542.70,542.70,542.70,-1.99,3887.00,2109474.90,-1
2025-01-09,542.70,542.70,542.70,542.70,0.00,11812.00,6410372.40,0
2025-01-22,531.90,531.90,488.50,488.50,-9.99,5000.00,2453800.00,-1
2025-01-27,478.80,478.80,439.70,439.70,-9.99,9258.00,4080962.60,-1
2025-02-02,431.00,431.00,431.00,431.00,-1.98,3000.00,1293000.00,-1
2025-02-16,431.00,431.00,431.00,431.00,0.00,5800.00,2499800.00,0
2025-04-08,439.60,439.60,439.60,439.60,2.00,7010.00,3081596.00,1
2025-04-10,448.30,448.30,448.30,448.30,1.98,3048.00,1366418.40,1
2025-05-26,439.40,439.40,439.40,439.40,-1.99,6000.00,2636400.00,-1
2025-12-08,620.00,624.00,620.00,624.00,0.65,36000.00,22360000.00,1
2025-12-31,624.00,624.00,624.00,624.00,0.00,5000.00,3120000.00,0
2026-04-24,527.00,527.00,527.00,527.00,0.00,12000.00,6324000.00,0
2026-05-08,512.00,512.00,512.00,512.00,-2.85,5000.00,2560000.00,-1
2026-05-11,500.00,500.00,500.00,500.00,-2.34,5000.00,2500000.00,-1
