published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-08-06,529.50,582.40,529.50,582.40,9.99,54780.00,31883777.50,1
2023-08-07,594.00,640.60,594.00,616.00,5.77,701803.00,436259348.00,1
2023-08-09,598.00,600.70,571.20,597.30,1.41,266818.00,155026202.20,1
2023-08-10,604.00,609.00,583.00,590.00,-1.22,141998.00,84078844.80,-1
2023-08-13,590.00,595.00,580.00,580.80,-1.56,182198.00,106195208.60,-1
2023-08-14,569.20,596.80,569.20,589.90,1.57,191385.00,112441979.60,1
2023-08-15,600.00,600.00,580.30,581.00,-1.51,98939.00,57775243.80,-1
2023-08-16,580.00,585.00,575.20,576.90,-0.71,103174.00,59662670.30,-1
2023-08-17,575.00,590.00,571.00,583.10,1.07,133203.00,77941378.10,1
2023-08-20,583.00,585.00,578.00,580.00,-0.53,114230.00,66301070.70,-1
2023-08-21,580.00,582.90,572.10,577.00,-0.52,101241.00,58377288.50,-1
2023-08-22,567.00,579.00,567.00,576.00,-0.17,61149.00,35115293.50,-1
2023-08-23,575.00,585.00,574.00,579.10,0.54,94254.00,54642813.70,1
2023-08-24,580.00,590.00,570.00,570.20,-1.54,85739.00,49248761.40,-1
2023-08-27,570.00,570.00,555.00,558.00,-2.14,97116.00,54517226.70,-1
2023-08-28,551.10,564.00,551.10,554.50,-0.63,69132.00,38488289.20,-1
2023-08-29,554.00,558.00,550.00,550.90,-0.65,58882.00,32475795.10,-1
2023-08-30,548.00,554.00,548.00,549.20,-0.31,60855.00,33561227.80,-1
2023-08-31,548.00,554.00,548.00,549.20,-0.31,60855.00,33561227.80,-1
2023-09-03,550.00,553.00,541.00,541.30,-1.44,69096.00,37641946.10,-1
2023-09-04,540.00,559.00,540.00,559.00,3.27,96212.00,52884032.50,1
2023-09-05,559.00,560.00,552.00,556.40,-0.47,50793.00,28241754.20,-1
2023-09-06,559.00,560.00,552.00,556.40,-0.47,50793.00,28241754.20,-1
2023-09-07,551.10,551.10,544.30,545.50,-1.96,57647.00,31488083.10,-1
2023-09-10,540.10,549.90,535.60,538.80,-1.23,72788.00,39331365.60,-1
2023-09-11,528.20,552.00,528.20,550.00,2.08,63895.00,34930948.30,1
2023-09-12,539.60,566.00,539.60,541.20,-1.60,60371.00,32991921.10,-1
2023-09-13,540.00,555.30,540.00,554.00,2.37,70531.00,38824316.60,1
2023-09-14,540.00,555.30,540.00,554.00,2.37,70531.00,38824316.60,1
2023-09-17,553.00,555.00,535.30,536.00,-3.25,86027.00,46586887.90,-1
2023-09-18,535.00,540.00,530.00,540.00,0.75,45272.00,24206897.00,1
2023-09-19,531.00,540.00,531.00,537.00,-0.56,42969.00,23016831.40,-1
2023-09-20,531.00,540.00,531.00,537.00,-0.56,42969.00,23016831.40,-1
2023-09-21,540.00,554.00,538.10,543.20,1.15,107149.00,58427180.30,1
2023-09-24,545.00,545.00,531.10,531.50,-2.15,54688.00,29346959.70,-1
2023-09-25,531.00,539.90,530.10,530.30,-0.23,45640.00,24324519.70,-1
2023-09-26,535.00,540.80,533.10,538.00,1.45,51509.00,27691630.20,1
2023-09-27,534.00,545.00,530.60,532.50,-1.02,46183.00,24613696.90,-1
2023-09-28,534.00,545.00,530.60,532.50,-1.02,46183.00,24613696.90,-1
2023-10-01,530.00,531.00,516.30,520.10,-2.33,68794.00,35920377.00,-1
2023-10-02,515.00,522.00,511.00,514.00,-1.17,50083.00,25761547.50,-1
2023-10-03,513.00,514.00,505.00,506.00,-1.56,35796.00,18209584.10,-1
2023-10-04,508.00,518.00,507.00,510.00,0.79,44037.00,22493579.10,1
2023-10-05,507.00,510.50,502.00,503.30,-1.31,36244.00,18337140.10,-1
2023-10-08,500.00,504.50,484.10,486.00,-3.44,85829.00,42050442.30,-1
2023-10-09,480.00,494.00,477.30,481.00,-1.03,42793.00,20663593.20,-1
2023-10-10,481.00,490.00,476.00,477.00,-0.83,31208.00,14946842.50,-1
2023-10-11,475.00,483.00,472.50,480.20,0.67,36280.00,17371946.60,1
2023-10-12,475.50,483.00,473.10,480.90,0.15,50497.00,24125533.00,1
