published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-12-18,1000.00,1000.00,1000.00,1000.00,0.00,10.00,10000.00,0
2023-12-24,900.00,900.00,900.00,900.00,-10.00,525.00,472500.00,-1
2023-12-25,900.00,900.00,900.00,900.00,-10.00,525.00,472500.00,-1
2023-12-26,900.00,900.00,900.00,900.00,-10.00,525.00,472500.00,-1
2023-12-27,884.00,884.00,884.00,884.00,-1.78,25.00,22100.00,-1
2023-12-28,870.10,875.20,858.50,858.50,-2.88,125.00,108470.00,-1
2023-12-31,870.10,875.20,858.50,858.50,-2.88,125.00,108470.00,-1
2024-01-01,858.50,860.40,858.50,860.40,0.22,50.00,42972.50,1
2024-01-02,856.20,863.00,856.20,863.00,0.30,75.00,64510.00,1
2024-01-03,863.30,863.30,863.30,863.30,0.03,25.00,21582.50,1
2024-01-04,858.20,858.20,858.00,858.00,-0.61,103.00,88382.00,-1
2024-01-08,860.00,879.00,850.20,879.00,2.45,75.00,64730.00,1
2024-01-09,863.00,863.00,863.00,863.00,-1.82,10.00,8630.00,-1
2024-01-14,934.00,935.00,934.00,935.00,8.34,45.00,42050.00,1
2024-01-15,934.00,935.00,934.00,935.00,8.34,45.00,42050.00,1
2024-01-16,845.00,845.00,841.60,841.60,-9.99,100.00,84245.00,-1
2024-01-18,825.00,825.00,820.10,820.10,-2.55,100.00,82255.00,-1
2024-01-21,833.00,833.00,833.00,833.00,1.57,25.00,20825.00,1
2024-01-22,832.00,834.10,832.00,834.10,0.13,75.00,62505.00,1
2024-01-23,825.50,834.00,825.00,825.50,-1.03,222.00,183472.50,-1
2024-01-24,825.00,825.00,825.00,825.00,-0.06,25.00,20625.00,-1
2024-01-25,870.00,870.00,870.00,870.00,5.45,25.00,21750.00,1
2024-01-29,805.00,805.00,805.00,805.00,-7.47,25.00,20125.00,-1
2024-01-30,825.00,835.00,825.00,835.00,3.73,75.00,62125.00,1
2024-01-31,830.00,835.00,830.00,835.00,0.00,300.00,250000.00,0
