published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-02-15,100.00,100.00,100.00,100.00,0.00,478338.00,47833800.00,0
2024-12-08,100.00,100.00,100.00,100.00,0.00,750.00,486000.00,0
2024-12-09,100.00,100.00,100.00,100.00,0.00,19500.00,12623750.00,0
2024-12-11,100.00,100.00,100.00,100.00,0.00,500.00,303000.00,0
2024-12-17,100.00,100.00,100.00,100.00,0.00,500.00,320500.00,0
2024-12-26,100.00,100.00,100.00,100.00,0.00,25000.00,15275000.00,0
2025-02-09,100.00,100.00,100.00,100.00,0.00,26000.00,15908000.00,0
2025-02-20,100.00,100.00,100.00,100.00,0.00,176140.00,93576200.00,0
2025-04-20,100.00,100.00,100.00,530.00,0.00,20450.00,10863250.00,0
2025-04-21,100.00,100.00,100.00,100.00,0.00,6950.00,3778300.00,0
2025-04-22,100.00,100.00,100.00,100.00,0.00,750.00,397500.00,0
2025-06-25,100.00,100.00,100.00,100.00,0.00,151520.00,81820800.00,0
2025-07-01,100.00,100.00,100.00,100.00,0.00,8000.00,4240000.00,0
2025-07-02,100.00,100.00,100.00,100.00,0.00,20500.00,10865000.00,0
2025-07-16,100.00,100.00,100.00,100.00,0.00,750.00,450000.00,0
2025-08-12,100.00,100.00,100.00,100.00,0.00,78500.00,39250000.00,0
2025-11-04,100.00,100.00,100.00,100.00,0.00,44670.00,22335000.00,0
2025-11-05,100.00,100.00,100.00,100.00,0.00,25000.00,12500000.00,0
2025-11-06,100.00,100.00,100.00,100.00,0.00,103060.00,51530000.00,0
2025-11-09,100.00,100.00,100.00,100.00,0.00,22655.00,11327500.00,0
2025-11-10,100.00,100.00,100.00,100.00,0.00,55615.00,27807500.00,0
2025-11-27,100.00,100.00,100.00,100.00,0.00,2200.00,1155000.00,0
2025-12-23,100.00,100.00,100.00,100.00,0.00,11750.00,5879500.00,0
2025-12-24,100.00,100.00,100.00,100.00,0.00,550.00,275300.00,0
2025-12-25,100.00,100.00,100.00,100.00,0.00,550.00,275300.00,0
2025-12-29,100.00,100.00,100.00,100.00,0.00,250.00,125000.00,0
2025-12-30,100.00,100.00,100.00,100.00,0.00,250.00,125000.00,0
2026-02-12,100.00,100.00,100.00,100.00,0.00,57386.00,28693000.00,0
2026-02-15,100.00,100.00,100.00,100.00,0.00,57386.00,28693000.00,0
2026-02-17,100.00,100.00,100.00,100.00,0.00,80000.00,40000000.00,0
2026-02-18,100.00,100.00,100.00,100.00,0.00,80000.00,40000000.00,0
2026-02-19,100.00,100.00,100.00,100.00,0.00,80000.00,40000000.00,0
